,Name,Mileage,Price
0,1999 Acura CL,"84,797 mi.","$6,480"
1,2001 Acura CL Type S,"140,138 mi.","$3,995"
2,1997 Acura CL Premium Pkg,"75,854 mi.","$3,995"
3,2001 Acura CL 2dr Cpe 3.2L w/Navigation,"108,239 mi.","$4,988"
4,2001 Acura CL 3.2,"136,285 mi.","$3,295"
5,2003 Acura CL Type S,"132,072 mi.","$5,500"
6,2003 Acura CL 3.2 Type S,"138,576 mi.","$3,891"
7,2001 Acura CL 3.2 Type S,"178,717 mi.","$3,500"
8,2001 Acura CL 3.2 Type S,"186,013 mi.","$3,500"
9,2001 Acura CL 3.2 Type S,"161,000 mi.","$2,999"
10,1998 Acura CL 2dr Cpe 2.3L Manual Base,"196,408 mi.","$3,495"
11,2003 Acura CL 2dr Cpe 3.2L,"172,843 mi.","$3,795"
12,2002 Acura CL Type S,"131,872 mi.","$5,891"
13,2001 Acura CL 2dr Cpe 3.2L,"111,829 mi.","$5,995"
14,1999 Acura CL 2dr Cpe 2.3L Auto,"148,000 mi.","$2,495"
15,2003 Acura CL 2dr Cpe 3.2L,"195,000 mi.","$2,995"
16,1998 Acura CL Premium,"177,392 mi.","$2,350"
17,2003 Acura CL Type S,"191,500 mi.","$6,999"
18,2001 Acura CL 2dr Cpe 3.2L,"87,225 mi.","$3,800"
19,2001 Acura CL Type S,"90,722 mi.","$5,950"
20,1999 Acura CL 3.0,"217,050 mi.",$900
21,2001 Acura CL 3.2,"235,000 mi.","$3,350"
22,2001 Acura CL 3.2,"234,000 mi.","$3,350"
23,2003 Acura CL 3.2 Type S,"192,000 mi.","$3,500"
24,2001 Acura CL Type S,0 mi.,Not Priced
25,2001 Acura CL Type S,"146,703 mi.",Not Priced
26,1999 Acura CL 2dr Cpe 2.3L Auto,"164,808 mi.","$2,999"
27,1998 Acura CL Premium,"204,554 mi.",Not Priced
28,1999 Acura CL 2dr Cpe 3.0L,"164,761 mi.","$3,500"
29,2002 Acura CL 3.2 Type S,"101,907 mi.",Not Priced
30,2001 Acura CL 3.2 Type S,"255,489 mi.",Not Priced
31,2002 Acura CL Type S,"147,299 mi.",Not Priced
32,2001 Acura CL Type S,"211,860 mi.",Not Priced
33,2003 Acura CL Type S,"130,017 mi.","$5,998"
34,2002 Acura CL 3.2,"219,603 mi.",Not Priced
35,1999 Acura CL 2dr Cpe 2.3L Auto,"218,000 mi.","$1,495"
