,Name,Mileage,Price
0,2013 Acura ILX Hybrid 1.5L,"39,816 mi.","$14,995"
1,2013 Acura ILX Hybrid 1.5L,"34,774 mi.","$15,257"
2,2013 Acura ILX Hybrid 1.5L,"74,575 mi.","$12,995"
3,2013 Acura ILX Hybrid 1.5L,"73,627 mi.","$14,894"
4,2013 Acura ILX Hybrid 1.5L,"51,331 mi.","$15,998"
5,2013 Acura ILX Hybrid 1.5L,"12,818 mi.","$15,491"
6,2014 Acura ILX Hybrid 1.5L,"62,212 mi.","$14,999"
7,2013 Acura ILX Hybrid 1.5L,"111,275 mi.","$11,997"
8,2013 Acura ILX Hybrid 1.5L,"75,541 mi.","$12,750"
9,2013 Acura ILX Hybrid 1.5L,"82,031 mi.","$14,998"
10,2013 Acura ILX Hybrid 1.5L,"50,843 mi.","$15,998"
11,2014 Acura ILX Hybrid 1.5L,"30,544 mi.","$17,998"
12,2013 Acura ILX Hybrid 1.5L,"68,868 mi.","$14,998"
13,2013 Acura ILX Hybrid 1.5L,"113,000 mi.","$10,999"
14,2013 Acura ILX Hybrid 1.5L,"65,799 mi.","$12,942"
15,2013 Acura ILX Hybrid 1.5L,"52,838 mi.","$12,495"
16,2013 Acura ILX Hybrid 1.5L,"64,130 mi.","$14,990"
17,2013 Acura ILX Hybrid 1.5L,"71,664 mi.","$13,988"
18,2013 Acura ILX Hybrid 1.5L,"29,933 mi.","$16,880"
19,2013 Acura ILX Hybrid 1.5L,"110,000 mi.","$11,500"
20,2013 Acura ILX Hybrid 1.5L,"113,941 mi.","$10,999"
21,2013 Acura ILX Hybrid 1.5L,"193,000 mi.","$7,950"
22,2013 Acura ILX Hybrid 1.5L,"69,941 mi.","$15,000"
