,Name,Mileage,Price
0,2018 Acura NSX,915 mi.,"$142,900"
1,2017 Acura NSX Coupe,"5,010 mi.","$139,995"
2,2017 Acura NSX,"2,449 mi.","$138,888"
3,2017 Acura NSX,"1,387 mi.","$138,888"
4,2018 Acura NSX,"2,838 mi.","$142,888"
5,2017 Acura NSX Coupe,5 mi.,"$189,995"
6,2017 Acura NSX,700 mi.,"$138,000"
7,2017 Acura NSX Coupe,"1,064 mi.","$152,900"
8,1998 Acura NSX,"45,000 mi.","$65,000"
9,2017 Acura NSX,"2,344 mi.","$139,888"
10,2017 Acura NSX,"1,355 mi.","$179,911"
11,2017 Acura NSX Base,"2,783 mi.","$144,498"
12,2017 Acura NSX,"2,155 mi.","$129,999"
13,2017 Acura NSX,"3,249 mi.","$134,250"
14,2017 Acura NSX,"3,076 mi.","$120,000"
15,2017 Acura NSX,"2,569 mi.","$133,995"
16,1992 Acura NSX,"28,570 mi.","$79,998"
17,1992 Acura NSX Base,"19,473 mi.","$65,999"
18,2017 Acura NSX,"4,771 mi.","$134,970"
19,2017 Acura NSX,"25,589 mi.","$113,995"
20,1996 Acura NSX,"44,871 mi.","$59,995"
21,2017 Acura NSX,"4,905 mi.","$140,000"
22,1991 Acura NSX Base,"58,880 mi.","$57,938"
23,2017 Acura NSX Coupe,"2,614 mi.","$149,900"
24,2017 Acura NSX,"7,625 mi.","$135,888"
25,1993 Acura NSX Base,"46,522 mi.","$56,900"
26,1996 Acura NSX T,"79,031 mi.","$52,990"
27,2001 Acura NSX,"3,983 mi.","$90,000"
28,2018 Acura NSX,"2,049 mi.","$148,900"
29,2017 Acura NSX Coupe,"4,201 mi.","$149,805"
30,2017 Acura NSX,"8,350 mi.","$137,777"
31,2017 Acura NSX,"5,249 mi.","$141,900"
32,1995 Acura NSX T,"18,900 mi.","$69,999"
33,2017 Acura NSX,"8,994 mi.","$137,777"
34,2018 Acura NSX,501 mi.,"$136,984"
35,2017 Acura NSX Base,"1,148 mi.","$122,500"
36,2017 Acura NSX Base,"5,162 mi.","$128,500"
37,1991 Acura NSX Base,"19,090 mi.","$74,985"
38,1991 Acura NSX Base,"39,148 mi.","$66,970"
39,1993 Acura NSX,"56,318 mi.","$78,995"
40,2017 Acura NSX Base,"3,525 mi.","$144,990"
41,1995 Acura NSX T,"6,392 mi.","$95,900"
42,2002 Acura NSX T,"14,775 mi.","$99,999"
43,1991 Acura NSX Base,"32,625 mi.","$59,591"
44,1991 Acura NSX,"85,502 mi.","$46,995"
45,2003 Acura NSX T,"21,656 mi.","$99,991"
46,2017 Acura NSX,"1,600 mi.","$144,890"
47,1995 Acura NSX T,"16,331 mi.","$79,900"
48,2017 Acura NSX Coupe,"4,246 mi.","$135,900"
49,1996 Acura NSX T,"90,650 mi.","$59,990"
50,1992 Acura NSX Base,"92,606 mi.","$54,995"
51,1995 Acura NSX T,"24,290 mi.","$69,900"
52,1991 Acura NSX Base,"49,147 mi.","$57,900"
53,1992 Acura NSX,"55,635 mi.","$47,950"
54,1996 Acura NSX,"89,231 mi.","$62,900"
55,1991 Acura NSX,"1,733 mi.","$150,000"
56,1991 Acura NSX,"98,383 mi.","$49,500"
57,2017 Acura NSX Base,387 mi.,"$148,500"
58,1992 Acura NSX,"105,487 mi.","$50,000"
59,2017 Acura NSX Coupe,"5,697 mi.","$139,995"
60,2002 Acura NSX T,"129,000 mi.","$67,000"
61,1992 Acura NSX,"19,078 mi.","$79,995"
62,1997 Acura NSX T,"87,122 mi.","$14,000"
63,1992 Acura NSX,"54,000 mi.","$59,777"
64,1991 Acura NSX,"33,000 mi.","$70,000"
65,1992 Acura NSX,"43,120 mi.","$52,500"
66,1996 Acura NSX T,"23,500 mi.","$69,500"
67,2017 Acura NSX Base,"2,020 mi.","$175,000"
68,1998 Acura NSX T,"45,000 mi.","$60,000"
69,2004 Acura NSX T,"24,000 mi.","$84,900"
70,2019 Acura NSX Base,"343,423 mi.","$343,242"
71,2017 Acura NSX Base,"4,300 mi.","$129,900"
72,1998 Acura NSX T,"45,000 mi.","$85,000"
73,2005 Acura NSX,"38,000 mi.","$89,000"
74,1994 Acura NSX,"64,141 mi.","$49,999"
75,2017 Acura NSX Coupe,4 mi.,Not Priced
76,2017 Acura NSX NSX,256 mi.,"$144,999"
