,Name,Mileage,Price
0,2008 Acura RL,"116,271 mi.","$10,998"
1,2010 Acura RL 3.7,"73,806 mi.","$14,998"
2,1999 Acura RL 3.5,"118,081 mi.","$2,495"
3,2005 Acura RL 4dr Sdn AT (Natl),"120,900 mi.","$8,900"
4,2009 Acura RL 3.7,"110,078 mi.","$10,999"
5,2005 Acura RL 4dr Sdn AT (Natl),"127,538 mi.","$7,490"
6,2008 Acura RL 3.5,"80,011 mi.","$10,583"
7,2009 Acura RL Technology,"114,715 mi.","$9,991"
8,2007 Acura RL,"52,451 mi.","$11,397"
9,2010 Acura RL CMBS,"50,491 mi.","$14,397"
10,2008 Acura RL,"203,678 mi.","$5,000"
11,2006 Acura RL,"96,156 mi.","$6,995"
12,2009 Acura RL Tech Pkg,"88,760 mi.","$9,995"
13,2006 Acura RL SH AWD w/Navi w/Tech 4dr Sedan System and Tech Package,"107,059 mi.","$7,977"
14,2006 Acura RL 3.5,"184,746 mi.","$5,390"
15,2008 Acura RL Tech Pkg/Tech/CMBS w/PAX,"117,895 mi.","$9,995"
16,2005 Acura RL SH-AWD,"133,234 mi.","$8,230"
17,2010 Acura RL,"79,176 mi.","$14,998"
18,2012 Acura RL,"102,059 mi.","$13,998"
19,2006 Acura RL 4dr Sdn AT (Natl),"160,546 mi.","$5,750"
20,2012 Acura RL Technology,"92,845 mi.","$14,500"
21,2009 Acura RL Tech Pkg,"128,362 mi.","$7,450"
22,2010 Acura RL Technology,"66,695 mi.","$14,999"
23,2009 Acura RL CMBS,"134,364 mi.","$10,877"
24,2005 Acura RL 3.5,"127,924 mi.","$4,900"
25,2006 Acura RL,"181,917 mi.","$5,000"
26,2005 Acura RL 4dr Sdn AT (Natl),"145,258 mi.","$6,995"
27,2010 Acura RL Technology,"87,931 mi.","$11,493"
28,2009 Acura RL Technology,"59,127 mi.","$11,955"
29,2011 Acura RL Technology,"90,008 mi.","$14,950"
30,2006 Acura RL SH AWD w/Navi w/Tech 4dr Sedan System and Tech Package,"109,883 mi.","$6,999"
31,2005 Acura RL 4dr Sdn AT (Natl),"200,647 mi.","$5,995"
32,2008 Acura RL 3.5,"109,703 mi.","$8,998"
33,2002 Acura RL 4dr Sdn w/Navigation System,"125,130 mi.","$4,500"
34,2011 Acura RL,"55,830 mi.","$17,998"
35,2003 Acura RL 3.5,"112,091 mi.","$5,500"
36,2011 Acura RL,"46,857 mi.","$18,998"
37,2003 Acura RL 3.5,"151,013 mi.","$3,995"
38,2006 Acura RL SH AWD w/Navi 4dr Sedan System,"148,802 mi.","$6,995"
39,2006 Acura RL,"49,993 mi.","$10,885"
40,2006 Acura RL SH AWD w/Navi 4dr Sedan System,"150,101 mi.","$5,497"
41,2010 Acura RL,"77,141 mi.","$14,998"
42,2010 Acura RL Tech/CMBS,"117,478 mi.","$9,480"
43,2005 Acura RL 4dr Sdn AT (Natl),"83,219 mi.","$9,988"
44,2005 Acura RL 3.5,"94,128 mi.","$7,995"
45,2007 Acura RL 4dr Sdn AT (Natl),"124,664 mi.","$7,995"
46,2011 Acura RL Technology,"135,714 mi.","$9,995"
47,2005 Acura RL 4dr Sdn AT (Natl),"175,825 mi.","$5,995"
48,2005 Acura RL 3.5,"122,238 mi.","$4,499"
49,2008 Acura RL 4dr Sdn (Natl),"113,613 mi.","$7,990"
50,2006 Acura RL,"166,543 mi.","$6,388"
51,2006 Acura RL SH AWD w/Navi 4dr Sedan System,"138,000 mi.","$6,495"
52,2010 Acura RL Technology,"157,900 mi.","$6,600"
53,2005 Acura RL 3.5,"126,178 mi.","$5,849"
54,2008 Acura RL 3.5,"134,199 mi.","$8,995"
55,2005 Acura RL 4dr Sdn AT (Natl),"106,419 mi.","$6,500"
56,2011 Acura RL Advance,"62,095 mi.","$18,529"
57,1999 Acura RL 4dr Sdn,"199,980 mi.","$3,495"
58,2006 Acura RL 4dr Sdn AT (Natl),"115,912 mi.","$6,999"
59,2005 Acura RL 3.5,"157,236 mi.","$4,188"
60,2010 Acura RL Technology,"95,000 mi.","$10,200"
61,2005 Acura RL 3.5,"108,000 mi.","$4,999"
62,2001 Acura RL 3.5,"113,585 mi.","$5,995"
63,2005 Acura RL 4dr Sdn AT (Natl),"148,610 mi.","$5,890"
64,2008 Acura RL 3.5,"135,464 mi.","$5,500"
65,2007 Acura RL SH-AWD,"157,399 mi.","$6,270"
66,2010 Acura RL 3.7,"113,892 mi.","$8,591"
67,2000 Acura RL 3.5,"164,453 mi.","$3,750"
68,2008 Acura RL Tech Pkg/Tech/CMBS w/PAX,"118,510 mi.","$8,450"
69,2011 Acura RL Pkg,"63,058 mi.","$14,997"
70,2007 Acura RL,"140,955 mi.","$5,999"
71,2005 Acura RL 3.5,"106,706 mi.","$7,695"
72,2011 Acura RL Technology,"115,265 mi.","$12,980"
73,2005 Acura RL 4dr Sdn AT (Natl),"165,363 mi.","$3,999"
74,2012 Acura RL,"102,059 mi.","$16,998"
75,2006 Acura RL Sedan,"147,141 mi.","$6,995"
76,2004 Acura RL 3.5,"130,050 mi.","$4,995"
77,2004 Acura RL 3.5,"119,563 mi.","$3,990"
78,2008 Acura RL 4dr Sdn (Natl),"163,029 mi.","$8,995"
79,2008 Acura RL Tech Pkg/Tech/CMBS w/PAX,"125,007 mi.","$7,450"
80,2005 Acura RL 3.5,"90,088 mi.","$7,550"
81,2010 Acura RL Technology,"62,250 mi.","$17,995"
82,2006 Acura RL 4dr Sdn AT (Natl),"121,448 mi.","$5,990"
83,2005 Acura RL 3.5,"128,109 mi.","$6,995"
84,2000 Acura RL 3.5,"137,718 mi.","$3,995"
85,2005 Acura RL 4dr Sdn AT (Natl),"186,286 mi.","$5,995"
86,2011 Acura RL Pkg,"100,999 mi.","$15,995"
87,2006 Acura RL 4dr Sdn AT (Natl),"149,468 mi.","$5,999"
88,2003 Acura RL 3.5,"119,466 mi.","$5,988"
89,2002 Acura RL 3.5,"267,772 mi.","$2,197"
90,2008 Acura RL Tech Pkg/Tech/CMBS w/PAX,"114,826 mi.","$7,995"
91,2010 Acura RL Technology,"92,809 mi.","$15,975"
92,2010 Acura RL 3.7,"111,097 mi.","$9,597"
93,2012 Acura RL Advance,"75,121 mi.","$14,995"
94,2005 Acura RL 4dr Sdn AT (Natl),"143,858 mi.","$5,995"
95,2002 Acura RL 3.5,"227,232 mi.","$2,888"
96,2000 Acura RL 4dr Sdn w/Navigation System,"170,860 mi.","$1,995"
97,2002 Acura RL 3.5,"136,839 mi.","$4,991"
98,2006 Acura RL 4dr Sdn AT (Natl),"157,652 mi.","$5,995"
99,2007 Acura RL Tech Pkg/Tech/CMBS w/PAX,"118,215 mi.","$8,998"
100,2004 Acura RL 3.5,"123,910 mi.","$3,500"
101,2005 Acura RL 3.5,"123,376 mi.","$3,995"
102,2007 Acura RL Tech/CMBS w/PAX,"144,000 mi.","$6,495"
103,2002 Acura RL 4dr Sdn,"77,434 mi.","$7,977"
104,2004 Acura RL 3.5,"143,869 mi.","$3,995"
105,2008 Acura RL CMBS/PAX PACKAGE,"117,629 mi.","$5,999"
106,2005 Acura RL,"145,690 mi.","$8,475"
107,2004 Acura RL w/Navigation System,"193,585 mi.","$7,995"
108,2008 Acura RL,"114,220 mi.","$11,500"
109,2006 Acura RL 4dr Sdn AT (Natl),"203,000 mi.","$4,200"
110,2006 Acura RL,"107,003 mi.","$5,900"
111,2010 Acura RL Tech Pkg,"77,821 mi.","$12,987"
112,2010 Acura RL CMBS,"115,748 mi.","$10,495"
113,2010 Acura RL Tech Pkg,"76,609 mi.","$11,595"
114,2012 Acura RL Advance,"62,215 mi.","$17,500"
115,2005 Acura RL 3.5,"101,436 mi.","$3,999"
116,2008 Acura RL Tech Pkg/Tech/CMBS w/PAX,"291,515 mi.","$3,995"
117,2005 Acura RL 4dr Sdn AT (Natl),"63,923 mi.","$8,495"
118,2010 Acura RL 3.7,"100,323 mi.","$9,795"
119,2004 Acura RL 3.5,"95,120 mi.","$5,995"
120,2008 Acura RL Tech Pkg/Tech/CMBS w/PAX,"73,822 mi.","$9,995"
121,2010 Acura RL Technology,"183,000 mi.","$5,499"
122,2010 Acura RL Technology,"57,800 mi.","$11,999"
123,2010 Acura RL CMBS,"67,355 mi.","$13,965"
124,2009 Acura RL 3.7,"115,973 mi.","$6,498"
125,2008 Acura RL 3.5,"196,369 mi.","$7,899"
126,2005 Acura RL 3.5,"169,653 mi.","$5,659"
127,2010 Acura RL Technology,"78,339 mi.","$9,200"
128,2005 Acura RL 3.5,"93,111 mi.","$7,000"
129,2005 Acura RL 3.5,"157,300 mi.","$2,750"
130,2000 Acura RL 3.5,"84,000 mi.","$4,500"
131,2009 Acura RL Technology,"102,777 mi.","$10,995"
132,2007 Acura RL,"155,000 mi.","$6,120"
133,2000 Acura RL 3.5,"185,000 mi.","$1,400"
134,2008 Acura RL 3.5,"47,500 mi.","$9,250"
135,2008 Acura RL 3.5,"115,000 mi.","$7,500"
136,2011 Acura RL Technology,"76,879 mi.","$13,995"
137,2000 Acura RL 3.5,"248,000 mi.","$1,595"
138,2008 Acura RL 3.5,"164,000 mi.","$5,200"
139,1996 Acura RL 3.5,"234,330 mi.","$2,499"
140,2012 Acura RL Technology,,"$11,588"
141,2002 Acura RL 3.5,"189,000 mi.","$4,950"
