,Name,Mileage,Price
0,2017 Acura RLX Technology Package,"16,788 mi.","$33,665"
1,2018 Acura RLX Technology Package,"7,402 mi.","$47,583"
2,2017 Acura RLX Technology Package,"15,099 mi.","$32,977"
3,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
4,2016 Acura RLX Technology Package,"21,551 mi.","$29,120"
5,2016 Acura RLX Technology Package,"23,737 mi.","$27,495"
6,2014 Acura RLX Technology Package,"39,494 mi.","$21,495"
7,2016 Acura RLX Advance Package,"41,464 mi.","$27,995"
8,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
9,2014 Acura RLX Technology Package,"80,225 mi.","$17,950"
10,2014 Acura RLX Advance Package,"82,390 mi.","$18,841"
11,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
12,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
13,2014 Acura RLX Navigation,"86,561 mi.","$16,982"
14,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
15,2016 Acura RLX Technology Package,"34,332 mi.","$24,992"
16,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
17,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
18,2014 Acura RLX Navigation,"85,388 mi.","$17,495"
19,2016 Acura RLX Technology Package,"41,002 mi.","$28,119"
20,2014 Acura RLX Navigation,"148,581 mi.","$9,988"
21,2017 Acura RLX Advance Package,62 mi.,"$33,489"
22,2016 Acura RLX Technology Package,"29,828 mi.","$24,489"
23,2015 Acura RLX Technology Package,"46,801 mi.","$22,998"
24,2014 Acura RLX Advance Package,"60,098 mi.","$18,797"
25,2014 Acura RLX Technology Package,"61,823 mi.","$17,495"
26,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
27,2018 Acura RLX Technology Package,496 mi.,"$44,929"
28,2018 Acura RLX Technology Package,"6,448 mi.","$44,398"
29,2018 Acura RLX Technology Package,"6,969 mi.","$43,998"
30,2015 Acura RLX Technology Package,"12,419 mi.","$27,490"
31,2014 Acura RLX Technology Package,"57,935 mi.","$19,997"
32,2015 Acura RLX Technology Package,"53,486 mi.","$21,862"
33,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
34,2014 Acura RLX Technology Package,"59,517 mi.","$21,103"
35,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
36,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
37,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
38,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
39,2014 Acura RLX Base,"58,722 mi.","$20,490"
40,2016 Acura RLX Technology Package,"25,122 mi.","$27,438"
41,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
42,2014 Acura RLX Technology Package,"68,195 mi.","$18,756"
43,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
44,2016 Acura RLX Technology Package,"28,920 mi.","$26,987"
45,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
46,2014 Acura RLX Technology Package,"69,593 mi.","$19,200"
47,2018 Acura RLX Technology Package,"4,865 mi.","$43,993"
48,2016 Acura RLX Technology Package,"33,297 mi.","$26,855"
49,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
50,2018 Acura RLX Technology Package,103 mi.,"$43,995"
51,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
52,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
53,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
54,2014 Acura RLX Base,"23,849 mi.","$19,998"
55,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
56,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
57,2016 Acura RLX Advance Package,"37,669 mi.","$31,275"
58,2014 Acura RLX Technology Package,"79,459 mi.","$18,490"
59,2014 Acura RLX Technology Package,"34,783 mi.","$21,595"
60,2018 Acura RLX Technology Package,9 mi.,"$37,900"
61,2018 Acura RLX w/Technology Pkg,"1,314 mi.","$39,781"
62,2018 Acura RLX Technology Package,"2,019 mi.","$37,900"
63,2018 Acura RLX Technology Package,96 mi.,"$37,900"
64,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
65,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
66,2018 Acura RLX Technology Package,"4,680 mi.","$42,741"
67,2016 Acura RLX Technology Package,"33,055 mi.","$25,799"
68,2014 Acura RLX Navigation,"76,290 mi.","$19,990"
69,2016 Acura RLX Technology Package,"47,768 mi.","$24,993"
70,2014 Acura RLX Advance Package,"22,351 mi.","$26,150"
71,2014 Acura RLX Technology Package,"42,854 mi.","$20,475"
72,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
73,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
74,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
75,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
76,2016 Acura RLX Advance Package,"26,424 mi.","$30,500"
77,2016 Acura RLX Technology Package,"29,601 mi.","$29,799"
78,2014 Acura RLX Technology Package,"42,928 mi.","$19,418"
79,2016 Acura RLX Technology Package,"26,924 mi.","$27,585"
80,2018 Acura RLX Technology Package,482 mi.,"$41,495"
81,2016 Acura RLX Technology Package,"30,924 mi.","$27,990"
82,2015 Acura RLX Technology Package,"30,082 mi.","$19,899"
83,2017 Acura RLX Technology Package,"11,323 mi.","$31,750"
84,2018 Acura RLX Technology Package,"7,842 mi.","$37,495"
85,2014 Acura RLX Technology Package,"48,035 mi.","$18,995"
86,2018 Acura RLX Technology Package,"6,083 mi.","$39,869"
87,2017 Acura RLX Technology Package,"9,969 mi.","$34,995"
88,2017 Acura RLX Technology Package,"6,813 mi.","$32,998"
89,2017 Acura RLX Technology Package,725 mi.,"$32,995"
90,2017 Acura RLX Technology Package,"3,109 mi.","$30,995"
91,2015 Acura RLX Technology Package,"46,394 mi.","$23,990"
92,2016 Acura RLX Technology Package,"51,586 mi.","$27,288"
93,2018 Acura RLX Technology Package,"6,928 mi.","$44,500"
94,2016 Acura RLX Technology Package,"28,330 mi.","$28,999"
95,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
96,2017 Acura RLX Advance Package,"10,599 mi.","$38,888"
97,2016 Acura RLX Technology Package,"22,687 mi.","$29,495"
98,2016 Acura RLX Technology Package,"20,720 mi.","$30,134"
99,2017 Acura RLX Technology Package,"6,190 mi.","$35,483"
100,2016 Acura RLX Technology Package,"26,638 mi.","$26,998"
101,2015 Acura RLX Technology Package,"47,089 mi.","$23,097"
102,2017 Acura RLX Technology Package,"25,133 mi.","$33,995"
103,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
104,2015 Acura RLX Technology Package,"29,259 mi.","$22,977"
105,2017 Acura RLX Technology Package,"4,897 mi.","$36,800"
106,2017 Acura RLX Technology Package,"4,042 mi.","$36,900"
107,2016 Acura RLX Advance Package,"38,435 mi.","$25,950"
108,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
109,2015 Acura RLX Technology Package,"38,006 mi.","$21,981"
110,2018 Acura RLX Technology Package,"7,012 mi.","$42,998"
111,2018 Acura RLX Technology Package,"4,058 mi.","$43,520"
112,2016 Acura RLX Advance Package,"28,630 mi.","$28,998"
113,2014 Acura RLX Technology Package,"45,470 mi.","$20,200"
114,2016 Acura RLX Technology Package,"84,166 mi.","$20,991"
115,2016 Acura RLX Advance Package,"40,608 mi.","$26,500"
116,2014 Acura RLX Technology Package,"70,088 mi.","$22,988"
117,2016 Acura RLX Technology Package,"29,824 mi.","$24,998"
118,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
119,2017 Acura RLX Technology Package,"14,490 mi.","$23,199"
120,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
121,2015 Acura RLX Technology Package,"34,790 mi.","$25,895"
122,2016 Acura RLX Technology Package,"25,194 mi.","$28,491"
123,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
124,2015 Acura RLX Technology Package,"37,166 mi.","$24,998"
125,2014 Acura RLX Technology Package,"57,115 mi.","$21,488"
126,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
127,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
128,2014 Acura RLX Technology Package,"66,286 mi.","$18,687"
129,2016 Acura RLX Advance Package,"29,514 mi.","$26,667"
130,2016 Acura RLX Technology Package,"29,976 mi.","$27,454"
131,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
132,2014 Acura RLX Advance Package,"58,570 mi.","$19,484"
133,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
134,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
135,2017 Acura RLX Advance Package,"10,521 mi.","$35,989"
136,2016 Acura RLX Technology Package,"26,700 mi.","$27,800"
137,2014 Acura RLX Technology Package,"32,383 mi.","$22,995"
138,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
139,2015 Acura RLX Advance Package,"31,317 mi.","$25,563"
140,2015 Acura RLX Technology Package,"21,564 mi.","$25,998"
141,2016 Acura RLX Technology Package,"17,838 mi.","$28,997"
142,2018 Acura RLX Technology Package,"2,370 mi.","$55,865"
143,2018 Acura RLX Technology Package,310 mi.,"$40,999"
144,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
145,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
146,2014 Acura RLX Technology Package,"93,305 mi.","$16,000"
147,2015 Acura RLX Technology Package,"33,677 mi.","$24,567"
148,2014 Acura RLX Advance Package,"99,917 mi.","$17,963"
149,2014 Acura RLX Navigation,"67,206 mi.","$19,990"
150,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
151,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
152,2016 Acura RLX Advance Package,"58,450 mi.","$27,620"
153,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
154,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
155,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
156,2017 Acura RLX Advance Package,"13,726 mi.","$37,900"
157,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
158,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
159,2014 Acura RLX 6-SPD,"57,945 mi.","$18,995"
160,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
161,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
162,2014 Acura RLX w/ Krell Audio,"59,632 mi.","$21,975"
163,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
164,2014 Acura RLX Base,"56,000 mi.","$22,500"
165,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
166,2016 Acura RLX Advance Package,"42,789 mi.","$29,797"
167,2016 Acura RLX Technology Package,"19,507 mi.","$28,985"
168,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
169,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
170,2016 Acura RLX Advance Package,"21,901 mi.","$29,991"
171,2016 Acura RLX Technology Package,"16,837 mi.","$27,998"
172,2017 Acura RLX Technology Package,"17,863 mi.","$32,977"
173,2014 Acura RLX Navigation,"78,885 mi.","$15,999"
174,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
175,2015 Acura RLX Technology Package,"54,046 mi.","$21,500"
176,2015 Acura RLX Technology Package,"59,947 mi.","$18,588"
177,2015 Acura RLX Technology Package,"71,916 mi.","$20,990"
178,2016 Acura RLX Technology Package,"25,245 mi.","$26,995"
179,2016 Acura RLX Technology Package,"42,458 mi.","$25,995"
180,2016 Acura RLX Technology Package,"50,544 mi.","$24,995"
181,2015 Acura RLX Technology Package,"48,774 mi.","$22,577"
182,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
183,2016 Acura RLX Technology Package,"31,869 mi.","$26,775"
184,2015 Acura RLX Advance Package,"44,816 mi.","$23,900"
185,2016 Acura RLX Technology Package,"22,335 mi.","$29,250"
186,2017 Acura RLX Advance Package,"70,422 mi.","$26,295"
187,2016 Acura RLX Technology Package,"28,743 mi.","$28,000"
188,2016 Acura RLX Technology Package,"14,182 mi.","$29,998"
189,2016 Acura RLX Technology Package,"13,890 mi.","$29,998"
190,2017 Acura RLX Advance Package,"26,294 mi.","$35,800"
191,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
192,2017 Acura RLX Technology Package,"11,859 mi.","$34,662"
193,2017 Acura RLX Advance Package,"1,425 mi.","$33,995"
194,2018 Acura RLX Technology Package,5 mi.,"$41,000"
195,2018 Acura RLX Technology Package,5 mi.,"$41,999"
196,2018 Acura RLX Technology Package,"2,193 mi.","$38,990"
197,2014 Acura RLX Technology Package,"70,088 mi.","$18,296"
198,2014 Acura RLX Technology Package,"63,041 mi.","$18,488"
199,2016 Acura RLX Technology Package,"49,289 mi.","$24,888"
200,2016 Acura RLX Advance Pkg,"9,285 mi.","$27,795"
201,2015 Acura RLX Technology Package,"24,857 mi.","$19,899"
202,2014 Acura RLX Technology Package,"52,046 mi.","$19,760"
203,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
204,2017 Acura RLX Advance Package,"2,872 mi.","$41,900"
205,2017 Acura RLX Technology Package,"3,600 mi.","$37,800"
206,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
207,2016 Acura RLX Technology Package,"28,901 mi.","$28,578"
208,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
209,2016 Acura RLX Advance Package,"27,769 mi.","$25,995"
210,2014 Acura RLX Technology Package,"45,196 mi.","$23,995"
211,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
212,2015 Acura RLX Technology Package,"31,422 mi.","$25,900"
213,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
214,2014 Acura RLX Base,"65,276 mi.","$19,249"
215,2016 Acura RLX Technology Package,"28,231 mi.","$26,900"
216,2014 Acura RLX Navigation,"82,167 mi.","$14,983"
217,2014 Acura RLX w/ Krell Audio,"60,437 mi.","$20,998"
218,2018 Acura RLX Technology Package,"4,243 mi.","$42,599"
219,2016 Acura RLX Technology Package,"33,297 mi.","$26,995"
220,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
221,2014 Acura RLX,"98,560 mi.","$17,998"
222,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
223,2016 Acura RLX Advance Package,"26,561 mi.","$28,973"
224,2014 Acura RLX Technology Package,"27,493 mi.","$24,490"
225,2014 Acura RLX Technology Package,"55,954 mi.","$21,900"
226,2016 Acura RLX Technology Package,"66,293 mi.","$23,000"
227,2016 Acura RLX Technology Package,"29,259 mi.","$27,975"
228,2014 Acura RLX Technology Package,"40,440 mi.","$23,513"
229,2018 Acura RLX Technology Package,"8,294 mi.","$44,498"
230,2016 Acura RLX Technology Package,"66,293 mi.","$23,000"
231,2017 Acura RLX Advance Package,"26,294 mi.","$38,100"
232,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
233,2016 Acura RLX Technology Package,"45,040 mi.","$26,890"
234,2014 Acura RLX Advance Package,"67,092 mi.","$20,995"
235,2014 Acura RLX Technology Package,"53,229 mi.","$22,998"
236,2014 Acura RLX Technology Package,"41,037 mi.","$18,995"
237,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
238,2014 Acura RLX Advance Package,"73,806 mi.","$19,900"
239,2014 Acura RLX Technology Package,"68,976 mi.","$18,880"
240,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
241,2014 Acura RLX Technology Package,"31,209 mi.","$21,500"
242,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
243,2016 Acura RLX Technology Package,"34,561 mi.","$26,900"
244,2014 Acura RLX Technology Package,"62,566 mi.","$20,910"
245,2014 Acura RLX Base,"43,084 mi.","$20,990"
246,2014 Acura RLX Base,"98,710 mi.","$17,068"
