,Name,Mileage,Price
0,2002 Acura RSX Type S,"86,778 mi.","$9,777"
1,2002 Acura RSX Auto,"135,079 mi.","$6,988"
2,2006 Acura RSX 2dr Cpe AT,"120,978 mi.","$7,995"
3,2006 Acura RSX,"113,852 mi.","$8,334"
4,2005 Acura RSX,"135,696 mi.","$4,450"
5,2004 Acura RSX Type S,"86,942 mi.","$11,990"
6,2004 Acura RSX Base 2dr Hatchback,"143,699 mi.","$5,000"
7,2004 Acura RSX,"129,041 mi.","$5,398"
8,2002 Acura RSX Auto,"124,072 mi.","$4,990"
9,2006 Acura RSX Type-S Leather,"117,141 mi.","$9,990"
10,2003 Acura RSX w/Leather 2dr Hatchback,"131,458 mi.","$4,495"
11,2002 Acura RSX,"216,140 mi.","$3,450"
12,2002 Acura RSX Type S,"182,155 mi.","$5,000"
13,2002 Acura RSX,"120,087 mi.","$4,995"
14,2002 Acura RSX,"203,281 mi.","$2,500"
15,2006 Acura RSX Coupe with 5-speed AT,"124,578 mi.","$5,500"
16,2004 Acura RSX 3dr Sport Cpe Auto w/Leather,"105,127 mi.","$5,995"
17,2005 Acura RSX,"103,529 mi.","$4,499"
18,2006 Acura RSX 2dr Cpe AT,"105,903 mi.","$6,995"
19,2006 Acura RSX Type-S Leather,"88,000 mi.","$11,500"
20,2004 Acura RSX 3dr Sport Cpe Auto,"128,713 mi.","$4,295"
21,2002 Acura RSX,"128,248 mi.","$3,300"
22,2005 Acura RSX 2dr Cpe AT,"231,928 mi.","$4,589"
23,2002 Acura RSX Auto w/Leather,"125,220 mi.","$6,491"
24,2002 Acura RSX,"53,000 mi.","$8,900"
25,2005 Acura RSX 2dr Cpe AT,"95,980 mi.","$7,991"
26,2006 Acura RSX 2dr Cpe AT,"98,852 mi.","$7,000"
27,2005 Acura RSX 2dr Cpe AT,"175,110 mi.","$4,450"
28,2003 Acura RSX,"181,750 mi.","$3,496"
29,2003 Acura RSX Coupe with 5-speed AT,"108,324 mi.","$5,800"
30,2004 Acura RSX 3dr Sport Cpe Manual,"102,593 mi.","$6,595"
31,2002 Acura RSX Type S,"160,118 mi.","$5,999"
