,Name,Mileage,Price
0,2012 Acura TL 3.5,"51,194 mi.","$14,995"
1,2012 Acura TL 3.5,"108,800 mi.","$11,885"
2,2006 Acura TL,"129,163 mi.","$7,200"
3,2012 Acura TL 3.5,"74,548 mi.","$14,000"
4,2010 Acura TL 3.5 Technology,"59,751 mi.","$13,988"
5,2013 Acura TL 3.5 Special Edition,"60,934 mi.","$12,892"
6,2012 Acura TL 3.7,"92,877 mi.","$16,976"
7,2003 Acura TL 3.2,"156,173 mi.","$3,995"
8,2012 Acura TL 3.7,"92,593 mi.","$13,788"
9,2014 Acura TL 3.7,"53,195 mi.","$19,591"
10,2006 Acura TL Base,"40,909 mi.","$11,999"
11,2012 Acura TL 3.5,"70,264 mi.","$14,999"
12,2008 Acura TL 3.2 w/Navigation,"112,825 mi.","$8,495"
13,2014 Acura TL 3.7,"46,826 mi.","$22,777"
14,2014 Acura TL 3.5,"52,936 mi.","$16,825"
15,2008 Acura TL Type S w/Navigation,"104,751 mi.","$10,998"
16,2012 Acura TL 3.7,"80,275 mi.","$13,999"
17,2012 Acura TL 3.5,"100,975 mi.","$11,591"
18,2012 Acura TL 3.5,"78,161 mi.","$13,994"
19,2012 Acura TL 3.5,"72,380 mi.","$12,963"
20,2010 Acura TL 3.5 Technology,"106,058 mi.","$11,312"
21,2012 Acura TL Technology,"42,018 mi.","$17,928"
22,2013 Acura TL 3.5,"82,486 mi.","$12,877"
23,2008 Acura TL 3.2 w/Navigation,"88,877 mi.","$8,995"
24,2012 Acura TL Technology,"57,361 mi.","$15,831"
25,2014 Acura TL 3.5,"62,537 mi.","$15,988"
26,2013 Acura TL 3.5 Special Edition,"53,044 mi.","$15,995"
27,2012 Acura TL Technology,"73,289 mi.","$14,796"
28,2013 Acura TL 3.5,"66,490 mi.","$14,288"
29,2014 Acura TL 3.7 Advance,"94,366 mi.","$14,944"
30,2011 Acura TL 3.7,"100,176 mi.","$11,990"
31,2006 Acura TL Base,"179,269 mi.","$4,500"
32,2014 Acura TL 3.7,"65,505 mi.","$17,910"
33,2013 Acura TL 3.5,"80,959 mi.","$14,000"
34,2013 Acura TL 3.5 Advance,"97,800 mi.","$14,777"
35,2012 Acura TL 3.7,"145,993 mi.","$9,999"
36,2009 Acura TL 3.5,"118,299 mi.","$7,750"
37,2007 Acura TL 3.2 w/Navigation,"107,475 mi.","$7,988"
38,2004 Acura TL 3.2,"184,289 mi.","$4,995"
39,2009 Acura TL 3.5,"104,564 mi.","$10,390"
40,2010 Acura TL 3.5,"82,522 mi.","$11,985"
41,2004 Acura TL,"207,189 mi.","$3,300"
42,2013 Acura TL 3.5,"43,041 mi.","$14,924"
43,2009 Acura TL 3.7 Technology,"85,150 mi.","$12,210"
44,2012 Acura TL 3.5,"90,146 mi.","$11,900"
45,2012 Acura TL 3.5 Advance,"59,890 mi.","$16,000"
46,2009 Acura TL 3.5 Technology,"130,109 mi.","$9,825"
47,2012 Acura TL 3.5,"108,281 mi.","$9,977"
48,2011 Acura TL 3.5,"98,845 mi.","$11,000"
49,2009 Acura TL 3.7 Technology,"100,549 mi.","$10,500"
50,2008 Acura TL 3.2 w/Navigation,"109,230 mi.","$8,497"
51,2007 Acura TL,"144,224 mi.","$5,958"
52,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
53,2011 Acura TL 3.7,"81,433 mi.","$12,992"
54,2012 Acura TL 3.7,"76,930 mi.","$15,489"
55,2010 Acura TL 3.5,"123,597 mi.","$7,995"
56,2014 Acura TL 3.7,"40,498 mi.","$20,570"
57,2010 Acura TL 3.5 Technology,"95,426 mi.","$11,500"
58,2014 Acura TL 3.7,"37,708 mi.","$19,995"
59,2013 Acura TL 3.5,"93,002 mi.","$11,536"
60,2006 Acura TL Base,"97,493 mi.","$5,495"
61,2012 Acura TL Technology,"65,749 mi.","$14,981"
62,2012 Acura TL 3.5,"50,483 mi.","$15,000"
63,2008 Acura TL,"144,498 mi.","$7,499"
64,2012 Acura TL 3.5,"84,178 mi.","$13,200"
65,2012 Acura TL 3.5,"82,982 mi.","$14,600"
66,2013 Acura TL 3.5,"64,421 mi.","$13,498"
67,2009 Acura TL 3.5 Technology,"81,733 mi.","$10,915"
68,2014 Acura TL 3.5,"34,595 mi.","$16,300"
69,2012 Acura TL 3.5,"114,288 mi.","$10,950"
70,2011 Acura TL 3.5,"87,408 mi.","$9,231"
71,2004 Acura TL 3.2,"301,511 mi.","$2,500"
72,2011 Acura TL 3.5,"51,533 mi.","$14,400"
73,2012 Acura TL Technology,"91,000 mi.","$11,499"
74,2010 Acura TL,"120,830 mi.","$9,419"
75,2012 Acura TL 3.5,"61,079 mi.","$12,000"
76,2010 Acura TL 3.5 FWD,"113,526 mi.","$9,900"
77,2006 Acura TL,"97,700 mi.","$6,310"
78,2006 Acura TL,"135,232 mi.","$5,598"
79,2014 Acura TL 3.5 Special Edition,"26,910 mi.","$14,295"
80,2008 Acura TL 3.2,"80,243 mi.","$8,785"
81,2012 Acura TL 3.7 Advance,"70,465 mi.","$16,991"
82,2012 Acura TL 3.5,"83,854 mi.","$11,983"
83,2009 Acura TL 3.5,"121,731 mi.","$7,996"
84,2012 Acura TL 3.5,"79,146 mi.","$10,995"
85,2008 Acura TL 3.2,"126,481 mi.","$9,450"
86,2009 Acura TL 3.7 Technology,"130,288 mi.","$8,981"
87,2008 Acura TL,"121,011 mi.","$7,250"
88,2008 Acura TL 3.2,"72,300 mi.","$8,995"
89,2008 Acura TL 3.2 w/Navigation,"58,121 mi.","$10,995"
90,2010 Acura TL 3.5,"121,835 mi.","$10,900"
91,2013 Acura TL 3.5,"82,601 mi.","$12,222"
92,2012 Acura TL 3.5,"63,812 mi.","$13,900"
93,2013 Acura TL 3.5,"89,987 mi.","$13,888"
94,2010 Acura TL Technology,"77,160 mi.","$14,150"
95,2009 Acura TL 3.7 Technology,"82,656 mi.","$12,399"
96,2010 Acura TL Technology,"86,101 mi.","$13,491"
97,2007 Acura TL Type S w/Navigation,"94,796 mi.","$11,300"
98,2013 Acura TL Technology,"53,676 mi.","$17,000"
99,2012 Acura TL 3.7,"65,588 mi.","$16,483"
100,2013 Acura TL 3.5,"96,606 mi.","$13,500"
101,2007 Acura TL 3.2,"13,002 mi.","$8,998"
102,2012 Acura TL 3.5,"92,783 mi.","$12,999"
103,2013 Acura TL 3.5,"52,909 mi.","$16,300"
104,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
105,2011 Acura TL 3.5 Technology,"99,944 mi.","$12,000"
106,2013 Acura TL 3.5,"52,909 mi.","$16,300"
107,2014 Acura TL 3.5,"79,110 mi.","$14,991"
108,2006 Acura TL,"56,067 mi.","$9,586"
109,2014 Acura TL 3.5 Advance,"38,126 mi.","$13,291"
110,2014 Acura TL 3.5,"54,758 mi.","$18,088"
111,2010 Acura TL 4dr Sdn SH-AWD,"110,696 mi.","$11,487"
112,2013 Acura TL 3.5,"56,506 mi.","$14,951"
113,2007 Acura TL,"122,001 mi.","$7,749"
114,2014 Acura TL 3.5,"49,562 mi.","$17,471"
115,2010 Acura TL 3.5 Technology,"59,879 mi.","$13,991"
116,2002 Acura TL,"112,610 mi.","$4,498"
117,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
118,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
119,2013 Acura TL 3.5,"52,909 mi.","$16,300"
120,2013 Acura TL Advance,"37,883 mi.","$17,420"
121,2013 Acura TL 3.5,"52,909 mi.","$16,300"
122,2013 Acura TL 3.5,"42,897 mi.","$15,394"
123,2010 Acura TL 3.5,"73,940 mi.","$13,000"
124,2005 Acura TL 3.2,"123,954 mi.","$7,000"
125,2012 Acura TL 3.5,"55,955 mi.","$14,595"
126,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
127,2013 Acura TL 3.5,"52,909 mi.","$16,300"
128,2006 Acura TL Base,"64,296 mi.","$8,850"
129,2012 Acura TL Base,"69,364 mi.","$14,499"
130,2010 Acura TL 3.5,"48,304 mi.","$13,288"
131,2013 Acura TL 3.5,"51,752 mi.","$17,500"
132,2013 Acura TL 3.5,"52,909 mi.","$16,300"
133,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
134,2013 Acura TL 3.5,"52,909 mi.","$16,300"
135,2007 Acura TL Type S,"168,229 mi.","$7,200"
136,2005 Acura TL 3.2,"146,369 mi.","$4,950"
137,2014 Acura TL 3.5,"81,365 mi.","$14,900"
138,2012 Acura TL Technology,"95,070 mi.","$13,699"
139,2014 Acura TL 3.7,"65,119 mi.","$18,998"
140,2010 Acura TL 3.5,"94,470 mi.","$12,600"
141,2008 Acura TL Base,"122,266 mi.","$6,848"
142,2013 Acura TL 3.7,"75,900 mi.","$15,000"
143,2013 Acura TL 3.5,"52,909 mi.","$16,300"
144,2010 Acura TL 3.5,"134,104 mi.","$8,490"
145,2013 Acura TL 3.5,"52,909 mi.","$16,300"
146,2012 Acura TL 3.7 Advance,"52,878 mi.","$15,944"
147,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
148,2013 Acura TL 3.5,"52,909 mi.","$16,300"
149,2014 Acura TL 3.7,"74,241 mi.","$18,998"
150,2013 Acura TL 3.5,"52,909 mi.","$16,300"
151,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
152,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
153,2012 Acura TL 3.7,"64,972 mi.","$15,390"
154,2012 Acura TL 3.5,"117,666 mi.","$10,977"
155,2012 Acura TL 3.5,"116,618 mi.","$11,350"
156,2012 Acura TL 3.5,"76,669 mi.","$14,800"
157,2013 Acura TL 3.5,"52,909 mi.","$16,300"
158,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
159,2013 Acura TL 3.5,"52,909 mi.","$16,300"
160,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
161,2013 Acura TL 3.5,"52,909 mi.","$16,300"
162,2013 Acura TL 3.5,"52,909 mi.","$16,300"
163,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
164,2012 Acura TL 3.7,"91,386 mi.","$14,500"
165,2012 Acura TL 3.5,"77,895 mi.","$13,299"
166,2013 Acura TL 3.5,"52,909 mi.","$16,300"
167,2011 Acura TL 3.5,"99,800 mi.","$8,995"
168,2013 Acura TL 3.5,"52,909 mi.","$16,300"
169,2013 Acura TL 3.5,"52,909 mi.","$16,300"
170,2011 Acura TL 3.5,"97,077 mi.","$11,771"
171,2008 Acura TL,"90,279 mi.","$8,431"
172,2013 Acura TL 3.5,"52,909 mi.","$16,300"
173,2013 Acura TL 3.5,"52,909 mi.","$16,300"
174,2012 Acura TL 3.5,"92,534 mi.","$13,000"
175,2009 Acura TL 3.5,"52,349 mi.","$12,000"
176,2013 Acura TL 3.5,"52,909 mi.","$16,300"
177,2013 Acura TL 3.5,"52,909 mi.","$16,300"
178,2007 Acura TL 3.2,"109,789 mi.","$8,150"
179,2008 Acura TL 2008 LOADED&,"130,507 mi.","$7,995"
180,2013 Acura TL 3.5,"52,909 mi.","$16,300"
181,2013 Acura TL 3.5,"58,596 mi.","$14,495"
182,2014 Acura TL Technology,"43,404 mi.","$18,990"
183,2013 Acura TL 3.5,"96,454 mi.","$12,900"
184,2009 Acura TL 3.5,"127,861 mi.","$9,192"
185,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
186,2013 Acura TL 3.5,"52,909 mi.","$16,300"
187,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
188,2013 Acura TL 3.5,"52,909 mi.","$16,300"
189,2002 Acura TL Type S,"180,962 mi.","$3,451"
190,2008 Acura TL 3.2 w/Navigation,"99,296 mi.","$7,995"
191,2008 Acura TL 3.2,"82,132 mi.","$9,897"
192,2012 Acura TL 3.5,"53,155 mi.","$15,995"
193,2010 Acura TL 4dr Sdn SH-AWD,"101,285 mi.","$9,995"
194,2012 Acura TL 3.5,"89,628 mi.","$12,335"
195,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
196,2013 Acura TL 3.5,"52,909 mi.","$16,300"
197,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
198,2007 Acura TL 3.2,"130,590 mi.","$6,497"
199,2014 Acura TL 3.5 Special Edition,"42,901 mi.","$18,700"
200,2004 Acura TL 3.2,"159,154 mi.","$6,988"
201,2012 Acura TL 3.5,"91,027 mi.","$14,195"
202,2009 Acura TL 3.5 Technology,"101,754 mi.","$11,993"
203,2012 Acura TL 3.5,"41,811 mi.","$16,380"
204,2012 Acura TL 3.5,"67,710 mi.","$16,976"
205,2012 Acura TL 3.5,"59,729 mi.","$12,988"
206,2009 Acura TL Technology,"100,904 mi.","$11,995"
207,2013 Acura TL 3.5,"52,909 mi.","$16,300"
208,2011 Acura TL 3.7 Technology,"63,435 mi.","$16,994"
209,2014 Acura TL 3.7,"39,705 mi.","$22,998"
210,2012 Acura TL 3.7,"67,430 mi.","$16,899"
211,2012 Acura TL Technology,"60,062 mi.","$17,995"
212,2010 Acura TL Technology,"119,428 mi.","$12,483"
213,1999 Acura TL 3.2,"221,382 mi.","$2,999"
214,2010 Acura TL 3.5 Technology,"142,878 mi.","$9,995"
215,2010 Acura TL,"78,828 mi.","$13,300"
216,2012 Acura TL 3.5,"91,408 mi.","$14,995"
217,2012 Acura TL 3.7,"65,348 mi.","$17,998"
218,2012 Acura TL 3.5,"76,958 mi.","$15,998"
219,2013 Acura TL 3.5,"52,909 mi.","$16,300"
220,2013 Acura TL 3.5,"52,909 mi.","$16,300"
221,2012 Acura TL 3.5,"32,737 mi.","$15,488"
222,2007 Acura TL 3.2,"96,648 mi.","$6,997"
223,2009 Acura TL 3.5,"79,601 mi.","$9,995"
224,2012 Acura TL 3.5,"16,206 mi.","$16,960"
225,2012 Acura TL Technology,"111,004 mi.","$11,291"
226,2013 Acura TL Advance,"80,416 mi.","$14,491"
227,2012 Acura TL 3.5,"87,890 mi.","$12,900"
228,2006 Acura TL,"165,835 mi.","$5,271"
229,2013 Acura TL 3.7,"78,522 mi.","$15,990"
230,2008 Acura TL,"115,603 mi.","$7,999"
231,2010 Acura TL 3.5 Technology,"87,801 mi.","$12,440"
232,2012 Acura TL 3.5 Advance,"81,509 mi.","$13,566"
233,2008 Acura TL 3.2,"103,828 mi.","$9,000"
234,2012 Acura TL 3.5,"107,201 mi.","$12,895"
235,2013 Acura TL 3.5,"92,220 mi.","$12,850"
236,2014 Acura TL 3.5,"25,670 mi.","$19,698"
237,2013 Acura TL 3.5,"58,110 mi.","$16,998"
238,2012 Acura TL 3.5,"44,795 mi.","$15,992"
239,2013 Acura TL 3.7,"83,085 mi.","$14,000"
240,2007 Acura TL,"134,919 mi.","$5,529"
241,2006 Acura TL,"189,298 mi.","$6,000"
242,2007 Acura TL 3.2,"154,778 mi.","$4,999"
243,2012 Acura TL 3.7 Advance,"72,702 mi.","$16,995"
244,2009 Acura TL 3.5,"79,592 mi.","$10,649"
245,2013 Acura TL 3.5,"52,909 mi.","$16,300"
246,2012 Acura TL Technology,"89,445 mi.","$13,449"
247,2012 Acura TL 3.5,"110,149 mi.","$10,989"
248,2013 Acura TL 3.5,"52,909 mi.","$16,300"
249,2013 Acura TL 3.5,"52,909 mi.","$16,300"
250,2013 Acura TL Technology,"96,770 mi.","$14,099"
251,2013 Acura TL 3.5,"52,909 mi.","$16,300"
252,2013 Acura TL 3.5,"86,585 mi.","$12,888"
