,Name,Mileage,Price
0,2010 Aston Martin DBS 2dr Volante,"9,312 mi.","$107,888"
1,2016 Aston Martin Vanquish,"2,010 mi.","$179,000"
2,2015 Aston Martin Vanquish Volante,"7,174 mi.","$178,888"
3,2017 Aston Martin DB11 Launch Edition,"2,648 mi.","$174,358"
4,2017 Aston Martin DB11 Launch Edition,"4,463 mi.","$173,972"
5,2017 Aston Martin DB11 Launch Edition,521 mi.,"$174,804"
6,2002 Aston Martin V12 Vanquish Base,"18,983 mi.","$69,999"
7,2015 Aston Martin V12 Vantage S Base,"4,237 mi.","$109,999"
8,2013 Aston Martin V8 Vantage Base,"7,583 mi.","$74,888"
9,2012 Aston Martin Rapide Luxury,"10,369 mi.","$106,888"
10,2006 Aston Martin DB9 Volante,"19,360 mi.","$45,880"
11,2018 Aston Martin DB11 Base,"2,317 mi.","$179,990"
12,2016 Aston Martin DB9 GT Volante,"2,675 mi.","$138,990"
13,2015 Aston Martin Vanquish Base,"9,940 mi.","$167,007"
14,2016 Aston Martin Vanquish Volante,"4,990 mi.","$183,007"
15,2015 Aston Martin Vanquish Base,"11,626 mi.","$144,907"
16,2009 Aston Martin V8 Vantage Base,"20,868 mi.","$46,800"
17,2016 Aston Martin Vanquish 2dr Coupe,829 mi.,"$184,900"
18,2016 Aston Martin V12 Vantage S Base,"11,756 mi.","$119,900"
19,2018 Aston Martin DB11 Base,"4,640 mi.","$179,970"
20,2014 Aston Martin V8 Vantage Base,"14,120 mi.","$64,888"
21,2012 Aston Martin V8 Vantage S Base,"15,096 mi.","$67,900"
22,2015 Aston Martin Vanquish Volante,"4,188 mi.","$169,000"
23,2014 Aston Martin Vanquish L,"9,490 mi.","$129,991"
24,2018 Aston Martin DB11 Base,"2,346 mi.","$199,984"
25,2018 Aston Martin Vanquish S,65 mi.,"$229,000"
26,2017 Aston Martin DB11 Launch Edition,"3,656 mi.","$179,999"
27,2015 Aston Martin S,"8,744 mi.","$107,159"
28,2015 Aston Martin V8 Vantage Base,"4,106 mi.","$76,495"
29,2013 Aston Martin DB9 2dr Volante Auto,"13,398 mi.","$93,000"
30,2014 Aston Martin V8 Vantage Base,"6,521 mi.","$93,900"
31,2014 Aston Martin V8 Vantage Base,"3,505 mi.","$93,900"
32,2018 Aston Martin DB11 Base,"2,990 mi.","$174,500"
33,2015 Aston Martin DB9 Carbon Edition,"11,841 mi.","$132,687"
34,2015 Aston Martin V8 Vantage Base,"2,922 mi.","$78,995"
35,2017 Aston Martin DB11,"4,380 mi.","$162,985"
36,2014 Aston Martin Vanquish 2dr Cpe,"3,237 mi.","$143,977"
37,2018 Aston Martin DB11 Base,29 mi.,"$226,375"
38,2019 Aston Martin Vantage Coupe,300 mi.,"$169,950"
39,2017 Aston Martin DB11 Launch Edition,"4,216 mi.","$170,000"
40,2017 Aston Martin DB11 Launch Edition,"6,020 mi.","$167,177"
41,2018 Aston Martin Vanquish Volante S,14 mi.,"$264,800"
42,2017 Aston Martin DB11,"3,287 mi.","$169,880"
43,2009 Aston Martin DB9 Volante,"27,275 mi.","$58,999"
44,2014 Aston Martin Vanquish 2dr Volante,"11,913 mi.","$132,400"
45,2018 Aston Martin Vanquish S,"1,975 mi.","$242,500"
46,2009 Aston Martin DB9 Volante,"14,112 mi.","$61,800"
47,2017 Aston Martin DB11,"5,939 mi.","$167,800"
48,2017 Aston Martin DB11,"2,099 mi.","$165,500"
49,2018 Aston Martin Vanquish S,42 mi.,"$298,894"
50,2018 Aston Martin DB11 Base,"5,398 mi.","$209,792"
51,2018 Aston Martin DB11 Base,"2,995 mi.","$209,894"
52,2017 Aston Martin Rapide S,148 mi.,"$199,991"
53,2019 Aston Martin DB11 Volante,90 mi.,"$229,991"
54,2019 Aston Martin Vantage Base,"1,449 mi.","$174,991"
55,2017 Aston Martin DB11,329 mi.,"$199,991"
56,2016 Aston Martin Vanquish V12,"2,563 mi.","$189,894"
57,2014 Aston Martin Vanquish Base,"15,415 mi.","$119,439"
58,2014 Aston Martin V8 Vantage 2DR CPE,929 mi.,"$82,000"
59,2009 Aston Martin DB9 Volante,"21,791 mi.","$56,496"
60,2018 Aston Martin Vanquish S,75 mi.,"$270,000"
61,2018 Aston Martin DB11 V8,"3,518 mi.","$187,000"
62,2015 Aston Martin V12 Vantage S Base,"17,984 mi.","$92,996"
63,2015 Aston Martin DB9 Carbon Edition,"17,085 mi.","$89,996"
64,2015 Aston Martin DB9 Volante,"7,934 mi.","$119,998"
65,2014 Aston Martin Vanquish Base,"3,655 mi.","$129,990"
66,2018 Aston Martin DB11 Base,"5,040 mi.","$187,488"
67,2012 Aston Martin V8 Vantage S Base,"30,038 mi.","$54,495"
68,2014 Aston Martin Vanquish 2dr Cpe,"7,572 mi.","$144,404"
69,2014 Aston Martin DB9 Volante,"21,652 mi.","$89,998"
70,2014 Aston Martin Vanquish 2dr Cpe,"8,664 mi.","$141,000"
71,2016 Aston Martin V8 Vantage S Base,"2,292 mi.","$89,995"
72,2016 Aston Martin DB9 GT Bond Edition,"20,187 mi.","$129,333"
73,2012 Aston Martin V8 Vantage S,"13,282 mi.","$65,800"
74,2014 Aston Martin Vanquish V12,"13,131 mi.","$119,980"
75,2018 Aston Martin V12,"4,480 mi.","$182,880"
76,2019 Aston Martin,"7,973 mi.","$208,880"
77,2018 Aston Martin V8,"6,210 mi.","$159,980"
78,2015 Aston Martin S,"11,682 mi.","$89,980"
79,2015 Aston Martin S,"14,980 mi.","$104,480"
80,2010 Aston Martin DBS Volante,"7,500 mi.","$97,990"
81,2015 Aston Martin V8 Vantage Base,"8,021 mi.","$82,880"
82,2017 Aston Martin Rapide S Shadow Edition,"1,139 mi.","$158,880"
83,2014 Aston Martin Vanquish 2dr Cpe,"13,140 mi.","$120,900"
84,2015 Aston Martin V8 Vantage Base,"5,191 mi.","$85,000"
85,2017 Aston Martin DB11,"3,830 mi.","$158,999"
86,2010 Aston Martin DBS 2dr Volante,"4,946 mi.","$111,900"
87,2018 Aston Martin DB11 V8,"1,986 mi.","$179,900"
