,Name,Mileage,Price
0,2016 Audi A4 2.0T Premium quattro,"28,268 mi.","$23,515"
1,2014 Audi A4 2.0T Premium,"25,381 mi.","$20,350"
2,2018 Audi A4 2.0T Premium quattro,"10,018 mi.","$41,900"
3,2018 Audi A4 2.0T,"9,878 mi.","$30,850"
4,2015 Audi A4 2.0T Premium,"78,724 mi.","$15,000"
5,2014 Audi A4 2.0T Premium,"102,297 mi.","$11,485"
6,2016 Audi A4 2.0T Premium,"22,945 mi.","$20,994"
7,2017 Audi A4 2.0T Premium Plus,"27,724 mi.","$27,900"
8,2016 Audi A4 2.0T Premium,"35,169 mi.","$21,027"
9,2014 Audi A4 2.0T Premium Plus quattro,"49,124 mi.","$16,988"
10,2009 Audi A4 2.0T Premium quattro,"73,653 mi.","$9,887"
11,2012 Audi A4 2.0T Premium quattro,"119,271 mi.","$9,288"
12,2018 Audi A4 2.0T,"7,218 mi.","$31,900"
13,2018 Audi A4 2.0T Premium quattro,"6,110 mi.","$35,592"
14,2018 Audi A4 2.0T Premium quattro,"11,515 mi.","$38,981"
15,2016 Audi A4 2.0T Premium,"14,260 mi.","$26,549"
16,2015 Audi A4 2.0T Premium,"53,205 mi.","$19,149"
17,2013 Audi A4 2.0T Premium,"54,692 mi.","$15,349"
18,2014 Audi A4 2.0T Premium quattro,"61,228 mi.","$16,599"
19,2017 Audi A4 2.0T Premium,"40,545 mi.","$21,898"
20,2014 Audi A4 2.0T Premium Plus,"71,740 mi.","$17,471"
21,2013 Audi A4 2.0T Premium Plus quattro,"90,731 mi.","$15,074"
22,2015 Audi A4 2.0T Premium Plus quattro,"30,146 mi.","$24,488"
23,2015 Audi A4 2.0T Premium quattro,"31,815 mi.","$19,999"
24,2007 Audi A4 2.0T quattro,"90,665 mi.","$5,995"
25,2015 Audi A4 2.0T Premium Plus,"38,776 mi.","$23,580"
26,2012 Audi A4 2.0T Premium quattro,"129,408 mi.","$9,999"
27,2015 Audi A4 2.0T Premium Plus,"36,030 mi.","$20,636"
28,2017 Audi A4 Premium Plus,"21,209 mi.","$34,890"
29,2012 Audi A4 2.0T Premium Plus,"97,317 mi.","$10,981"
30,2018 Audi A4 2.0T Premium quattro,"11,076 mi.","$35,989"
31,2014 Audi A4 2.0T Premium quattro,"67,826 mi.","$17,647"
32,2014 Audi A4 2.0T Premium Plus quattro,"57,620 mi.","$17,898"
33,2014 Audi A4 2.0T Premium quattro,"55,717 mi.","$15,827"
34,2012 Audi A4 2.0T Premium,"62,879 mi.","$13,750"
35,2017 Audi A4 2.0T Premium,"24,738 mi.","$25,666"
36,2016 Audi A4 2.0T Premium quattro,"80,199 mi.","$17,462"
37,2011 Audi A4 2.0T Premium Plus,"77,136 mi.","$11,860"
38,2014 Audi A4 2.0T Premium Plus,"109,996 mi.","$14,850"
39,2017 Audi A4 Premium,"38,767 mi.","$24,555"
40,2017 Audi A4 2.0T Premium,"23,979 mi.","$25,991"
41,2014 Audi A4 2.0T Premium Plus quattro,"65,580 mi.","$17,496"
42,2016 Audi A4 2.0T Premium Plus,"23,484 mi.","$26,914"
43,2017 Audi A4 2.0T Premium,"18,327 mi.","$26,999"
44,2016 Audi A4 2.0T Premium Plus,"31,186 mi.","$22,500"
45,2012 Audi A4 2.0T Premium Plus quattro,"92,208 mi.","$12,680"
46,2008 Audi A4 3.2 quattro,"120,796 mi.","$7,847"
47,2016 Audi A4 2.0T Premium quattro,"18,247 mi.","$24,587"
48,2012 Audi A4 2.0T Avant Premium quattro,"60,418 mi.","$16,966"
49,2018 Audi A4 2.0T Premium Plus,"4,891 mi.","$38,800"
50,2018 Audi A4 2.0T ultra Premium,"5,432 mi.","$32,800"
51,2012 Audi A4 2.0T Premium quattro,"57,644 mi.","$14,995"
52,2017 Audi A4 Premium,"24,911 mi.","$28,006"
53,2015 Audi A4 2.0T Premium Plus,"52,382 mi.","$18,995"
54,2016 Audi A4 2.0T Premium quattro,"35,224 mi.","$23,474"
55,2018 Audi A4 2.0T ultra Premium,"8,672 mi.","$30,995"
56,2018 Audi A4 2.0T Premium quattro,"7,422 mi.","$32,484"
57,2016 Audi A4 2.0T Premium,"8,477 mi.","$24,450"
58,2017 Audi A4 Premium Plus,"17,874 mi.","$29,987"
59,2015 Audi A4 2.0T Premium,"41,064 mi.","$19,988"
60,2015 Audi A4 2.0T Premium,"53,904 mi.","$18,169"
61,2017 Audi A4 2.0T Premium Plus quattro,"42,443 mi.","$28,684"
62,2016 Audi A4 2.0T Premium Plus,"66,025 mi.","$18,885"
63,2015 Audi A4 2.0T Premium,"37,818 mi.","$19,329"
64,2011 Audi A4 2.0T Premium,"58,065 mi.","$10,795"
65,2011 Audi A4 2.0T Premium Plus,"81,822 mi.","$10,500"
66,2016 Audi A4 2.0T Premium,"40,197 mi.","$20,499"
67,2011 Audi A4 2.0T Premium Plus quattro,"79,624 mi.","$10,995"
68,2007 Audi A4 2.0T,"85,700 mi.","$8,988"
69,2014 Audi A4 2.0T Premium Plus quattro,"48,115 mi.","$16,299"
70,2017 Audi A4 2.0T Premium,"49,591 mi.","$19,499"
71,2015 Audi A4 2.0T Premium,"46,837 mi.","$16,694"
72,2015 Audi A4 2.0T Premium,"38,254 mi.","$22,900"
73,2011 Audi A4 2.0T Premium quattro,"105,175 mi.","$8,500"
74,2015 Audi A4 2.0T Premium,"52,016 mi.","$20,995"
75,2015 Audi A4 2.0T Premium,"35,341 mi.","$21,995"
76,2018 Audi A4 2.0T Premium Plus,"7,001 mi.","$39,998"
77,2016 Audi A4 2.0T Premium Plus quattro,"38,945 mi.","$23,499"
78,2018 Audi A4 2.0T Premium,"9,557 mi.","$36,993"
79,2016 Audi A4 2.0T Premium quattro,"30,838 mi.","$20,999"
80,2017 Audi A4 2.0T Premium quattro,"13,020 mi.","$28,966"
81,2016 Audi A4 2.0T Premium quattro,"38,126 mi.","$24,990"
82,2007 Audi A4 2.0T Cabriolet quattro,"85,233 mi.","$6,000"
83,2015 Audi A4 2.0T Premium quattro,"15,123 mi.","$21,300"
84,2013 Audi A4 2.0T Premium quattro,"84,573 mi.","$11,500"
85,2014 Audi A4 2.0T Premium,"86,176 mi.","$13,579"
86,2009 Audi A4 2.0T Special Edition Cabriolet,"89,408 mi.","$7,750"
87,2016 Audi A4 2.0T Premium Plus quattro,"33,441 mi.","$20,999"
88,2011 Audi A4 Prestige,"81,356 mi.","$11,999"
89,2015 Audi A4 2.0T Premium,"28,620 mi.","$21,899"
90,2015 Audi A4 2.0T Premium,"29,972 mi.","$21,899"
91,2009 Audi A4 2.0T quattro,"64,532 mi.","$9,215"
92,2017 Audi A4 2.0T Premium,"63,988 mi.","$23,980"
93,2013 Audi A4 2.0T Premium Plus quattro,"69,246 mi.","$13,900"
94,2015 Audi A4 2.0T Premium Plus quattro,"49,423 mi.","$19,750"
95,2015 Audi A4 2.0T Premium Plus,"68,288 mi.","$20,938"
96,2008 Audi A4 2.0T quattro,"74,700 mi.","$7,900"
97,2017 Audi A4 2.0T Premium quattro,"34,463 mi.","$24,987"
98,2011 Audi A4 2.0T Premium quattro,"83,895 mi.","$11,895"
99,2016 Audi A4 2.0T Premium,"34,363 mi.","$25,975"
100,2015 Audi A4 2.0T Premium Plus,"32,997 mi.","$22,991"
101,2018 Audi A4 2.0T,"7,805 mi.","$30,700"
102,2017 Audi A4 2.0T Premium Plus,"12,382 mi.","$31,990"
103,2015 Audi A4 2.0T Premium,"29,963 mi.","$19,777"
104,2015 Audi A4 2.0T Premium Plus,"29,029 mi.","$21,995"
105,2015 Audi A4 2.0T Premium,"53,543 mi.","$17,795"
106,2014 Audi A4 2.0T Premium,"85,798 mi.","$14,550"
107,2017 Audi A4 Premium,"39,446 mi.","$22,995"
108,2015 Audi A4 2.0T Premium Plus quattro,"30,935 mi.","$23,500"
109,2016 Audi A4 2.0T Premium Plus,"27,234 mi.","$26,800"
110,2016 Audi A4 2.0T Premium quattro,"53,301 mi.","$26,791"
111,2018 Audi A4 2.0T Premium quattro,"5,619 mi.","$38,591"
112,2017 Audi A4 2.0T Premium Plus,"12,038 mi.","$26,799"
113,2014 Audi A4 2.0T Premium quattro,"40,601 mi.","$19,371"
114,2008 Audi A4 2.0T,"100,823 mi.","$7,999"
115,2013 Audi A4 2.0T Premium Plus,"82,555 mi.","$12,999"
116,2007 Audi A4 2.0T,"126,472 mi.","$6,488"
117,2017 Audi A4 2.0T Premium quattro,"22,577 mi.","$25,950"
118,2013 Audi A4 2.0T Premium quattro,"48,485 mi.","$16,900"
119,2015 Audi A4 2.0T Premium Plus quattro,"41,874 mi.","$23,688"
120,2017 Audi A4 2.0T Premium quattro,"17,358 mi.","$26,249"
121,2017 Audi A4 2.0T Premium quattro,"17,097 mi.","$26,950"
122,2013 Audi A4 2.0T Premium Plus quattro,"55,012 mi.","$14,899"
123,2016 Audi A4 2.0T Premium,"37,935 mi.","$18,888"
124,2017 Audi A4 2.0T Premium,"58,185 mi.","$17,888"
125,2011 Audi A4 2.0T Premium quattro,"68,582 mi.","$12,251"
126,2016 Audi A4 2.0T Premium,"25,321 mi.","$21,925"
127,2018 Audi A4 2.0T Premium Plus,"6,531 mi.","$34,388"
128,2017 Audi A4 2.0T Premium Plus,"20,945 mi.","$29,492"
129,2014 Audi A4 2.0T Premium,"30,738 mi.","$16,975"
130,2014 Audi A4 2.0T Premium Plus quattro,"57,399 mi.","$16,995"
131,2015 Audi A4 2.0T Premium Plus,"49,317 mi.","$20,210"
132,2014 Audi A4 2.0T Premium Plus,"79,371 mi.","$16,499"
133,2015 Audi A4 2.0T Premium Plus,"45,794 mi.","$27,990"
134,2018 Audi A4 2.0T Premium Plus,"5,413 mi.","$39,791"
135,2017 Audi A4 Premium,"23,970 mi.","$26,985"
136,2016 Audi A4 2.0T Premium,"17,474 mi.","$22,486"
137,2009 Audi A4 2.0T Premium quattro,"86,074 mi.","$8,995"
138,2016 Audi A4 2.0T Premium quattro,"30,838 mi.","$20,999"
139,2016 Audi A4 2.0T Premium Plus quattro,"33,441 mi.","$20,999"
140,2013 Audi A4 2.0T Premium Plus quattro,"75,460 mi.","$15,750"
141,2017 Audi A4 ultra Premium,"33,165 mi.","$21,995"
142,2015 Audi A4 2.0T Premium,"62,874 mi.","$17,280"
143,2016 Audi A4 2.0T Premium quattro,"31,535 mi.","$24,800"
144,2018 Audi A4 2.0T Premium quattro,"12,315 mi.","$32,983"
145,2015 Audi A4 2.0T Premium quattro,"37,244 mi.","$20,500"
146,2014 Audi A4 2.0T Premium Plus quattro,"28,090 mi.","$20,500"
147,2015 Audi A4 2.0T Premium Plus quattro,"42,080 mi.","$18,853"
148,2016 Audi A4 2.0T Premium Plus,"16,614 mi.","$29,000"
149,2013 Audi A4 2.0T Premium quattro,"77,427 mi.","$13,056"
150,2016 Audi A4 2.0T Premium,"34,456 mi.","$25,795"
151,2017 Audi A4 2.0T Premium,"21,722 mi.","$23,300"
152,2015 Audi A4 2.0T Premium,"42,267 mi.","$18,899"
153,2014 Audi A4 2.0T Premium Plus,"43,832 mi.","$17,000"
154,2015 Audi A4 2.0T Premium,"47,581 mi.","$16,999"
155,2017 Audi A4 2.0T Premium Plus,"12,079 mi.","$33,551"
156,2018 Audi A4 2.0T ultra Premium,"16,040 mi.","$27,555"
157,2017 Audi A4 2.0T Premium,"43,559 mi.","$21,999"
158,2016 Audi A4 2.0T Premium Plus,"13,218 mi.","$23,999"
159,2012 Audi A4 2.0T Premium quattro,"84,575 mi.","$9,498"
160,2014 Audi A4 2.0T Premium,"111,093 mi.","$8,998"
161,2008 Audi A4 2.0T,"144,501 mi.","$4,495"
162,2013 Audi A4 2.0T Premium quattro,"71,217 mi.","$14,371"
163,2015 Audi A4 2.0T Premium quattro,"41,540 mi.","$21,141"
164,2017 Audi A4 2.0T Prestige,"17,795 mi.","$35,488"
165,2014 Audi A4 2.0T Premium Plus,"46,806 mi.","$16,995"
166,2018 Audi A4 2.0T Premium Plus quattro,"20,804 mi.","$28,999"
167,2013 Audi A4 2.0T Premium Plus quattro,"59,216 mi.","$12,988"
168,2016 Audi A4 2.0T Premium,"14,454 mi.","$23,500"
169,2011 Audi A4 2.0T Premium,"87,093 mi.","$8,999"
170,2015 Audi A4 2.0T Premium quattro,"35,313 mi.","$18,500"
171,2015 Audi A4 2.0T Premium,"25,898 mi.","$19,000"
172,2009 Audi A4 2.0T Cabriolet,"58,742 mi.","$9,781"
173,2016 Audi A4 Premium Plus,"38,707 mi.","$22,888"
174,2015 Audi A4 2.0T Premium,"37,448 mi.","$21,799"
175,2018 Audi A4 2.0T Premium Plus,"5,224 mi.","$39,777"
176,2014 Audi A4 2.0T Premium quattro,"58,048 mi.","$16,760"
177,2016 Audi A4 2.0T Premium Plus,"12,617 mi.","$26,751"
178,2016 Audi A4 2.0T Premium Plus quattro,"33,441 mi.","$20,999"
179,2018 Audi A4 2.0T Premium,"25,553 mi.","$32,900"
180,2018 Audi A4 2.0T Premium,"6,818 mi.","$33,455"
181,2015 Audi A4 2.0T Premium Plus quattro,"43,704 mi.","$23,990"
182,2012 Audi A4 2.0T Premium quattro,"106,542 mi.","$11,850"
183,2016 Audi A4 2.0T Premium quattro,"19,955 mi.","$24,000"
184,2016 Audi A4 2.0T Premium quattro,"30,838 mi.","$20,999"
185,2018 Audi A4 2.0T Premium Plus,"6,804 mi.","$37,899"
186,2014 Audi A4 2.0T Premium Plus quattro,"49,223 mi.","$20,240"
187,2012 Audi A4 2.0T Premium quattro,"65,115 mi.","$13,155"
188,2016 Audi A4 2.0T Premium quattro,"40,708 mi.","$23,488"
189,2011 Audi A4 2.0T Premium quattro,"79,794 mi.","$9,995"
190,2017 Audi A4 Premium,"49,208 mi.","$22,791"
191,2016 Audi A4 2.0T Premium quattro,"53,138 mi.","$22,995"
192,2018 Audi A4 2.0T Premium Plus,"11,871 mi.","$36,000"
193,2014 Audi A4 2.0T Premium Plus,"94,757 mi.","$13,643"
194,2014 Audi A4 2.0T Premium quattro,"29,981 mi.","$19,854"
195,2016 Audi A4 2.0T Premium Plus,"21,782 mi.","$24,995"
196,2017 Audi A4 2.0T Premium Plus,"16,724 mi.","$33,778"
