,Name,Mileage,Price
0,2015 Audi Q3 2.0T Premium Plus,"27,302 mi.","$28,200"
1,2016 Audi Q3 2.0T Premium Plus,"17,333 mi.","$28,900"
2,2017 Audi Q3 2.0T Premium Plus,"10,405 mi.","$27,774"
3,2018 Audi Q3 2.0T Sport Premium,"16,541 mi.","$27,590"
4,2016 Audi Q3 2.0T Premium Plus,"17,568 mi.","$23,900"
5,2017 Audi Q3 2.0T Premium,"48,475 mi.","$21,988"
6,2016 Audi Q3 Premium Plus,"51,329 mi.","$21,700"
7,2018 Audi Q3 2.0T Sport Premium,"11,786 mi.","$29,998"
8,2015 Audi Q3 2.0T Prestige,"62,953 mi.","$20,750"
9,2015 Audi Q3 2.0T Prestige,"44,128 mi.","$22,850"
10,2018 Audi Q3 2.0T Sport Premium,"5,865 mi.","$33,991"
11,2016 Audi Q3 2.0T Prestige,"32,606 mi.","$29,995"
12,2016 Audi Q3 Premium Plus,"50,545 mi.","$25,549"
13,2018 Audi Q3 2.0T Premium Plus,"2,945 mi.","$32,549"
14,2018 Audi Q3 2.0T Premium Plus,"7,862 mi.","$33,831"
15,2017 Audi Q3 2.0T Premium,"21,476 mi.","$24,988"
16,2015 Audi Q3 2.0T Premium Plus,"29,353 mi.","$22,472"
17,2017 Audi Q3 2.0T Premium,"26,590 mi.","$21,997"
18,2016 Audi Q3 2.0T Premium Plus,"40,249 mi.","$24,396"
19,2018 Audi Q3 2.0T Premium,"15,233 mi.","$29,558"
20,2018 Audi Q3 2.0T Premium,"28,922 mi.","$24,942"
21,2016 Audi Q3 2.0T Prestige,"52,990 mi.","$21,671"
22,2016 Audi Q3 2.0T Premium Plus,"12,354 mi.","$24,950"
23,2018 Audi Q3 2.0T Premium,"10,541 mi.","$24,565"
24,2018 Audi Q3 2.0T Sport Premium,"21,017 mi.","$26,731"
25,2015 Audi Q3 2.0T Premium Plus quattro,"73,407 mi.","$16,702"
26,2016 Audi Q3 2.0T Premium Plus,"19,878 mi.","$24,763"
27,2018 Audi Q3 2.0T Premium,"14,204 mi.","$26,490"
28,2018 Audi Q3 2.0T Sport Premium,"6,515 mi.","$27,994"
29,2018 Audi Q3 2.0T Premium Plus,"8,408 mi.","$32,899"
30,2018 Audi Q3 2.0T Premium Plus,"7,671 mi.","$33,399"
31,2018 Audi Q3 2.0T Sport Premium,"30,307 mi.","$25,875"
32,2016 Audi Q3 2.0T Premium Plus,"25,914 mi.","$23,490"
33,2018 Audi Q3 2.0T Premium,"20,285 mi.","$26,991"
34,2017 Audi Q3 2.0T Premium,"40,016 mi.","$23,211"
35,2018 Audi Q3 2.0T Sport Premium,"14,206 mi.","$27,991"
36,2016 Audi Q3 2.0T Prestige,"22,903 mi.","$26,000"
37,2016 Audi Q3 2.0T Premium Plus,"45,072 mi.","$22,488"
38,2018 Audi Q3 2.0T Sport Premium,"15,775 mi.","$27,557"
39,2017 Audi Q3 2.0T Premium quattro,"38,037 mi.","$24,333"
40,2015 Audi Q3 2.0T Premium Plus quattro,"14,046 mi.","$27,587"
41,2016 Audi Q3 Premium Plus,"62,310 mi.","$21,997"
42,2017 Audi Q3 2.0T Premium quattro,"42,308 mi.","$21,577"
43,2016 Audi Q3 2.0T Premium Plus,"50,538 mi.","$23,126"
44,2016 Audi Q3 2.0T Premium Plus,"49,811 mi.","$22,572"
45,2017 Audi Q3 2.0T Premium,"40,858 mi.","$20,900"
46,2016 Audi Q3 Premium Plus,"22,184 mi.","$27,483"
47,2017 Audi Q3 2.0T Premium,"21,025 mi.","$23,800"
48,2018 Audi Q3 2.0T Sport Premium,"13,709 mi.","$26,938"
49,2016 Audi Q3 2.0T Premium Plus,"40,257 mi.","$22,930"
50,2018 Audi Q3 2.0T Sport Premium,"22,829 mi.","$27,998"
51,2017 Audi Q3 2.0T Premium,"45,181 mi.","$19,999"
52,2018 Audi Q3 2.0T Sport Premium,"5,227 mi.","$29,600"
53,2017 Audi Q3 2.0T Premium,"45,619 mi.","$21,500"
54,2018 Audi Q3 2.0T Premium Plus quattro,"20,886 mi.","$30,999"
55,2016 Audi Q3 2.0T Premium Plus quattro,"31,138 mi.","$21,999"
56,2018 Audi Q3 2.0T Sport Premium,"17,245 mi.","$29,000"
57,2015 Audi Q3 2.0T Prestige,"31,116 mi.","$23,921"
58,2015 Audi Q3 2.0T Prestige,"21,380 mi.","$26,499"
59,2016 Audi Q3 2.0T Premium Plus quattro,"22,997 mi.","$25,900"
60,2016 Audi Q3 2.0T Premium Plus quattro,"41,991 mi.","$25,990"
61,2017 Audi Q3 2.0T Premium,"15,170 mi.","$24,500"
62,2015 Audi Q3 2.0T Premium Plus quattro,"33,973 mi.","$24,981"
63,2017 Audi Q3 2.0T Premium,"38,640 mi.","$21,177"
64,2015 Audi Q3 2.0T Premium Plus quattro,"66,752 mi.","$20,000"
65,2018 Audi Q3 2.0T Sport Premium,"10,277 mi.","$27,888"
66,2016 Audi Q3 Premium Plus,"31,138 mi.","$21,999"
67,2018 Audi Q3 2.0T Sport Premium,"6,340 mi.","$29,383"
68,2018 Audi Q3 2.0T Premium,"14,550 mi.","$28,995"
69,2015 Audi Q3 2.0T Prestige quattro,"38,996 mi.","$23,988"
70,2016 Audi Q3 2.0T Premium Plus,"32,877 mi.","$26,495"
71,2015 Audi Q3 2.0T Premium Plus,"44,295 mi.","$25,950"
72,2016 Audi Q3 2.0T Premium Plus,"38,415 mi.","$22,980"
73,2015 Audi Q3 2.0T Premium Plus quattro,"48,305 mi.","$21,999"
74,2015 Audi Q3 2.0T Premium Plus,"76,292 mi.","$15,995"
75,2016 Audi Q3 2.0T Premium Plus,"22,830 mi.","$23,868"
76,2015 Audi Q3 2.0T Premium Plus quattro,"60,643 mi.","$17,799"
77,2015 Audi Q3 2.0T Prestige,"45,600 mi.","$20,698"
78,2016 Audi Q3 Premium Plus,"29,030 mi.","$25,900"
79,2018 Audi Q3 2.0T Premium Plus,"9,571 mi.","$32,481"
80,2018 Audi Q3 2.0T Premium,"11,071 mi.","$29,981"
81,2015 Audi Q3 2.0T Premium Plus,"60,222 mi.","$20,500"
82,2016 Audi Q3 Premium Plus,"36,774 mi.","$23,500"
83,2018 Audi Q3 2.0T Premium Plus,"8,188 mi.","$34,863"
84,2015 Audi Q3 2.0T Prestige quattro,"55,425 mi.","$21,725"
85,2018 Audi Q3 2.0T Premium Plus,"5,494 mi.","$34,455"
86,2017 Audi Q3 2.0T Premium,"30,755 mi.","$24,400"
87,2016 Audi Q3 2.0T Premium Plus,"48,822 mi.","$23,000"
88,2018 Audi Q3 2.0T Premium,"6,921 mi.","$32,177"
89,2018 Audi Q3 2.0T,"5,391 mi.","$31,367"
90,2018 Audi Q3 2.0T Sport Premium,"16,666 mi.","$26,493"
91,2018 Audi Q3 2.0T Sport Premium,"17,092 mi.","$27,880"
92,2016 Audi Q3 2.0T Premium Plus,"36,107 mi.","$26,000"
93,2018 Audi Q3 2.0T Sport Premium,"6,344 mi.","$31,000"
94,2018 Audi Q3 2.0T Premium Plus,"7,126 mi.","$31,000"
95,2016 Audi Q3 2.0T Premium Plus,"41,805 mi.","$23,998"
96,2018 Audi Q3 2.0T Sport Premium,"10,940 mi.","$28,998"
97,2017 Audi Q3 2.0T Premium,"40,409 mi.","$23,500"
98,2017 Audi Q3 2.0T Premium,"22,683 mi.","$23,338"
99,2018 Audi Q3 2.0T Premium,"5,313 mi.","$31,975"
100,2016 Audi Q3 2.0T Premium Plus,"40,031 mi.","$26,400"
101,2018 Audi Q3 2.0T,"7,779 mi.","$30,400"
102,2018 Audi Q3 2.0T Premium,"4,987 mi.","$29,991"
103,2018 Audi Q3 2.0T,"3,156 mi.","$28,991"
104,2016 Audi Q3 Premium Plus,"41,944 mi.","$21,998"
105,2017 Audi Q3 2.0T Premium,"17,711 mi.","$25,987"
106,2017 Audi Q3 2.0T Premium,"27,707 mi.","$24,489"
107,2016 Audi Q3 2.0T Premium Plus,"30,252 mi.","$25,000"
108,2018 Audi Q3 2.0T Premium Plus,"7,160 mi.","$31,500"
109,2017 Audi Q3 2.0T Prestige,"19,894 mi.","$25,699"
110,2016 Audi Q3 2.0T Prestige,"25,558 mi.","$27,705"
111,2018 Audi Q3 2.0T Sport Premium,"6,812 mi.","$31,549"
112,2016 Audi Q3 2.0T Prestige,"24,133 mi.","$29,118"
113,2018 Audi Q3 2.0T Sport Premium,"19,240 mi.","$28,888"
114,2015 Audi Q3 2.0T Premium Plus quattro,"23,195 mi.","$24,598"
115,2015 Audi Q3 2.0T Prestige quattro,"51,974 mi.","$22,999"
116,2016 Audi Q3 2.0T Premium Plus,"40,257 mi.","$22,930"
117,2015 Audi Q3 2.0T Premium Plus,"33,182 mi.","$23,914"
118,2016 Audi Q3 2.0T Premium Plus,"30,714 mi.","$25,999"
119,2018 Audi Q3 2.0T Premium,"16,244 mi.","$26,950"
120,2018 Audi Q3 2.0T Sport Premium,"15,666 mi.","$25,888"
