,Name,Mileage,Price
0,2008 Audi RS 4 4.2 quattro L,"51,019 mi.","$32,900"
1,2008 Audi RS 4 4.2 quattro L,"35,270 mi.","$32,800"
2,2008 Audi RS 4 4.2 quattro L,"28,501 mi.","$35,995"
3,2008 Audi RS 4 4.2 quattro L,"27,408 mi.","$36,995"
4,2008 Audi RS 4 2dr Cabriolet,"79,524 mi.","$22,995"
5,2008 Audi RS 4 2dr Cabriolet,"66,619 mi.","$28,985"
6,2008 Audi RS 4,"49,956 mi.","$39,950"
7,2008 Audi RS 4 4dr Sdn,"87,000 mi.","$32,995"
8,2008 Audi RS 4 4dr Sdn,"92,500 mi.","$27,995"
9,2007 Audi RS 4,"88,748 mi.","$31,995"
10,2007 Audi RS 4,"69,987 mi.","$32,950"
11,2007 Audi RS 4,"94,018 mi.","$23,995"
12,2007 Audi RS 4,"98,225 mi.","$21,200"
13,2008 Audi RS 4 4dr Sdn,"191,167 mi.","$14,995"
14,2008 Audi RS 4 4.2 quattro L,"42,361 mi.","$41,950"
15,2008 Audi RS 4 4dr Sdn,"50,350 mi.","$49,800"
16,2008 Audi RS 4 2dr Cabriolet,"60,645 mi.","$27,895"
17,2008 Audi RS 4 4dr Sdn,"85,339 mi.","$27,777"
18,2007 Audi RS 4,"128,444 mi.","$22,111"
19,2007 Audi RS 4,"85,100 mi.","$26,000"
20,2008 Audi RS 4 4.2 quattro L,"72,250 mi.","$29,000"
21,2008 Audi RS 4 4.2 quattro L,"59,863 mi.","$29,995"
22,2007 Audi RS 4,"63,854 mi.","$30,995"
23,2007 Audi RS 4 4dr Sdn,"114,124 mi.","$17,995"
