,Name,Mileage,Price
0,2016 Audi S7 4dr HB,"41,193 mi.","$54,291"
1,2016 Audi S7 4.0T quattro,"39,859 mi.","$52,993"
2,2014 Audi S7 4.0T Prestige quattro,"55,065 mi.","$37,998"
3,2013 Audi S7 4.0T Prestige quattro,"67,716 mi.","$36,950"
4,2017 Audi S7 4.0T,"22,078 mi.","$62,530"
5,2016 Audi S7 4dr HB,"24,451 mi.","$57,994"
6,2017 Audi S7 Premium Plus,"5,233 mi.","$67,994"
7,2016 Audi S7 4dr HB,"35,263 mi.","$58,651"
8,2016 Audi S7 4dr HB,"20,606 mi.","$58,565"
9,2017 Audi S7 4.0T Premium Plus,"14,888 mi.","$64,595"
10,2018 Audi S7 4.0T Premium Plus,"13,444 mi.","$69,888"
11,2016 Audi S7 4dr HB,"25,012 mi.","$53,995"
12,2016 Audi S7 4dr HB,"32,476 mi.","$55,999"
13,2016 Audi S7 4.0T quattro,"68,002 mi.","$47,988"
14,2017 Audi S7 4.0T Premium Plus quattro,"27,048 mi.","$62,988"
15,2016 Audi S7 4dr HB,"18,710 mi.","$58,000"
16,2016 Audi S7 4.0T quattro,"7,317 mi.","$59,250"
17,2017 Audi S7 4.0T,"22,078 mi.","$62,530"
18,2018 Audi S7 Premium Plus,"7,116 mi.","$72,304"
19,2016 Audi S7 4.0T quattro,"56,044 mi.","$52,998"
20,2013 Audi S7 Prestige,"36,476 mi.","$40,999"
21,2017 Audi S7 Prestige,"2,343 mi.","$67,876"
22,2018 Audi S7 4.0T Premium Plus quattro,"11,920 mi.","$69,900"
23,2018 Audi S7 4.0T Premium Plus quattro,"1,170 mi.","$82,398"
24,2017 Audi S7 4.0T Premium Plus,"14,194 mi.","$68,900"
25,2017 Audi S7 4.0T,"22,078 mi.","$62,530"
26,2016 Audi S7,"55,790 mi.","$44,878"
27,2017 Audi S7 4.0T,"22,078 mi.","$62,530"
28,2016 Audi S7 4.0T quattro,"19,338 mi.","$57,481"
29,2013 Audi S7 4.0T Prestige quattro,"77,306 mi.","$33,998"
