,Name,Mileage,Price
0,2018 Audi TT RS 2.5T,"18,340 mi.","$62,000"
1,2013 Audi TT RS 2.5,"29,648 mi.","$45,500"
2,2018 Audi TT RS 2.5 TFSI,"7,923 mi.","$62,995"
3,2012 Audi TT RS Base,"59,170 mi.","$34,651"
4,2018 Audi TT RS 2.5 TFSI,"14,022 mi.","$62,777"
5,2018 Audi TT RS 2.5T,"1,015 mi.","$67,495"
6,2013 Audi TT RS 2.5,"44,271 mi.","$37,995"
7,2018 Audi TT RS 2DR CPE 2.5 TFSI,"11,226 mi.","$65,959"
8,2013 Audi TT RS 2.5,"46,529 mi.","$36,495"
9,2013 Audi TT RS 2dr Cpe MT quattro 2.5T,"75,502 mi.","$29,999"
10,2013 Audi TT RS 2dr Cpe MT quattro 2.5T,"82,676 mi.","$33,900"
11,2013 Audi TT RS 2.5,"78,218 mi.","$32,000"
12,2012 Audi TT RS Base,"60,587 mi.","$35,950"
13,2018 Audi TT RS 2.5T,"5,503 mi.","$68,000"
14,2012 Audi TT RS Base,"49,323 mi.","$34,944"
15,2013 Audi TT RS 2dr Cpe MT quattro 2.5T,"93,575 mi.","$29,900"
16,2012 Audi TT RS Base,"19,670 mi.","$38,997"
17,2013 Audi TT RS 2.5,"53,500 mi.","$33,495"
18,2012 Audi TT RS Base,"45,085 mi.","$29,999"
19,2018 Audi TT RS 2.5T,"8,160 mi.","$65,888"
20,2013 Audi TT RS 2dr Cpe MT quattro 2.5T,"27,571 mi.","$39,500"
21,2012 Audi TT RS Base,"60,500 mi.","$38,000"
22,2012 Audi TT RS 2.5T,"49,854 mi.","$33,888"
23,2018 Audi TT RS 2DR CPE 2.5 TFSI,"9,702 mi.","$68,957"
