,Name,Mileage,Price
0,1960 Austin-Healey 3000,411 mi.,"$65,900"
1,1966 Austin-Healey,"9,926 mi.","$59,800"
2,1967 Austin-Healey 3000 Mk III BJ8,"47,000 mi.","$85,000"
3,1962 Austin-Healey 3000 Mk II MKII,"50,143 mi.","$57,900"
4,1959 Austin-Healey 100-6 BN-6,"2,422 mi.","$50,000"
5,1955 Austin-Healey,"9,182 mi.","$64,900"
6,1967 Austin-Healey,"41,848 mi.","$13,900"
7,1963 Austin-Healey 3000 Mk II BJ7,555 mi.,"$50,000"
8,1960 Austin-Healey,"1,352 mi.","$20,900"
9,1958 Austin-Healey 100-6 BN4,"46,877 mi.","$46,900"
10,1957 Austin-Healey 100-6 BN4,"32,984 mi.","$34,990"
11,1967 Austin-Healey 3000 Mk III BJ8,"58,694 mi.","$59,967"
12,1963 Austin-Healey Sprite Mk II,0 mi.,"$25,995"
