,Name,Mileage,Price
0,2007 BMW 525 xi,"96,927 mi.","$9,995"
1,2002 BMW 525 iT,"159,341 mi.","$5,990"
2,2006 BMW 525 i,"53,400 mi.","$7,529"
3,2007 BMW 525 i,"91,193 mi.","$8,770"
4,2007 BMW 525 i,"150,658 mi.","$6,996"
5,2006 BMW 525 i,"84,777 mi.","$6,991"
6,2007 BMW 525 i,"122,789 mi.","$6,990"
7,2005 BMW 525 i,"155,736 mi.","$4,895"
8,2007 BMW 525 xi,"135,990 mi.","$6,800"
9,2007 BMW 525 xi,"120,126 mi.","$5,900"
10,2007 BMW 525 i,"138,698 mi.","$6,999"
11,2003 BMW 525 i,"105,756 mi.","$4,400"
12,2005 BMW 525 i,"120,376 mi.","$6,893"
13,2005 BMW 525 i,"150,468 mi.","$5,375"
14,2007 BMW 525 i,"103,812 mi.","$7,950"
15,2005 BMW 525 i,"136,849 mi.","$6,488"
16,2006 BMW 525 xi,"164,000 mi.","$4,995"
17,2007 BMW 525 xi,"197,500 mi.","$4,652"
18,2003 BMW 525 i,"197,707 mi.","$3,899"
19,2001 BMW 525 i,"102,152 mi.","$4,490"
20,2007 BMW 525 xi,"93,107 mi.","$7,880"
21,2005 BMW 525 i,"90,348 mi.","$6,995"
22,2007 BMW 525 xi,"76,455 mi.","$8,800"
23,2007 BMW 525 i,"109,850 mi.","$6,995"
24,2006 BMW 525 i,"69,519 mi.","$6,990"
25,2007 BMW 525 xi,"126,859 mi.","$8,991"
26,2007 BMW 525 xi,"112,381 mi.","$7,500"
27,2007 BMW 525 i,"116,779 mi.","$5,995"
28,2001 BMW 525 i,"199,632 mi.","$2,995"
29,2007 BMW 525 i,"140,316 mi.","$5,499"
30,2005 BMW 525 i,"86,497 mi.","$6,800"
31,2007 BMW 525 xi,"103,209 mi.","$6,900"
32,2007 BMW 525 xi,"103,209 mi.","$6,900"
33,2007 BMW 525 xi,"81,526 mi.","$7,000"
34,2004 BMW 525 i,"102,755 mi.","$5,795"
35,2001 BMW 525 i,"70,580 mi.","$8,990"
36,2006 BMW 525 xi,"104,362 mi.","$7,450"
37,2007 BMW 525 i,"82,243 mi.","$7,995"
38,2001 BMW 525 i,"112,596 mi.","$6,995"
39,2007 BMW 525 xi,"85,040 mi.","$9,999"
