,Name,Mileage,Price
0,2016 BMW 535d Base,"38,559 mi.","$30,999"
1,2016 BMW 535d Base,"38,559 mi.","$30,999"
2,2015 BMW 535d Base,"52,402 mi.","$24,300"
3,2016 BMW 535d Base,"38,559 mi.","$30,999"
4,2016 BMW 535d,"41,410 mi.","$34,890"
5,2016 BMW 535d Base,"38,559 mi.","$30,999"
6,2014 BMW 535d Base,"45,046 mi.","$27,981"
7,2016 BMW 535d Base,"38,559 mi.","$30,999"
8,2016 BMW 535d Base,"38,559 mi.","$30,999"
9,2016 BMW 535d Base,"38,559 mi.","$30,999"
10,2016 BMW 535d Base,"38,447 mi.","$33,982"
11,2015 BMW 535d Base,"55,462 mi.","$34,968"
12,2015 BMW 535d Base,"79,848 mi.","$21,980"
13,2015 BMW 535d xDrive,"47,670 mi.","$30,900"
14,2015 BMW 535d Base,"46,192 mi.","$23,999"
15,2015 BMW 535d Base,"58,813 mi.","$27,990"
16,2014 BMW 535d Base,"61,658 mi.","$25,000"
17,2014 BMW 535d xDrive,"63,839 mi.","$22,969"
18,2015 BMW 535d Base,"44,016 mi.","$24,698"
19,2016 BMW 535d Base,"60,433 mi.","$31,500"
20,2014 BMW 535d Base,"49,064 mi.","$22,950"
21,2015 BMW 535d Base,"31,905 mi.","$31,698"
22,2015 BMW 535d xDrive,"34,034 mi.","$33,199"
23,2014 BMW 535d xDrive,"98,985 mi.","$17,990"
24,2016 BMW 535d Base,"41,539 mi.","$32,429"
25,2016 BMW 535d Base,"29,400 mi.","$32,985"
26,2016 BMW 535d Base,"24,460 mi.","$33,990"
27,2016 BMW 535d Base,"41,539 mi.","$32,429"
28,2015 BMW 535d Base,"42,324 mi.","$29,384"
29,2015 BMW 535d Base,"43,802 mi.","$29,995"
30,2014 BMW 535d Base,"87,628 mi.","$17,994"
31,2015 BMW 535d xDrive,"54,015 mi.","$26,950"
32,2015 BMW 535d Base,"51,250 mi.","$33,000"
33,2016 BMW 535d Base,"22,691 mi.","$34,881"
34,2015 BMW 535d xDrive,"35,053 mi.","$29,950"
35,2015 BMW 535d xDrive,"45,424 mi.","$34,900"
36,2014 BMW 535d Base,"58,471 mi.","$23,995"
