,Name,Mileage,Price
0,2016 BMW ALPINA B6 Gran Coupe Base,"30,960 mi.","$70,790"
1,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
2,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
3,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
4,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
5,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
6,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
7,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
8,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
9,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
10,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
11,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
12,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
13,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
14,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
15,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
16,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
17,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
18,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
19,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
20,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
21,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
22,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
23,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
24,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
25,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
26,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
27,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
28,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
29,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
30,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
31,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
32,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
33,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
34,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
35,2015 BMW ALPINA B6 Gran Coupe Base,"41,563 mi.","$57,500"
36,2015 BMW ALPINA B6 Gran Coupe Base,"35,051 mi.","$59,996"
37,2017 BMW ALPINA B6 Gran Coupe Base,"6,920 mi.","$79,753"
38,2016 BMW ALPINA B6 Gran Coupe xDrive,"20,329 mi.","$76,890"
39,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
40,2015 BMW ALPINA B6 Gran Coupe Base,"48,354 mi.","$52,200"
41,2015 BMW ALPINA B6 Gran Coupe Base,"48,354 mi.","$52,200"
42,2016 BMW ALPINA B6 Gran Coupe Base,"24,888 mi.","$70,100"
43,2016 BMW ALPINA B6 Gran Coupe Base,"29,396 mi.","$69,777"
44,2015 BMW ALPINA B6 Gran Coupe Base,"48,000 mi.","$64,995"
45,2017 BMW ALPINA B6 Gran Coupe Base,"19,277 mi.","$110,989"
46,2015 BMW ALPINA B6 Gran Coupe Base,"22,187 mi.","$61,975"
47,2016 BMW ALPINA B6 Gran Coupe Base,"34,849 mi.","$68,575"
48,2016 BMW ALPINA B6 Gran Coupe Base,"32,201 mi.","$67,975"
49,2015 BMW ALPINA B6 Gran Coupe Base,"28,542 mi.","$60,130"
50,2017 BMW ALPINA B6 Gran Coupe Base,"15,416 mi.","$84,900"
51,2016 BMW ALPINA B6 Gran Coupe Base,"10,722 mi.","$56,973"
52,2015 BMW ALPINA B6 Gran Coupe Base,"8,728 mi.","$63,795"
53,2016 BMW ALPINA B6 Gran Coupe Base,"35,177 mi.","$62,788"
54,2015 BMW ALPINA B6 Gran Coupe Base,"32,050 mi.","$59,493"
55,2015 BMW ALPINA B6 Gran Coupe Base,"28,439 mi.","$59,995"
56,2015 BMW ALPINA B6 Gran Coupe Base,"43,316 mi.","$49,999"
57,2017 BMW ALPINA B6 Gran Coupe Base,"17,607 mi.","$85,975"
58,2016 BMW ALPINA B6 Gran Coupe Base,"13,104 mi.","$55,989"
59,2015 BMW ALPINA B6 Gran Coupe Base,"39,000 mi.","$39,997"
60,2015 BMW ALPINA B6 Gran Coupe Base,"26,789 mi.","$64,750"
61,2016 BMW ALPINA B6 Gran Coupe Base,"43,852 mi.","$58,165"
62,2015 BMW ALPINA B6 Gran Coupe Base,"62,066 mi.","$48,786"
63,2018 BMW ALPINA B6 Gran Coupe,"7,009 mi.","$123,500"
64,2015 BMW ALPINA B6 Gran Coupe Base,"13,876 mi.",Not Priced
65,2016 BMW ALPINA B6 Gran Coupe Base,"32,251 mi.","$77,576"
