,Name,Mileage,Price
0,2017 BMW ALPINA B7 xDrive,"10,875 mi.","$73,995"
1,2013 BMW ALPINA B7 xDrive,"68,022 mi.","$25,995"
2,2017 BMW ALPINA B7 xDrive,"3,049 mi.","$105,950"
3,2012 BMW ALPINA B7 LWB,"40,187 mi.","$36,998"
4,2012 BMW ALPINA B7 LWB,"18,690 mi.","$44,995"
5,2012 BMW ALPINA B7 SWB,"81,457 mi.","$19,999"
6,2015 BMW ALPINA B7 Base,"57,779 mi.","$34,995"
7,2007 BMW ALPINA B7,"136,020 mi.","$18,999"
8,2012 BMW ALPINA B7 LWB,"68,725 mi.","$41,900"
9,2011 BMW ALPINA B7 SWB,"89,300 mi.","$21,275"
10,2013 BMW ALPINA B7 xDrive LWB,"56,371 mi.","$27,866"
11,2013 BMW ALPINA B7 LWB,"66,001 mi.","$37,991"
12,2013 BMW ALPINA B7 Base,"84,710 mi.","$22,995"
13,2019 BMW ALPINA B7 xDrive,"4,237 mi.","$138,988"
14,2012 BMW ALPINA B7 xDrive SWB,"80,456 mi.","$17,499"
15,2013 BMW ALPINA B7 LWB,"49,892 mi.","$29,900"
16,2011 BMW ALPINA B7 LWB,"47,200 mi.","$36,000"
17,2017 BMW ALPINA B7 xDrive,"12,959 mi.","$102,950"
18,2012 BMW ALPINA B7 xDrive SWB,"66,117 mi.","$19,995"
19,2012 BMW ALPINA B7 xDrive LWB,"122,221 mi.","$17,995"
20,2012 BMW ALPINA B7 xDrive LWB,"144,902 mi.","$12,495"
21,2008 BMW ALPINA B7 Base,"75,000 mi.","$9,498"
22,2014 BMW ALPINA B7 LWB,"28,818 mi.","$46,483"
23,2007 BMW ALPINA B7 Base,"125,923 mi.","$7,992"
24,2007 BMW ALPINA B7,"78,153 mi.","$20,900"
25,2012 BMW ALPINA B7 LWB,"138,426 mi.","$13,900"
26,2012 BMW ALPINA B7 SWB,"28,184 mi.","$37,990"
27,2014 BMW ALPINA B7 xDrive,"89,910 mi.","$25,128"
28,2013 BMW ALPINA B7 xDrive,"56,242 mi.","$27,990"
29,2013 BMW ALPINA B7 LWB,"93,025 mi.","$32,995"
30,2015 BMW ALPINA B7 xDrive,"49,141 mi.","$34,200"
31,2015 BMW ALPINA B7 xDrive,"36,380 mi.","$36,999"
32,2012 BMW ALPINA B7 LWB,"80,539 mi.","$32,995"
33,2011 BMW ALPINA B7 LWB,"63,054 mi.","$17,595"
34,2013 BMW ALPINA B7 xDrive,"92,427 mi.","$20,550"
35,2018 BMW ALPINA B7 xDrive,"7,005 mi.","$112,800"
36,2015 BMW ALPINA B7 ALPINA B7,"38,995 mi.","$57,888"
37,2011 BMW ALPINA B7 LWB,"66,450 mi.","$24,000"
38,2012 BMW ALPINA B7 LWB,"86,375 mi.","$31,495"
39,2017 BMW ALPINA B7 xDrive,"12,086 mi.","$77,500"
40,2007 BMW ALPINA B7,"92,033 mi.","$7,900"
41,2017 BMW ALPINA B7 xDrive,"7,225 mi.","$103,000"
42,2008 BMW ALPINA B7 Base,"95,210 mi.","$9,399"
43,2015 BMW ALPINA B7 Base,"24,890 mi.","$56,998"
44,2007 BMW ALPINA B7,"91,535 mi.","$15,995"
45,2019 BMW ALPINA B7 xDrive,"4,234 mi.","$139,988"
46,2011 BMW ALPINA B7 xDrive LWB,"77,903 mi.","$18,999"
47,2013 BMW ALPINA B7 LWB,"55,263 mi.","$39,999"
48,2015 BMW ALPINA B7 xDrive,"31,371 mi.","$41,793"
49,2012 BMW ALPINA B7 LWB,"74,259 mi.","$19,995"
50,2012 BMW ALPINA B7 LWB,"105,285 mi.","$22,777"
51,2013 BMW ALPINA B7 Base,"51,566 mi.","$37,995"
52,2015 BMW ALPINA B7 xDrive,"65,221 mi.","$34,500"
53,2013 BMW ALPINA B7 Base,"44,153 mi.","$43,399"
54,2017 BMW ALPINA B7 xDrive,"13,611 mi.","$104,999"
55,2013 BMW ALPINA B7 Base,"77,556 mi.","$36,999"
56,2013 BMW ALPINA B7 LWB,"62,211 mi.","$33,999"
57,2014 BMW ALPINA B7 Base,"50,051 mi.","$29,490"
58,2012 BMW ALPINA B7 LWB,"88,319 mi.","$19,998"
59,2011 BMW ALPINA B7 xDrive LWB,"71,261 mi.","$31,985"
60,2012 BMW ALPINA B7 xDrive LWB,"87,938 mi.","$17,995"
61,2013 BMW ALPINA B7 xDrive,"75,162 mi.","$23,950"
62,2014 BMW ALPINA B7 xDrive,"26,126 mi.","$49,998"
63,2011 BMW ALPINA B7 xDrive LWB,"71,157 mi.","$18,990"
64,2015 BMW ALPINA B7 xDrive,"47,342 mi.","$54,995"
65,2012 BMW ALPINA B7 xDrive LWB,"42,395 mi.","$22,990"
66,2012 BMW ALPINA B7 xDrive SWB,"41,191 mi.","$39,850"
67,2015 BMW ALPINA B7 LWB,"24,000 mi.","$55,000"
68,2011 BMW ALPINA B7 xDrive LWB,"66,365 mi.","$16,942"
69,2012 BMW ALPINA B7 xDrive LWB,"82,485 mi.","$16,998"
70,2011 BMW ALPINA B7 LWB,"132,411 mi.","$10,888"
71,2012 BMW ALPINA B7 LWB,"40,480 mi.","$35,495"
72,2017 BMW ALPINA B7 xDrive,"23,212 mi.","$97,911"
73,2012 BMW ALPINA B7 SWB,"100,001 mi.","$12,495"
74,2012 BMW ALPINA B7 LWB,"12,615 mi.","$49,950"
