,Name,Mileage,Price
0,2006 BMW M Coupe,"12,250 mi.","$47,995"
1,2000 BMW M Roadster,"17,727 mi.","$21,998"
2,1999 BMW M Coupe,"43,909 mi.","$33,950"
3,2001 BMW M Roadster,"49,108 mi.","$24,900"
4,1998 BMW M Roadster,"97,501 mi.","$17,767"
5,2001 BMW M Roadster,"8,662 mi.","$38,900"
6,2000 BMW M Roadster,"28,423 mi.","$23,889"
7,2006 BMW M Roadster,"31,322 mi.","$19,995"
8,2000 BMW M Roadster,"112,327 mi.","$9,875"
9,2001 BMW M Roadster,"25,886 mi.","$29,900"
10,1999 BMW M Coupe,"85,268 mi.","$25,799"
11,1998 BMW M Roadster,"78,409 mi.","$14,000"
12,2000 BMW M Roadster,"98,583 mi.","$13,995"
13,1998 BMW M Roadster,"21,980 mi.","$22,999"
14,2000 BMW M Coupe,"181,786 mi.","$19,900"
15,1998 BMW M Roadster,"52,208 mi.","$21,900"
16,2000 BMW M Coupe,"116,115 mi.","$19,995"
17,2000 BMW M Roadster,"58,326 mi.","$14,233"
18,2006 BMW M Roadster,"61,617 mi.","$19,000"
19,2000 BMW M Roadster,"93,840 mi.","$14,900"
20,2002 BMW M Roadster,"26,400 mi.","$29,000"
21,2007 BMW M,"16,700 mi.","$19,900"
22,1999 BMW M Roadster,"58,400 mi.","$18,000"
23,2000 BMW M Roadster,"59,000 mi.","$14,950"
24,1999 BMW M,"54,000 mi.","$34,999"
25,2002 BMW M Roadster,"45,592 mi.","$23,900"
