,Name,Mileage,Price
0,2017 BMW M3 Base,"26,111 mi.","$50,984"
1,2016 BMW M3 Base,"27,269 mi.","$48,981"
2,2018 BMW M3 Base,"8,626 mi.","$63,995"
3,2016 BMW M3 Base,"24,590 mi.","$47,550"
4,2011 BMW M3 Base,"59,160 mi.","$26,250"
5,2018 BMW M3 Base,"18,329 mi.","$61,998"
6,2002 BMW M3,"60,672 mi.","$14,877"
7,2018 BMW M3 Base,"2,895 mi.","$68,000"
8,2016 BMW M3 Base,"27,509 mi.","$49,990"
9,2016 BMW M3 Base,"17,904 mi.","$53,998"
10,2016 BMW M3 Base,"23,785 mi.","$48,981"
11,2017 BMW M3 Base,"7,523 mi.","$56,400"
12,2017 BMW M3 Base,"12,501 mi.","$61,991"
13,2017 BMW M3 Base,"37,630 mi.","$51,888"
14,2017 BMW M3 Base,"8,212 mi.","$59,997"
15,2015 BMW M3 Base,"42,009 mi.","$46,497"
16,2017 BMW M3 Base,"18,772 mi.","$52,913"
17,2015 BMW M3 Base,"33,260 mi.","$48,900"
18,2016 BMW M3 Base,"22,743 mi.","$48,830"
19,2015 BMW M3 Base,"10,396 mi.","$51,997"
20,2009 BMW M3 BASE,"97,157 mi.","$19,494"
21,2018 BMW M3 Base,538 mi.,"$63,500"
22,2017 BMW M3 Base,"14,885 mi.","$56,990"
23,2013 BMW M3 Base,"66,747 mi.","$36,999"
24,2016 BMW M3 Base,"24,058 mi.","$46,677"
25,2016 BMW M3 Base,"28,974 mi.","$49,998"
26,2015 BMW M3 Base,"16,353 mi.","$48,995"
27,2017 BMW M3 Base,"15,782 mi.","$52,888"
28,2017 BMW M3 Base,"22,766 mi.","$57,883"
29,2016 BMW M3 Base,"35,177 mi.","$48,944"
30,2016 BMW M3 Base,"39,892 mi.","$45,950"
31,2016 BMW M3 Base,"27,193 mi.","$47,950"
32,2017 BMW M3 Base,"20,200 mi.","$58,982"
33,2008 BMW M3,"35,020 mi.","$32,149"
34,2010 BMW M3,"53,694 mi.","$25,491"
35,2017 BMW M3 Base,"9,929 mi.","$57,988"
36,2016 BMW M3 Base,"21,547 mi.","$50,960"
37,2016 BMW M3 Base,"25,299 mi.","$48,998"
38,2015 BMW M3 Base,"27,260 mi.","$46,698"
39,2011 BMW M3 Base,"62,049 mi.","$29,788"
40,2016 BMW M3 Base,"36,293 mi.","$46,700"
41,2015 BMW M3 Base,"36,133 mi.","$43,977"
42,2008 BMW M3,"71,132 mi.","$25,200"
43,2016 BMW M3 Base,"24,012 mi.","$51,990"
44,2016 BMW M3 Base,"19,420 mi.","$53,488"
45,2018 BMW M3 Base,"4,000 mi.","$70,390"
46,2018 BMW M3 Base,"3,159 mi.","$65,965"
47,2012 BMW M3 Base,"68,665 mi.","$27,291"
48,1998 BMW M3 Base,"61,362 mi.","$23,500"
49,2017 BMW M3 Base,"18,765 mi.","$53,919"
50,2016 BMW M3 Executive M-Sport,"5,030 mi.","$58,995"
51,2017 BMW M3 Base,"4,865 mi.","$56,995"
52,2017 BMW M3 Base,"5,891 mi.","$60,995"
53,2017 BMW M3 Base,"16,007 mi.","$54,999"
54,2017 BMW M3 Base,"14,783 mi.","$56,577"
55,2016 BMW M3 Base,"22,743 mi.","$48,830"
56,2008 BMW M3 Base,"59,988 mi.","$21,990"
57,2008 BMW M3,"55,561 mi.","$25,291"
58,2018 BMW M3 Base,"5,110 mi.","$62,400"
59,2010 BMW M3,"74,374 mi.","$25,865"
60,2016 BMW M3 Base,"37,883 mi.","$47,486"
61,2018 BMW M3 Base,"10,168 mi.","$64,970"
62,2016 BMW M3 Base,"19,962 mi.","$49,633"
63,2016 BMW M3 Base,"28,523 mi.","$50,999"
64,2016 BMW M3 Base,"22,743 mi.","$48,830"
65,2017 BMW M3 Base,"5,333 mi.","$60,000"
66,2016 BMW M3 Base,"17,852 mi.","$51,995"
67,2017 BMW M3 Base,"33,220 mi.","$53,300"
68,2016 BMW M3 Base,"31,484 mi.","$47,995"
69,2013 BMW M3 Base,"78,668 mi.","$30,900"
70,2015 BMW M3 Base,"31,860 mi.","$45,993"
71,2017 BMW M3 Base,"7,948 mi.","$59,988"
72,2016 BMW M3,"47,966 mi.","$43,886"
73,2011 BMW M3,"59,599 mi.","$24,499"
74,2016 BMW M3 Base,"48,160 mi.","$46,900"
75,2017 BMW M3 Base,"25,830 mi.","$52,495"
76,2015 BMW M3 Base,"24,415 mi.","$47,871"
77,2018 BMW M3 Base,"9,984 mi.","$61,785"
78,2015 BMW M3 Base,"34,501 mi.","$47,995"
