,Name,Mileage,Price
0,2015 BMW X1 sDrive 28i,"37,774 mi.","$18,989"
1,2014 BMW X1 xDrive 28i,"43,225 mi.","$16,490"
2,2015 BMW X1 sDrive28i,"47,116 mi.","$17,993"
3,2018 BMW X1 xDrive28i,"2,967 mi.","$31,500"
4,2015 BMW X1 xDrive35i,"34,964 mi.","$20,500"
5,2015 BMW X1 xDrive 28i,"29,170 mi.","$19,995"
6,2016 BMW X1 xDrive 28i,"30,225 mi.","$26,497"
7,2016 BMW X1 xDrive 28i,"23,394 mi.","$25,988"
8,2016 BMW X1 xDrive 28i,"12,146 mi.","$34,700"
9,2016 BMW X1 xDrive 28i,"33,130 mi.","$27,900"
10,2013 BMW X1 sDrive28i,"54,085 mi.","$12,864"
11,2016 BMW X1 xDrive 28i,"37,220 mi.","$25,379"
12,2015 BMW X1 xDrive 28i,"17,509 mi.","$25,995"
13,2016 BMW X1 xDrive 28i,"51,624 mi.","$24,500"
14,2018 BMW X1 xDrive28i,"7,058 mi.","$30,695"
15,2013 BMW X1 sDrive28i,"75,309 mi.","$12,759"
16,2015 BMW X1 sDrive 28i,"31,704 mi.","$17,991"
17,2017 BMW X1 xDrive 28i,"15,524 mi.","$28,408"
18,2013 BMW X1 xDrive 35i,"66,522 mi.","$13,753"
19,2016 BMW X1 xDrive 28i,"29,651 mi.","$26,585"
20,2014 BMW X1 xDrive 28i,"34,479 mi.","$18,990"
21,2014 BMW X1 xDrive 28i,"58,738 mi.","$17,195"
22,2016 BMW X1 xDrive 28i,"16,268 mi.","$28,990"
23,2015 BMW X1 xDrive 28i,"19,658 mi.","$23,415"
24,2015 BMW X1 xDrive 28i,"29,167 mi.","$21,899"
25,2016 BMW X1 xDrive 28i,"34,799 mi.","$23,991"
26,2016 BMW X1 xDrive 28i,"37,000 mi.","$24,390"
27,2018 BMW X1 xDrive28i,"3,596 mi.","$32,990"
28,2017 BMW X1 xDrive 28i,"29,614 mi.","$26,983"
29,2015 BMW X1 xDrive 28i,"34,137 mi.","$19,991"
30,2015 BMW X1 xDrive 28i,"18,836 mi.","$23,300"
31,2017 BMW X1 xDrive 28i,"38,535 mi.","$25,834"
32,2017 BMW X1 xDrive 28i,"15,111 mi.","$29,226"
33,2018 BMW X1 xDrive28i,"7,215 mi.","$33,679"
34,2013 BMW X1 xDrive 28i,"63,289 mi.","$15,989"
35,2016 BMW X1 xDrive 28i,"16,819 mi.","$30,936"
36,2014 BMW X1 xDrive 28i,"50,942 mi.","$16,995"
37,2013 BMW X1 xDrive 28i,"59,440 mi.","$14,524"
38,2015 BMW X1 xDrive 28i,"36,123 mi.","$19,500"
39,2015 BMW X1 xDrive 28i,"59,062 mi.","$15,999"
40,2015 BMW X1 sDrive 28i,"23,625 mi.","$21,995"
41,2017 BMW X1 xDrive 28i,"11,084 mi.","$31,973"
42,2015 BMW X1 sDrive 28i,"52,173 mi.","$15,250"
43,2016 BMW X1 xDrive 28i,"18,066 mi.","$28,500"
44,2018 BMW X1 sDrive28i,"10,830 mi.","$34,910"
45,2013 BMW X1 sDrive28i,"120,488 mi.","$7,995"
46,2017 BMW X1 xDrive28i,"19,730 mi.","$29,688"
47,2018 BMW X1 sDrive28i,"8,875 mi.","$32,895"
48,2016 BMW X1 xDrive28i,"30,022 mi.","$25,995"
49,2018 BMW X1 sDrive28i,"3,554 mi.","$31,888"
50,2014 BMW X1 xDrive 28i,"82,633 mi.","$13,500"
51,2016 BMW X1 xDrive 28i,"29,407 mi.","$27,500"
52,2015 BMW X1 xDrive 28i,"33,575 mi.","$18,996"
53,2013 BMW X1 Base,"113,882 mi.","$8,900"
54,2015 BMW X1 sDrive28i,"57,257 mi.","$16,744"
