,Name,Mileage,Price
0,2017 BMW X5 eDrive xDrive40e,"14,496 mi.","$51,895"
1,2016 BMW X5 eDrive xDrive40e,"29,647 mi.","$37,990"
2,2017 BMW X5 eDrive xDrive40e,"36,256 mi.","$48,881"
3,2016 BMW X5 eDrive xDrive40e,"30,987 mi.","$43,982"
4,2016 BMW X5 eDrive xDrive40e,"36,155 mi.","$39,981"
5,2018 BMW X5 eDrive xDrive40e,"3,506 mi.","$59,999"
6,2016 BMW X5 eDrive xDrive40e,"31,278 mi.","$38,492"
7,2016 BMW X5 eDrive xDrive40e,"29,950 mi.","$38,993"
8,2017 BMW X5 eDrive xDrive40e,"29,553 mi.","$49,997"
9,2016 BMW X5 eDrive xDrive40e,"34,848 mi.","$43,900"
10,2018 BMW X5 eDrive xDrive40e,"5,600 mi.","$55,392"
11,2016 BMW X5 eDrive xDrive40e,"33,517 mi.","$42,900"
12,2016 BMW X5 eDrive xDrive40e,"32,127 mi.","$43,997"
13,2017 BMW X5 eDrive xDrive40e,"24,643 mi.","$41,998"
14,2016 BMW X5 eDrive xDrive40e,"48,538 mi.","$36,998"
15,2016 BMW X5 eDrive xDrive40e,"64,478 mi.","$34,995"
16,2017 BMW X5 eDrive xDrive40e,"27,857 mi.","$43,987"
17,2017 BMW X5 eDrive xDrive40e,"21,307 mi.","$46,957"
18,2016 BMW X5 eDrive xDrive40e,"49,304 mi.","$35,987"
19,2016 BMW X5 eDrive xDrive40e,"30,703 mi.","$37,986"
20,2018 BMW X5 eDrive xDrive40e,"17,822 mi.","$51,971"
21,2018 BMW X5 eDrive xDrive40e,"15,375 mi.","$51,951"
22,2018 BMW X5 eDrive xDrive40e,"16,929 mi.","$53,595"
23,2016 BMW X5 eDrive xDrive40e,"82,900 mi.","$32,494"
24,2016 BMW X5 eDrive xDrive40e,"48,774 mi.","$35,800"
25,2017 BMW X5 eDrive xDrive40e,"22,353 mi.","$49,580"
26,2016 BMW X5 eDrive xDrive40e,"19,565 mi.","$39,988"
27,2017 BMW X5 eDrive xDrive40e,"14,413 mi.","$50,995"
28,2017 BMW X5 eDrive xDrive40e,"6,525 mi.","$48,949"
29,2016 BMW X5 eDrive xDrive40e,"38,241 mi.","$36,450"
30,2018 BMW X5 eDrive xDrive40e,"5,218 mi.","$57,850"
31,2016 BMW X5 eDrive xDrive40e,"33,956 mi.","$35,990"
32,2017 BMW X5 eDrive xDrive40e,"11,443 mi.","$45,998"
33,2016 BMW X5 eDrive xDrive40e,"28,520 mi.","$41,190"
34,2018 BMW X5 eDrive xDrive40e,"10,800 mi.","$54,500"
35,2018 BMW X5 eDrive xDrive40e,"5,745 mi.","$63,310"
36,2016 BMW X5 eDrive xDrive40e,"32,518 mi.","$42,995"
37,2016 BMW X5 eDrive xDrive40e,"53,448 mi.","$35,999"
38,2017 BMW X5 eDrive xDrive40e,"7,036 mi.","$53,977"
39,2016 BMW X5 eDrive xDrive40e,"52,905 mi.","$36,977"
40,2017 BMW X5 eDrive xDrive40e,"20,412 mi.","$50,977"
41,2017 BMW X5 eDrive xDrive40e,"4,824 mi.","$49,799"
42,2018 BMW X5 eDrive xDrive40e,"8,968 mi.","$56,750"
43,2018 BMW X5 eDrive xDrive40e,"19,842 mi.","$51,495"
44,2018 BMW X5 eDrive xDrive40e,"7,288 mi.","$56,995"
45,2016 BMW X5 eDrive xDrive40e,"33,934 mi.","$40,680"
46,2018 BMW X5 eDrive xDrive40e,"7,232 mi.","$58,995"
47,2016 BMW X5 eDrive xDrive40e,"47,710 mi.","$35,999"
48,2016 BMW X5 eDrive xDrive40e,"40,317 mi.","$32,999"
49,2016 BMW X5 eDrive xDrive40e,"19,359 mi.","$37,999"
50,2017 BMW X5 eDrive xDrive40e,"12,248 mi.","$44,195"
51,2017 BMW X5 eDrive xDrive40e,"17,345 mi.","$46,495"
52,2018 BMW X5 eDrive xDrive40e,"3,116 mi.","$53,995"
53,2018 BMW X5 eDrive xDrive40e,"8,266 mi.","$56,755"
54,2017 BMW X5 eDrive xDrive40e,"28,412 mi.","$50,780"
55,2018 BMW X5 eDrive xDrive40e,"11,416 mi.","$57,309"
56,2018 BMW X5 eDrive xDrive40e,"11,416 mi.","$57,309"
57,2016 BMW X5 eDrive xDrive40e,"31,151 mi.","$39,892"
58,2017 BMW X5 eDrive xDrive40e,"4,769 mi.","$69,995"
59,2017 BMW X5 eDrive xDrive40e,"12,688 mi.","$47,965"
60,2017 BMW X5 eDrive xDrive40e,"12,049 mi.","$48,710"
61,2016 BMW X5 eDrive xDrive40e,"34,522 mi.","$41,000"
62,2018 BMW X5 eDrive xDrive40e,"8,178 mi.","$56,459"
63,2016 BMW X5 eDrive xDrive40e,"24,244 mi.","$34,999"
64,2016 BMW X5 eDrive xDrive40e,"39,409 mi.","$35,999"
65,2017 BMW X5 eDrive xDrive40e,"6,425 mi.","$63,820"
66,2017 BMW X5 eDrive xDrive40e,"5,154 mi.","$63,360"
67,2016 BMW X5 eDrive xDrive40e,"30,856 mi.","$37,494"
68,2018 BMW X5 eDrive xDrive40e,"4,829 mi.","$56,900"
69,2018 BMW X5 eDrive xDrive40e,"7,400 mi.","$56,000"
70,2017 BMW X5 eDrive xDrive40e,"21,450 mi.","$44,766"
71,2016 BMW X5 eDrive xDrive40e,"42,255 mi.","$40,769"
72,2017 BMW X5 eDrive xDrive40e,"4,614 mi.","$58,895"
73,2018 BMW X5 eDrive xDrive40e,"10,246 mi.","$56,450"
74,2018 BMW X5 eDrive xDrive40e,"7,526 mi.","$55,898"
75,2016 BMW X5 eDrive xDrive40e,"34,507 mi.","$43,999"
76,2016 BMW X5 eDrive xDrive40e,"32,252 mi.","$39,999"
77,2016 BMW X5 eDrive xDrive40e,"27,997 mi.","$43,500"
78,2016 BMW X5 eDrive xDrive40e,"24,244 mi.","$34,999"
79,2016 BMW X5 eDrive xDrive40e,"29,198 mi.","$37,990"
80,2017 BMW X5 eDrive xDrive40e,"10,288 mi.","$42,995"
81,2016 BMW X5 eDrive xDrive40e,"35,581 mi.","$40,499"
82,2018 BMW X5 eDrive xDrive40e,"9,742 mi.","$56,995"
83,2016 BMW X5 eDrive xDrive40e,"24,244 mi.","$34,999"
84,2018 BMW X5 eDrive xDrive40e,"1,784 mi.","$63,995"
85,2017 BMW X5 eDrive xDrive40e,"23,053 mi.","$50,945"
86,2016 BMW X5 eDrive xDrive40e,"26,900 mi.","$39,458"
87,2018 BMW X5 eDrive xDrive40e,"3,720 mi.","$57,500"
88,2016 BMW X5 eDrive xDrive40e,"25,991 mi.","$40,999"
89,2016 BMW X5 eDrive xDrive40e,"21,754 mi.","$45,999"
90,2016 BMW X5 eDrive xDrive40e,"44,992 mi.","$38,995"
91,2016 BMW X5 eDrive xDrive40e,"36,639 mi.","$37,900"
92,2016 BMW X5 eDrive xDrive40e,"32,001 mi.","$42,089"
93,2016 BMW X5 eDrive xDrive40e,"28,381 mi.","$43,995"
94,2018 BMW X5 eDrive xDrive40e,"16,980 mi.","$57,500"
95,2016 BMW X5 eDrive xDrive40e,"30,116 mi.","$41,998"
96,2018 BMW X5 eDrive xDrive40e,"2,147 mi.","$57,000"
97,2017 BMW X5 eDrive xDrive40e,"19,950 mi.","$52,889"
98,2018 BMW X5 eDrive xDrive40e,"4,350 mi.","$55,475"
99,2017 BMW X5 eDrive xDrive40e,"11,555 mi.","$48,975"
100,2018 BMW X5 eDrive xDrive40e,"8,835 mi.","$56,998"
101,2017 BMW X5 eDrive xDrive40e,"15,546 mi.","$47,789"
102,2016 BMW X5 eDrive xDrive40e,"30,761 mi.","$39,900"
103,2016 BMW X5 eDrive xDrive40e,"41,747 mi.","$38,500"
104,2016 BMW X5 eDrive xDrive40e,"36,389 mi.","$38,998"
105,2016 BMW X5 eDrive xDrive40e,"33,934 mi.","$40,680"
