,Name,Mileage,Price
0,2000 BMW Z3 2.8 Roadster,"86,057 mi.","$7,889"
1,2000 BMW Z3 M 3.2L,"123,812 mi.","$24,990"
2,1997 BMW Z3 1.9 Roadster,"62,964 mi.","$8,900"
3,1999 BMW Z3 2.3 Roadster,"34,716 mi.","$10,999"
4,1999 BMW Z3 2.3 Roadster,"134,808 mi.","$5,495"
5,2002 BMW Z3 3.0i,"68,014 mi.","$19,000"
6,2002 BMW Z3 2.5i Roadster,"83,524 mi.","$7,999"
7,2000 BMW Z3 2.3 Roadster,"102,438 mi.","$6,995"
8,2000 BMW Z3 M 3.2L,"74,486 mi.","$13,586"
9,2001 BMW Z3 2.5i Roadster,"93,921 mi.","$6,995"
10,2002 BMW Z3 M 3.2L,"78,486 mi.","$17,499"
11,1999 BMW Z3 3.2L,"118,143 mi.","$7,995"
12,1998 BMW Z3 2.8 Roadster,"124,586 mi.","$5,485"
13,1997 BMW Z3 2.8 Roadster,"112,608 mi.","$5,985"
14,1998 BMW Z3 2.8 Roadster,"62,672 mi.","$9,490"
15,1999 BMW Z3 Base,"45,798 mi.","$15,000"
16,1999 BMW Z3 2.3 Roadster,"75,422 mi.","$10,800"
17,1999 BMW Z3 3.2L,"50,455 mi.","$15,900"
18,2000 BMW Z3 M 3.2L,"82,336 mi.","$15,900"
19,2002 BMW Z3 3.0i,"76,593 mi.","$9,999"
20,2002 BMW Z3 M 3.2L,"30,492 mi.","$32,990"
21,2002 BMW Z3 M 3.2L,"27,013 mi.","$64,990"
22,2002 BMW Z3 M 3.2L,"57,128 mi.","$23,800"
23,2002 BMW Z3 3.0i,"117,584 mi.","$7,995"
24,2000 BMW Z3 M 3.2L,"66,000 mi.","$28,999"
25,1998 BMW Z3 2.8 Roadster,"12,528 mi.","$18,399"
26,2000 BMW Z3 2.3 Roadster,"43,919 mi.","$9,500"
27,1998 BMW Z3 2.8 Roadster,"42,497 mi.","$12,900"
28,2000 BMW Z3 2.3 Roadster,"75,780 mi.","$8,990"
29,2001 BMW Z3 3.0i,"46,484 mi.","$14,950"
30,2000 BMW Z3 2.8 Roadster,"23,991 mi.","$14,500"
31,1997 BMW Z3 1.9 Roadster,"39,160 mi.","$8,999"
32,1999 BMW Z3 2.8 Roadster,"73,390 mi.","$7,999"
33,1999 BMW Z3 3.2L,"68,535 mi.","$13,991"
34,2001 BMW Z3 3.0i,"63,731 mi.","$11,500"
35,1998 BMW Z3 1.9 Roadster,"114,880 mi.","$6,275"
36,2001 BMW Z3 2.5i Roadster,"80,103 mi.","$8,491"
37,1998 BMW Z3 2.8L,"111,229 mi.","$6,350"
38,2002 BMW Z3 2.5i Roadster,"71,932 mi.","$9,995"
39,1997 BMW Z3 2.8 Roadster,"121,493 mi.","$5,991"
40,1998 BMW Z3 1.9 Roadster,"31,261 mi.","$11,975"
41,1998 BMW Z3 2.8 Roadster,"190,030 mi.","$5,250"
42,2001 BMW Z3 3.0i,"104,922 mi.","$4,988"
43,2001 BMW Z3 2.5i Roadster,"86,347 mi.","$6,995"
44,2000 BMW Z3 2.8 Roadster,"67,150 mi.","$8,990"
45,2001 BMW Z3 2.5i Roadster,"23,255 mi.","$14,900"
46,2000 BMW Z3 2.5L,"121,328 mi.","$6,981"
47,2000 BMW Z3 2.3 Roadster,"132,500 mi.","$5,989"
48,2000 BMW Z3 M 3.2L,"65,734 mi.","$29,900"
49,2000 BMW Z3 2.3 Roadster,"72,123 mi.","$8,500"
50,2002 BMW Z3 3.0i,"79,214 mi.","$8,999"
51,2000 BMW Z3 2.5L,"102,309 mi.","$7,500"
52,2002 BMW Z3 M 3.2L,"52,376 mi.","$25,990"
53,2000 BMW Z3 2.5L,"91,926 mi.","$9,650"
54,2002 BMW Z3 3.0i Roadster,"72,398 mi.","$11,387"
55,2001 BMW Z3 2.5i Roadster,"80,609 mi.","$8,990"
56,2000 BMW Z3 2.8 Roadster,"82,547 mi.","$12,895"
57,1997 BMW Z3 2.8 Roadster,"128,232 mi.","$5,993"
58,1996 BMW Z3 Roadster,"146,877 mi.","$4,303"
59,1997 BMW Z3 2.8 Roadster,"93,987 mi.","$7,995"
60,2000 BMW Z3 M 3.2L,"125,386 mi.","$21,998"
61,2001 BMW Z3 2.5i Roadster,"28,000 mi.","$14,995"
