,Name,Mileage,Price
0,2018 Buick Cascada Premium,"14,262 mi.","$22,000"
1,2018 Buick Cascada Premium,"13,622 mi.","$24,000"
2,2016 Buick Cascada Premium,"6,095 mi.","$23,000"
3,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
4,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
5,2016 Buick Cascada Premium,"14,627 mi.","$22,351"
6,2016 Buick Cascada Premium,"11,943 mi.","$22,598"
7,2016 Buick Cascada Premium,"6,442 mi.","$23,562"
8,2016 Buick Cascada Premium,"10,495 mi.","$24,200"
9,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
10,2016 Buick Cascada Premium,"47,601 mi.","$17,900"
11,2016 Buick Cascada Premium,"17,916 mi.","$20,630"
12,2016 Buick Cascada Premium,"30,386 mi.","$21,093"
13,2017 Buick Cascada Premium,"2,242 mi.","$24,000"
14,2017 Buick Cascada Premium,"4,487 mi.","$19,998"
15,2016 Buick Cascada Premium,"1,463 mi.","$23,950"
16,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
17,2016 Buick Cascada Premium,"14,383 mi.","$22,000"
18,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
19,2016 Buick Cascada Premium,"19,205 mi.","$21,998"
20,2018 Buick Cascada Premium,"15,425 mi.","$23,988"
21,2016 Buick Cascada Base,"38,322 mi.","$20,093"
22,2017 Buick Cascada Sport Touring,"1,000 mi.","$27,485"
23,2016 Buick Cascada Premium,"1,596 mi.","$24,553"
24,2017 Buick Cascada Premium,459 mi.,"$28,980"
25,2016 Buick Cascada Premium,"17,916 mi.","$20,630"
26,2016 Buick Cascada Premium,"15,567 mi.","$24,205"
27,2016 Buick Cascada Premium,"19,961 mi.","$21,994"
28,2016 Buick Cascada Premium,"17,916 mi.","$20,630"
29,2017 Buick Cascada Sport Touring,"9,996 mi.","$25,700"
30,2016 Buick Cascada Premium,"11,672 mi.","$21,998"
31,2018 Buick Cascada Premium,154 mi.,"$25,169"
32,2016 Buick Cascada Premium,"16,033 mi.","$22,995"
33,2016 Buick Cascada Premium,"38,051 mi.","$19,598"
34,2017 Buick Cascada Sport Touring,"17,993 mi.","$24,777"
35,2016 Buick Cascada Premium,"17,916 mi.","$20,630"
36,2017 Buick Cascada Sport Touring,"9,996 mi.","$25,700"
37,2016 Buick Cascada Premium,"17,941 mi.","$22,267"
38,2016 Buick Cascada Premium,"19,736 mi.","$23,000"
39,2017 Buick Cascada Premium,"10,233 mi.","$23,020"
40,2017 Buick Cascada Sport Touring,"9,996 mi.","$25,700"
41,2016 Buick Cascada Premium,"21,569 mi.","$22,268"
42,2018 Buick Cascada Premium,"16,114 mi.","$26,500"
43,2016 Buick Cascada Premium,"34,162 mi.","$21,630"
44,2016 Buick Cascada Premium,"25,705 mi.","$23,000"
45,2016 Buick Cascada Premium,"17,916 mi.","$20,630"
46,2016 Buick Cascada Premium,"11,103 mi.","$23,816"
47,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
48,2017 Buick Cascada Sport Touring,"9,996 mi.","$25,700"
49,2016 Buick Cascada Premium,"10,136 mi.","$21,500"
50,2016 Buick Cascada Premium,"25,757 mi.","$21,800"
51,2017 Buick Cascada Sport Touring,"1,653 mi.","$25,700"
52,2016 Buick Cascada Premium,"22,807 mi.","$22,923"
53,2016 Buick Cascada Premium,"23,589 mi.","$21,487"
54,2016 Buick Cascada Premium,"32,260 mi.","$21,594"
55,2016 Buick Cascada Premium,"18,319 mi.","$21,990"
56,2016 Buick Cascada Premium,"28,349 mi.","$21,999"
57,2017 Buick Cascada Premium,"15,711 mi.","$24,942"
58,2016 Buick Cascada Premium,"24,286 mi.","$23,250"
59,2016 Buick Cascada Premium,"16,937 mi.","$19,991"
60,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
61,2016 Buick Cascada Premium,"21,932 mi.","$23,499"
62,2016 Buick Cascada Premium,"23,617 mi.","$22,731"
63,2018 Buick Cascada Premium,"1,461 mi.","$26,991"
64,2016 Buick Cascada Premium,"40,519 mi.","$20,887"
65,2017 Buick Cascada Premium,"9,475 mi.","$26,465"
66,2016 Buick Cascada Premium,"30,304 mi.","$21,988"
67,2017 Buick Cascada Premium,"5,236 mi.","$24,999"
68,2019 Buick Cascada Premium,498 mi.,"$33,988"
69,2017 Buick Cascada Sport Touring,"9,996 mi.","$25,700"
70,2016 Buick Cascada Premium,50 mi.,"$29,020"
71,2017 Buick Cascada Premium,"12,071 mi.","$24,399"
72,2016 Buick Cascada Premium,"19,553 mi.","$22,998"
73,2016 Buick Cascada Premium,"21,846 mi.","$24,960"
74,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
75,2016 Buick Cascada Premium,"20,166 mi.","$22,999"
76,2016 Buick Cascada Premium,"14,924 mi.","$23,714"
77,2016 Buick Cascada Premium,"12,669 mi.","$22,575"
78,2016 Buick Cascada Premium,"2,937 mi.","$24,095"
79,2016 Buick Cascada Premium,"25,082 mi.","$22,494"
80,2018 Buick Cascada Premium,"13,864 mi.","$23,800"
81,2017 Buick Cascada Sport Touring,"5,390 mi.","$26,499"
82,2016 Buick Cascada Premium,"26,072 mi.","$20,959"
83,2016 Buick Cascada Premium,"30,233 mi.","$19,498"
84,2016 Buick Cascada Premium,"17,916 mi.","$20,630"
85,2016 Buick Cascada Premium,"18,438 mi.","$23,188"
86,2016 Buick Cascada Premium,"20,743 mi.","$21,800"
87,2017 Buick Cascada Sport Touring,"5,659 mi.","$24,977"
88,2016 Buick Cascada Premium,"16,348 mi.","$22,590"
89,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
90,2016 Buick Cascada Premium,"17,108 mi.","$22,961"
91,2016 Buick Cascada Premium,"12,155 mi.","$24,995"
92,2016 Buick Cascada Premium,"26,855 mi.","$23,400"
93,2016 Buick Cascada Premium,"21,173 mi.","$21,630"
94,2016 Buick Cascada Premium,"19,098 mi.","$24,990"
95,2016 Buick Cascada Premium,"25,307 mi.","$20,937"
96,2017 Buick Cascada Sport Touring,"9,996 mi.","$25,700"
97,2016 Buick Cascada Premium,"15,530 mi.","$22,500"
98,2016 Buick Cascada Premium,"4,005 mi.","$24,599"
99,2016 Buick Cascada Premium,"34,168 mi.","$21,700"
100,2018 Buick Cascada Premium,"14,669 mi.","$22,998"
101,2018 Buick Cascada Premium,"10,149 mi.","$22,998"
102,2016 Buick Cascada Premium,"7,481 mi.","$19,399"
103,2018 Buick Cascada Premium,"9,181 mi.","$23,980"
