,Name,Mileage,Price
0,2003 Buick Century Custom,"150,000 mi.",$999
1,2003 Buick Century Custom,"119,192 mi.","$4,394"
2,2005 Buick Century Base,"78,785 mi.","$3,500"
3,1997 Buick Century Custom,"160,550 mi.","$2,988"
4,1998 Buick Century Custom,"93,000 mi.","$2,695"
5,1999 Buick Century Custom,"59,886 mi.","$3,499"
6,2002 Buick Century Custom,"84,764 mi.","$1,495"
7,2001 Buick Century Custom,"91,067 mi.","$4,250"
8,1998 Buick Century Custom,"154,591 mi.","$2,800"
9,2003 Buick Century Custom,"176,637 mi.","$3,986"
10,2002 Buick Century Custom,"139,037 mi.","$1,995"
11,1997 Buick Century Limited,"77,954 mi.","$5,685"
12,1997 Buick Century Limited,"32,000 mi.","$4,999"
13,2000 Buick Century Custom,"73,201 mi.","$5,000"
14,2005 Buick Century Base,"179,121 mi.","$2,180"
15,1999 Buick Century Custom,"130,000 mi.","$2,649"
16,2004 Buick Century Base,"92,245 mi.","$5,000"
17,2004 Buick Century Custom,"91,755 mi.","$4,601"
18,2005 Buick Century Base,"131,519 mi.","$2,999"
19,1998 Buick Century Limited,"88,964 mi.","$2,900"
20,2004 Buick Century Base,"160,180 mi.","$2,756"
21,2001 Buick Century Custom,"64,018 mi.","$4,200"
22,2004 Buick Century Custom,"135,880 mi.","$3,995"
23,1999 Buick Century Custom,"39,817 mi.","$4,391"
24,2000 Buick Century CUSTOM,"145,000 mi.","$1,995"
25,1986 Buick Century Limited,"89,305 mi.","$1,499"
26,2000 Buick Century Limited,"58,021 mi.","$4,998"
27,2002 Buick Century Custom,"88,370 mi.","$6,999"
28,2003 Buick Century Custom,"135,416 mi.","$3,995"
29,2001 Buick Century Custom,"65,013 mi.","$4,000"
30,2005 Buick Century Base,"237,839 mi.","$1,496"
31,2000 Buick Century Limited,"122,591 mi.","$3,967"
32,2001 Buick Century Custom,"109,831 mi.","$2,995"
33,2002 Buick Century Custom,"115,078 mi.","$3,595"
34,2002 Buick Century Limited,"109,817 mi.","$4,999"
35,2003 Buick Century Custom,"50,229 mi.","$6,920"
36,2002 Buick Century Limited,"49,770 mi.","$6,435"
37,2001 Buick Century Limited,"188,279 mi.","$2,680"
38,1999 Buick Century Limited,"55,152 mi.","$3,800"
39,2004 Buick Century Base,"35,006 mi.","$6,495"
40,1999 Buick Century Custom,"120,709 mi.","$1,575"
41,1998 Buick Century Custom,"45,398 mi.","$5,495"
42,2002 Buick Century Custom,"55,252 mi.","$5,000"
43,1989 Buick Century Estate,"84,170 mi.","$2,000"
44,2002 Buick Century Limited,"141,547 mi.","$4,398"
45,1996 Buick Century Special,"134,500 mi.","$2,495"
46,2001 Buick Century Custom,"121,005 mi.","$2,495"
47,2000 Buick Century Custom,"105,474 mi.","$3,450"
48,1998 Buick Century Limited,"66,325 mi.","$2,900"
49,2002 Buick Century Custom,"200,000 mi.","$1,900"
50,2001 Buick Century Custom,"84,000 mi.","$2,499"
51,2001 Buick Century Limited,"87,972 mi.","$5,995"
52,1999 Buick Century Limited,"100,493 mi.","$4,995"
53,1999 Buick Century Custom,"156,479 mi.","$2,495"
54,1997 Buick Century Custom,"97,257 mi.","$2,995"
55,2003 Buick Century Custom,"102,991 mi.","$3,934"
56,2002 Buick Century Custom,"97,725 mi.","$4,995"
57,2001 Buick Century Custom,"129,082 mi.","$3,333"
58,2004 Buick Century Base,"98,142 mi.","$3,599"
59,2000 Buick Century Custom,"186,386 mi.","$2,995"
60,1956 Buick Century Estate,"52,745 mi.","$25,999"
61,2004 Buick Century Base,"82,855 mi.","$4,890"
62,2001 Buick Century Custom,"212,343 mi.","$1,000"
63,2000 Buick Century Custom,"153,924 mi.","$2,995"
64,2005 Buick Century Base,"117,182 mi.","$4,650"
65,1999 Buick Century Limited,"96,989 mi.","$2,999"
66,2003 Buick Century Custom,"143,763 mi.","$3,495"
67,2005 Buick Century Base,"298,341 mi.","$2,900"
68,2003 Buick Century Custom,"117,093 mi.","$2,990"
69,2005 Buick Century Custom,"39,536 mi.","$8,000"
70,2001 Buick Century Limited,"85,676 mi.","$4,500"
71,1998 Buick Century Limited,"205,577 mi.","$3,990"
72,2003 Buick Century Custom,"77,638 mi.","$5,995"
73,2003 Buick Century Custom,"208,571 mi.","$3,900"
74,1998 Buick Century Custom,"56,455 mi.","$3,495"
75,1999 Buick Century Limited,"91,246 mi.","$2,900"
76,2002 Buick Century Custom,"90,915 mi.","$3,900"
77,2003 Buick Century Custom,"67,000 mi.","$3,988"
78,1996 Buick Century Custom SK,"137,477 mi.","$1,855"
79,2004 Buick Century Custom,"40,362 mi.","$4,595"
80,2003 Buick Century Custom,"155,214 mi.","$2,500"
81,2001 Buick Century Custom,"126,684 mi.","$3,999"
82,2000 Buick Century Custom,"185,411 mi.","$1,495"
