,Name,Mileage,Price
0,2013 Buick LaCrosse,"31,740 mi.","$15,952"
1,2014 Buick LaCrosse Leather,"34,566 mi.","$18,999"
2,2017 Buick LaCrosse Premium,"30,689 mi.","$24,496"
3,2014 Buick LaCrosse Premium 2,"42,988 mi.","$19,880"
4,2014 Buick LaCrosse Leather,"130,042 mi.","$8,800"
5,2013 Buick LaCrosse Leather,"62,855 mi.","$10,995"
6,2012 Buick LaCrosse Premium 1,"55,794 mi.","$13,577"
7,2014 Buick LaCrosse Leather,"59,303 mi.","$18,988"
8,2015 Buick LaCrosse Leather,"77,879 mi.","$14,312"
9,2018 Buick LaCrosse Essence,"11,604 mi.","$22,997"
10,2017 Buick LaCrosse Premium,"25,514 mi.","$20,499"
11,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
12,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
13,2013 Buick LaCrosse Premium 2,"48,068 mi.","$15,991"
14,2015 Buick LaCrosse Leather,"56,649 mi.","$16,495"
15,2017 Buick LaCrosse Essence,"13,845 mi.","$24,950"
16,2014 Buick LaCrosse Premium 1,"45,665 mi.","$19,969"
17,2015 Buick LaCrosse Leather,"60,719 mi.","$18,900"
18,2011 Buick LaCrosse CXL,"46,988 mi.","$13,994"
19,2016 Buick LaCrosse Leather,"49,396 mi.","$17,999"
20,2011 Buick LaCrosse CXL,"99,433 mi.","$9,699"
21,2017 Buick LaCrosse Premium,"15,499 mi.","$27,845"
22,2010 Buick LaCrosse CXL,"35,418 mi.","$12,990"
23,2014 Buick LaCrosse Leather,"85,454 mi.","$13,880"
24,2018 Buick LaCrosse Essence,"24,811 mi.","$24,970"
25,2017 Buick LaCrosse Premium,"17,182 mi.","$25,987"
26,2015 Buick LaCrosse Leather,"43,905 mi.","$15,987"
27,2015 Buick LaCrosse Leather,"40,804 mi.","$16,864"
28,2011 Buick LaCrosse CXS,"124,702 mi.","$8,861"
29,2013 Buick LaCrosse Leather,"66,160 mi.","$14,990"
30,2016 Buick LaCrosse Leather,"24,924 mi.","$20,995"
31,2011 Buick LaCrosse CXS,"96,075 mi.","$10,962"
32,2017 Buick LaCrosse Premium,"18,611 mi.","$26,977"
33,2011 Buick LaCrosse CXL,"69,000 mi.","$11,900"
34,2015 Buick LaCrosse Premium I,"72,953 mi.","$17,990"
35,2012 Buick LaCrosse Convenience,"36,320 mi.","$13,687"
36,2014 Buick LaCrosse Leather,"123,298 mi.","$10,985"
37,2019 Buick LaCrosse Sport Touring,"12,501 mi.","$30,000"
38,2018 Buick LaCrosse Essence,"5,590 mi.","$27,900"
39,2017 Buick LaCrosse Essence,"4,218 mi.","$26,995"
40,2017 Buick LaCrosse Premium,"34,158 mi.","$25,492"
41,2017 Buick LaCrosse Essence,"9,847 mi.","$25,987"
42,2012 Buick LaCrosse Convenience,"137,471 mi.","$7,984"
43,2013 Buick LaCrosse Premium 1,"69,939 mi.","$10,000"
44,2017 Buick LaCrosse Essence,"5,448 mi.","$27,390"
45,2017 Buick LaCrosse Premium,"25,514 mi.","$20,499"
46,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
47,2011 Buick LaCrosse CX,"80,989 mi.","$9,463"
48,2018 Buick LaCrosse Essence,"9,673 mi.","$23,990"
49,2015 Buick LaCrosse Leather,"22,631 mi.","$21,899"
50,2018 Buick LaCrosse Premium,"15,726 mi.","$29,999"
51,2018 Buick LaCrosse Premium,"17,985 mi.","$29,999"
52,2018 Buick LaCrosse Premium,"9,784 mi.","$32,999"
53,2018 Buick LaCrosse Premium,"15,682 mi.","$29,999"
54,2017 Buick LaCrosse Essence,"19,226 mi.","$23,600"
55,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
56,2014 Buick LaCrosse Leather,"89,665 mi.","$14,798"
57,2016 Buick LaCrosse Premium I,"28,112 mi.","$25,995"
58,2017 Buick LaCrosse Premium,"37,191 mi.","$28,490"
59,2013 Buick LaCrosse Premium 1,"183,371 mi.","$7,500"
60,2012 Buick LaCrosse Premium 1,"135,282 mi.","$8,997"
61,2014 Buick LaCrosse Leather,"17,560 mi.","$16,000"
62,2017 Buick LaCrosse Essence,"22,388 mi.","$24,988"
63,2016 Buick LaCrosse Sport Touring,"29,852 mi.","$22,488"
64,2016 Buick LaCrosse Sport Touring,"23,082 mi.","$21,988"
65,2016 Buick LaCrosse Leather,"13,319 mi.","$21,500"
66,2016 Buick LaCrosse Premium II,"16,076 mi.","$25,999"
67,2017 Buick LaCrosse Essence,"34,077 mi.","$22,499"
68,2016 Buick LaCrosse Sport Touring,"28,117 mi.","$21,995"
69,2017 Buick LaCrosse Essence,"3,906 mi.","$27,988"
70,2014 Buick LaCrosse Premium I,"50,421 mi.","$15,750"
71,2013 Buick LaCrosse Premium 1,"59,407 mi.","$13,850"
72,2011 Buick LaCrosse CXL,"59,647 mi.","$12,000"
73,2017 Buick LaCrosse Essence,"10,946 mi.","$24,368"
74,2011 Buick LaCrosse CXS,"43,361 mi.","$14,000"
75,2018 Buick LaCrosse Essence,"12,555 mi.","$25,000"
76,2012 Buick LaCrosse Premium 1,"79,930 mi.","$10,798"
77,2017 Buick LaCrosse Essence,"6,538 mi.","$25,674"
78,2016 Buick LaCrosse Premium II,"23,850 mi.","$23,795"
79,2012 Buick LaCrosse Convenience,"11,285 mi.","$14,990"
80,2018 Buick LaCrosse Essence,"14,182 mi.","$25,940"
81,2016 Buick LaCrosse Sport Touring,"12,841 mi.","$21,754"
82,2017 Buick LaCrosse Premium,"25,514 mi.","$20,499"
83,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
84,2014 Buick LaCrosse Leather,"12,488 mi.","$15,800"
85,2015 Buick LaCrosse Leather,"29,138 mi.","$18,835"
86,2018 Buick LaCrosse Essence,"16,246 mi.","$21,995"
87,2017 Buick LaCrosse Essence,"12,578 mi.","$24,885"
88,2016 Buick LaCrosse Sport Touring,"17,148 mi.","$22,490"
89,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
90,2017 Buick LaCrosse Premium,"25,514 mi.","$20,499"
91,2015 Buick LaCrosse Leather,"4,929 mi.","$19,795"
92,2018 Buick LaCrosse Premium,"9,451 mi.","$29,995"
93,2017 Buick LaCrosse Premium,"18,672 mi.","$26,828"
94,2014 Buick LaCrosse Leather,"56,696 mi.","$14,788"
95,2015 Buick LaCrosse Premium I,"36,407 mi.","$15,599"
96,2018 Buick LaCrosse Essence,"11,455 mi.","$24,500"
97,2018 Buick LaCrosse Premium,"8,802 mi.","$25,995"
98,2018 Buick LaCrosse Essence,"11,850 mi.","$23,950"
