,Name,Mileage,Price
0,2005 Buick LeSabre Custom,"103,160 mi.","$2,900"
1,2002 Buick LeSabre Custom,"81,180 mi.","$3,995"
2,2004 Buick LeSabre Custom,"100,530 mi.","$5,988"
3,2004 Buick LeSabre Limited,"112,065 mi.","$2,977"
4,2003 Buick LeSabre Custom,"117,280 mi.","$4,997"
5,2005 Buick LeSabre Custom,"103,545 mi.","$5,996"
6,1997 Buick LeSabre Limited,"76,598 mi.","$4,995"
7,2001 Buick LeSabre Custom,"166,598 mi.","$2,500"
8,2005 Buick LeSabre Custom,"131,914 mi.","$4,995"
9,2001 Buick LeSabre Custom,"180,799 mi.","$2,450"
10,2005 Buick LeSabre Custom,"125,650 mi.","$5,000"
11,2005 Buick LeSabre Limited,"225,433 mi.","$2,500"
12,2005 Buick LeSabre Custom,"82,287 mi.","$5,995"
13,2004 Buick LeSabre Limited,"117,500 mi.","$4,377"
14,2002 Buick LeSabre Limited,"95,132 mi.","$6,000"
15,2004 Buick LeSabre Limited,"82,849 mi.","$6,995"
16,2005 Buick LeSabre Limited,"71,022 mi.","$8,995"
17,2001 Buick LeSabre Custom,"86,388 mi.","$3,995"
18,2000 Buick LeSabre Custom,"183,910 mi.","$2,750"
19,2005 Buick LeSabre Custom,"64,106 mi.","$7,499"
20,2000 Buick LeSabre Custom,"155,013 mi.","$2,995"
21,1999 Buick LeSabre Limited,"122,294 mi.","$2,999"
22,2002 Buick LeSabre Custom,"120,582 mi.","$5,850"
23,2005 Buick LeSabre Limited,"144,086 mi.","$4,519"
24,2001 Buick LeSabre Limited,"162,258 mi.","$2,999"
25,2001 Buick LeSabre Custom,"90,451 mi.","$4,950"
26,2003 Buick LeSabre Limited,"107,368 mi.","$6,995"
27,2002 Buick LeSabre Limited,"97,231 mi.","$4,950"
28,2001 Buick LeSabre Custom,"178,756 mi.","$2,950"
29,2004 Buick LeSabre Limited,"116,052 mi.","$4,950"
30,2004 Buick LeSabre Limited,"57,586 mi.","$9,995"
31,2003 Buick LeSabre Custom,"161,763 mi.","$2,995"
32,2002 Buick LeSabre Custom,"120,123 mi.","$3,450"
33,2003 Buick LeSabre Limited,"120,018 mi.","$4,700"
34,2004 Buick LeSabre Limited,"192,044 mi.","$3,967"
35,2004 Buick LeSabre Custom,"145,710 mi.","$5,999"
36,2002 Buick LeSabre Limited,"127,032 mi.","$3,750"
37,2005 Buick LeSabre Custom,"156,754 mi.","$2,699"
38,2003 Buick LeSabre Custom,"76,203 mi.","$3,995"
39,2002 Buick LeSabre Limited,"78,000 mi.","$3,299"
40,2004 Buick LeSabre Custom,"66,512 mi.","$5,995"
41,2003 Buick LeSabre Custom,"82,647 mi.","$5,495"
42,2005 Buick LeSabre Custom,"110,116 mi.","$3,995"
43,2004 Buick LeSabre Custom,"198,682 mi.","$1,999"
44,2005 Buick LeSabre Limited,"110,252 mi.","$4,891"
45,2001 Buick LeSabre Limited,"157,626 mi.","$4,999"
46,2005 Buick LeSabre Limited,"288,320 mi.","$3,000"
47,2003 Buick LeSabre Custom,"42,306 mi.","$6,995"
48,2003 Buick LeSabre Limited,"58,184 mi.","$7,350"
49,1997 Buick LeSabre Limited,"108,056 mi.","$2,895"
50,2000 Buick LeSabre Limited,"191,147 mi.","$2,609"
51,2005 Buick LeSabre Custom,"70,068 mi.","$6,985"
52,2002 Buick LeSabre Custom,"217,861 mi.","$2,595"
53,2005 Buick LeSabre Custom,"143,444 mi.","$5,806"
54,2002 Buick LeSabre Custom,"168,688 mi.","$2,999"
55,2005 Buick LeSabre Custom,"94,631 mi.","$6,000"
56,2003 Buick LeSabre Custom,"129,533 mi.","$3,500"
57,2003 Buick LeSabre Custom,"217,540 mi.","$1,850"
58,2004 Buick LeSabre Custom,"165,619 mi.","$3,190"
59,2005 Buick LeSabre Custom,"115,034 mi.","$2,995"
60,2005 Buick LeSabre Custom,"138,310 mi.","$6,450"
61,2004 Buick LeSabre Limited,"158,081 mi.","$3,958"
62,2001 Buick LeSabre Custom,"70,000 mi.","$4,995"
63,2000 Buick LeSabre Limited,"130,703 mi.","$3,998"
64,2002 Buick LeSabre Custom,"100,000 mi.","$3,300"
65,2002 Buick LeSabre Limited,"212,636 mi.","$2,794"
66,2005 Buick LeSabre Custom,"96,445 mi.","$4,501"
67,2001 Buick LeSabre Custom,"96,915 mi.","$4,500"
68,2004 Buick LeSabre Limited,"120,644 mi.","$4,650"
69,2000 Buick LeSabre Custom,"88,968 mi.","$3,577"
70,2004 Buick LeSabre Custom,"95,912 mi.","$4,843"
71,2004 Buick LeSabre Limited,"97,245 mi.","$3,995"
72,1995 Buick LeSabre Custom 4dr Sedan,"138,414 mi.","$1,999"
73,2002 Buick LeSabre Custom,"62,655 mi.","$3,895"
74,2005 Buick LeSabre Custom,"86,548 mi.","$3,585"
75,2004 Buick LeSabre Custom,"210,311 mi.","$1,499"
76,2005 Buick LeSabre Limited,"80,175 mi.","$4,900"
77,2005 Buick LeSabre Custom,"70,424 mi.","$5,795"
78,2003 Buick LeSabre Custom,"168,079 mi.","$3,950"
79,2003 Buick LeSabre Limited,"168,000 mi.","$3,000"
80,2005 Buick LeSabre Custom,"181,874 mi.","$2,995"
81,2001 Buick LeSabre Custom,"279,813 mi.",$900
82,2004 Buick LeSabre Custom,"72,066 mi.","$4,799"
83,2000 Buick LeSabre Custom,"177,788 mi.","$2,977"
84,2004 Buick LeSabre Custom,"80,429 mi.","$5,977"
