,Name,Mileage,Price
0,2007 Buick Lucerne CXL,"61,552 mi.","$8,859"
1,2007 Buick Lucerne CXL,"129,083 mi.","$6,200"
2,2011 Buick Lucerne CX,"38,630 mi.","$11,998"
3,2007 Buick Lucerne CXS,"71,256 mi.","$6,900"
4,2011 Buick Lucerne CXL Premium,"78,620 mi.","$9,999"
5,2008 Buick Lucerne CXL,"77,071 mi.","$7,995"
6,2010 Buick Lucerne CXL Special Edition,"85,422 mi.","$8,000"
7,2007 Buick Lucerne CXL,"59,834 mi.","$9,995"
8,2006 Buick Lucerne CXS,"56,864 mi.","$5,997"
9,2011 Buick Lucerne CXL Premium,"153,601 mi.","$5,500"
10,2009 Buick Lucerne CXL,"61,085 mi.","$9,995"
11,2010 Buick Lucerne CXL Premium,"112,936 mi.","$7,372"
12,2008 Buick Lucerne CXL,"74,210 mi.","$7,925"
13,2006 Buick Lucerne CXS,"103,716 mi.","$4,998"
14,2011 Buick Lucerne CX,"87,034 mi.","$8,995"
15,2007 Buick Lucerne CXL,"42,611 mi.","$8,987"
16,2008 Buick Lucerne CXL,"82,699 mi.","$8,500"
17,2009 Buick Lucerne CXL,"98,310 mi.","$6,462"
18,2007 Buick Lucerne CXS,"45,364 mi.","$9,500"
19,2007 Buick Lucerne CXL,"140,947 mi.","$5,000"
20,2011 Buick Lucerne CXL Premium,"85,886 mi.","$8,700"
21,2011 Buick Lucerne CXL,"130,693 mi.","$7,490"
22,2006 Buick Lucerne CXL,"145,147 mi.","$4,950"
23,2007 Buick Lucerne CXL,"82,925 mi.","$6,950"
24,2008 Buick Lucerne CXL,"178,127 mi.","$4,950"
25,2010 Buick Lucerne CXL,"125,187 mi.","$6,800"
26,2006 Buick Lucerne CXL,"144,172 mi.","$6,375"
27,2010 Buick Lucerne CXL,"88,596 mi.","$8,593"
28,2011 Buick Lucerne CXL Premium,"58,337 mi.","$10,995"
29,2006 Buick Lucerne CXL,"176,605 mi.","$4,597"
30,2011 Buick Lucerne Super,"102,610 mi.","$9,588"
31,2011 Buick Lucerne CX,"37,031 mi.","$11,995"
32,2008 Buick Lucerne CXL,"68,329 mi.","$10,900"
33,2011 Buick Lucerne CXL,"134,677 mi.","$5,500"
34,2007 Buick Lucerne CX,"69,664 mi.","$5,999"
35,2007 Buick Lucerne CXL,"134,910 mi.","$6,389"
36,2010 Buick Lucerne CXL,"164,002 mi.","$6,990"
37,2008 Buick Lucerne CXL,"89,835 mi.","$6,813"
38,2011 Buick Lucerne CXL,"76,542 mi.","$9,500"
39,2010 Buick Lucerne CXL,"32,740 mi.","$14,998"
40,2010 Buick Lucerne CXL,"32,074 mi.","$13,599"
41,2007 Buick Lucerne V6 CXL,"57,007 mi.","$6,977"
42,2011 Buick Lucerne CX,"63,310 mi.","$8,499"
43,2007 Buick Lucerne V8 CXL,"105,910 mi.","$5,500"
44,2010 Buick Lucerne CXL Premium,"87,011 mi.","$8,800"
45,2008 Buick Lucerne CX,"90,791 mi.","$6,500"
46,2009 Buick Lucerne CXL Special Edition,"54,267 mi.","$8,900"
47,2009 Buick Lucerne Super,"80,094 mi.","$8,900"
48,2006 Buick Lucerne CXL,"109,943 mi.","$5,875"
49,2008 Buick Lucerne CXL,"88,372 mi.","$7,264"
50,2008 Buick Lucerne CXL,"82,496 mi.","$6,950"
51,2011 Buick Lucerne CX,"38,395 mi.","$10,900"
52,2007 Buick Lucerne CXL,"80,533 mi.","$6,895"
53,2006 Buick Lucerne CXS,"122,243 mi.","$4,800"
54,2011 Buick Lucerne CXL Premium,"45,935 mi.","$10,900"
55,2010 Buick Lucerne Super,"52,738 mi.","$11,900"
56,2008 Buick Lucerne CXL,"162,073 mi.","$4,860"
57,2007 Buick Lucerne CXL,"68,412 mi.","$7,000"
58,2011 Buick Lucerne CXL,"102,478 mi.","$7,917"
59,2008 Buick Lucerne CXL,"86,387 mi.","$7,224"
60,2009 Buick Lucerne CXL Special Edition,"176,398 mi.","$5,100"
61,2011 Buick Lucerne CXL,"98,738 mi.","$8,900"
62,2009 Buick Lucerne CXL,"113,000 mi.","$5,984"
63,2009 Buick Lucerne CXL,"13,609 mi.","$10,900"
64,2009 Buick Lucerne CXL-3,"93,125 mi.","$7,280"
65,2009 Buick Lucerne CXL-4,"85,529 mi.","$7,800"
66,2009 Buick Lucerne CXL,"92,246 mi.","$7,880"
67,2008 Buick Lucerne CXL,"98,201 mi.","$7,300"
68,2007 Buick Lucerne CXL,"107,344 mi.","$5,100"
69,2011 Buick Lucerne CXL,"104,313 mi.","$8,490"
70,2010 Buick Lucerne CXL,"75,778 mi.","$7,944"
71,2007 Buick Lucerne CXL,"108,330 mi.","$6,557"
72,2010 Buick Lucerne CX,"104,843 mi.","$6,154"
73,2008 Buick Lucerne CXL,"72,255 mi.","$6,914"
74,2009 Buick Lucerne CX,"72,705 mi.","$7,812"
75,2007 Buick Lucerne CXL,"89,758 mi.","$6,969"
76,2008 Buick Lucerne CXL,"100,645 mi.","$6,240"
77,2008 Buick Lucerne CXL,"137,283 mi.","$4,989"
78,2009 Buick Lucerne CXL,"31,697 mi.","$9,953"
79,2008 Buick Lucerne CXL,"83,891 mi.","$6,898"
80,2011 Buick Lucerne CXL,"93,139 mi.","$8,999"
81,2011 Buick Lucerne CX,"29,694 mi.","$12,998"
82,2006 Buick Lucerne CXL,"80,350 mi.","$4,999"
83,2010 Buick Lucerne CXL Special Edition,"57,067 mi.","$9,498"
84,2011 Buick Lucerne CXL,"89,072 mi.","$7,400"
85,2007 Buick Lucerne CX,"128,261 mi.","$5,251"
86,2008 Buick Lucerne CXL,"82,882 mi.","$8,690"
87,2008 Buick Lucerne CXL,"114,622 mi.","$4,690"
88,2009 Buick Lucerne CX,"116,635 mi.","$5,295"
89,2009 Buick Lucerne CXL,"110,671 mi.","$7,400"
90,2009 Buick Lucerne CX,"35,067 mi.","$9,500"
91,2009 Buick Lucerne CXL,"50,861 mi.","$7,489"
92,2006 Buick Lucerne CXS,"108,393 mi.","$5,542"
93,2009 Buick Lucerne CXL,"101,477 mi.","$7,280"
94,2009 Buick Lucerne CXL Special Edition,"60,130 mi.","$8,931"
