,Name,Mileage,Price
0,2007 Buick Rainier CXL,"203,108 mi.","$2,999"
1,2005 Buick Rainier CXL,"128,263 mi.","$5,800"
2,2004 Buick Rainier CXL Plus,"103,023 mi.","$6,998"
3,2005 Buick Rainier CXL,"106,505 mi.","$5,798"
4,2005 Buick Rainier CXL,"155,030 mi.","$5,975"
5,2005 Buick Rainier CXL,"176,000 mi.","$7,015"
6,2007 Buick Rainier CXL,"103,447 mi.","$6,500"
7,2005 Buick Rainier CXL,"89,177 mi.","$6,010"
8,2005 Buick Rainier CXL,"123,110 mi.","$5,487"
9,2004 Buick Rainier CXL,"164,609 mi.","$2,998"
10,2005 Buick Rainier CXL,"115,415 mi.","$5,529"
11,2006 Buick Rainier CXL,"130,545 mi.","$4,495"
12,2004 Buick Rainier CXL,"138,792 mi.","$4,995"
13,2007 Buick Rainier CXL,"134,322 mi.","$7,999"
14,2004 Buick Rainier CXL,"199,120 mi.","$4,000"
15,2006 Buick Rainier CXL,"109,520 mi.","$7,995"
16,2007 Buick Rainier CXL,"108,009 mi.","$6,990"
17,2007 Buick Rainier CXL,"120,449 mi.","$4,995"
18,2006 Buick Rainier CXL,"129,542 mi.","$5,990"
19,2005 Buick Rainier CXL,"117,765 mi.","$4,995"
20,2004 Buick Rainier CXL,"146,000 mi.","$5,835"
21,2005 Buick Rainier CXL,"127,000 mi.","$3,900"
22,2004 Buick Rainier CXL Plus,"201,103 mi.","$3,495"
23,2006 Buick Rainier CXL,"141,420 mi.","$4,995"
24,2004 Buick Rainier CXL,"174,734 mi.","$3,521"
25,2006 Buick Rainier CXL,"133,604 mi.","$3,500"
26,2007 Buick Rainier CXL,"136,585 mi.","$5,995"
27,2004 Buick Rainier CXL,"168,525 mi.","$4,499"
28,2006 Buick Rainier CXL,"182,719 mi.","$3,895"
29,2004 Buick Rainier CXL,"131,000 mi.","$3,800"
30,2005 Buick Rainier CXL,"128,121 mi.","$4,977"
31,2006 Buick Rainier CXL,"213,000 mi.","$5,025"
32,2004 Buick Rainier CXL,"105,480 mi.","$4,329"
33,2005 Buick Rainier CXL,"218,898 mi.","$5,990"
34,2005 Buick Rainier CXL,"166,709 mi.","$3,995"
35,2004 Buick Rainier CXL,"128,000 mi.","$8,500"
36,2007 Buick Rainier CXL,"123,000 mi.","$4,988"
37,2004 Buick Rainier CXL Plus,"183,334 mi.","$2,491"
38,2006 Buick Rainier CXL,"172,384 mi.","$8,995"
39,2006 Buick Rainier CXL,"145,140 mi.","$6,495"
40,2005 Buick Rainier CXL,"140,788 mi.","$6,999"
41,2005 Buick Rainier CXL,"142,208 mi.","$2,995"
42,2006 Buick Rainier CXL,"208,634 mi.","$5,350"
43,2006 Buick Rainier CXL,"126,487 mi.","$5,999"
44,2004 Buick Rainier CXL,"172,299 mi.","$4,895"
45,2004 Buick Rainier CXL,"106,200 mi.","$6,500"
46,2004 Buick Rainier CXL,"143,721 mi.","$5,999"
47,2004 Buick Rainier CXL,"108,392 mi.","$2,500"
48,2006 Buick Rainier CXL,"212,000 mi.","$3,000"
49,2005 Buick Rainier CXL,"200,125 mi.","$2,200"
50,2006 Buick Rainier CXL,"116,725 mi.",Not Priced
51,2006 Buick Rainier CXL,"150,126 mi.",Not Priced
52,2004 Buick Rainier CXL,"95,976 mi.","$5,999"
53,2007 Buick Rainier CXL,"55,492 mi.","$9,450"
54,2007 Buick Rainier CXL,"55,492 mi.","$9,450"
55,2005 Buick Rainier CXL,"189,518 mi.",Not Priced
56,2006 Buick Rainier CXL,"109,603 mi.","$6,450"
57,2004 Buick Rainier CXL Plus,"166,770 mi.","$3,900"
58,2004 Buick Rainier CXL,"119,754 mi.",Not Priced
59,2007 Buick Rainier CXL,"87,280 mi.",Not Priced
60,2004 Buick Rainier CXL,"113,148 mi.",Not Priced
61,2006 Buick Rainier CXL,0 mi.,"$3,910"
62,2006 Buick Rainier CXL,,"$1,800"
63,2004 Buick Rainier CXL,"188,586 mi.",$990
64,2006 Buick Rainier CXL,"131,974 mi.","$5,998"
65,2006 Buick Rainier CXL,"172,203 mi.","$6,975"
66,2005 Buick Rainier CXL,"82,122 mi.","$5,795"
67,2006 Buick Rainier CXL,"232,000 mi.",Not Priced
68,2005 Buick Rainier CXL,"178,223 mi.",Not Priced
