,Name,Mileage,Price
0,1990 Buick Reatta Base,"94,970 mi.","$2,700"
1,1990 Buick Reatta Base,"36,020 mi.","$11,749"
2,1990 Buick Reatta Base,"42,624 mi.","$9,900"
3,1991 Buick Reatta,"47,372 mi.","$16,990"
4,1990 Buick Reatta 2dr Convertible,"66,961 mi.","$12,900"
5,1990 Buick Reatta,"125,900 mi.","$3,000"
6,1991 Buick Reatta,"43,043 mi.","$13,990"
7,1990 Buick Reatta Base,"59,373 mi.","$16,931"
8,1988 Buick Reatta,"160,000 mi.",$600
9,1988 Buick Reatta,"99,900 mi.","$2,700"
10,1990 Buick Reatta,"27,450 mi.","$18,500"
11,1990 Buick Reatta,"92,000 mi.","$5,500"
12,1989 Buick Reatta,"108,000 mi.","$6,900"
13,1990 Buick Reatta,"108,808 mi.","$10,500"
14,1989 Buick Reatta,"108,000 mi.","$6,500"
15,1989 Buick Reatta 2dr Coupe,0 mi.,"$2,900"
16,1990 Buick Reatta Base,"75,870 mi.",Not Priced
17,1990 Buick Reatta 2dr Coupe,0 mi.,"$3,999"
18,1990 Buick Reatta Base,"15,783 mi.","$17,994"
19,1989 Buick Reatta 2dr Coupe,"56,851 mi.","$7,877"
