,Name,Mileage,Price
0,2018 Buick Regal Sportback Preferred,5 mi.,"$24,000"
1,2018 Buick Regal Sportback Preferred,43 mi.,"$26,000"
2,2018 Buick Regal Sportback Preferred,"4,999 mi.","$24,998"
3,2018 Buick Regal Sportback GS,"8,432 mi.","$37,495"
4,2018 Buick Regal Sportback Essence,971 mi.,"$28,990"
5,2018 Buick Regal Sportback Preferred,593 mi.,"$23,991"
6,2018 Buick Regal Sportback Essence,"12,160 mi.","$23,589"
7,2018 Buick Regal Sportback Essence,"1,786 mi.","$26,991"
8,2018 Buick Regal Sportback Preferred II,"18,563 mi.","$22,983"
9,2018 Buick Regal Sportback Essence,"17,105 mi.","$24,983"
10,2018 Buick Regal Sportback Essence,"24,953 mi.","$22,445"
11,2018 Buick Regal Sportback Essence,"3,958 mi.","$29,555"
12,2018 Buick Regal Sportback Preferred,737 mi.,"$16,980"
13,2018 Buick Regal Sportback Preferred II,"8,256 mi.","$24,000"
14,2018 Buick Regal Sportback Preferred II,"12,039 mi.","$23,999"
15,2018 Buick Regal Sportback Preferred,"10,673 mi.","$21,999"
16,2018 Buick Regal Sportback Preferred II,"22,487 mi.","$24,999"
17,2018 Buick Regal Sportback Essence,"13,723 mi.","$24,999"
18,2018 Buick Regal Sportback Preferred II,"1,289 mi.","$24,990"
19,2019 Buick Regal Sportback Avenir,623 mi.,"$28,540"
20,2018 Buick Regal Sportback Essence,"3,051 mi.","$26,932"
21,2018 Buick Regal Sportback Preferred,"3,077 mi.","$22,000"
22,2018 Buick Regal Sportback Essence,"8,296 mi.","$25,938"
23,2018 Buick Regal Sportback Preferred,"8,548 mi.","$21,968"
24,2018 Buick Regal Sportback GS,"9,067 mi.","$30,862"
25,2018 Buick Regal Sportback Preferred,"10,445 mi.","$20,862"
26,2018 Buick Regal Sportback Essence,"16,653 mi.","$24,669"
27,2018 Buick Regal Sportback Essence,"8,783 mi.","$23,799"
28,2018 Buick Regal Sportback Preferred,"14,964 mi.","$21,900"
29,2018 Buick Regal Sportback Preferred II,"9,926 mi.","$24,997"
30,2018 Buick Regal Sportback GS,136 mi.,"$34,500"
