,Name,Mileage,Price
0,2018 Buick Regal TourX Essence,"4,892 mi.","$29,990"
1,2018 Buick Regal TourX Essence,"5,139 mi.","$31,000"
2,2018 Buick Regal TourX Preferred,339 mi.,"$29,900"
3,2018 Buick Regal TourX Preferred,"4,217 mi.","$28,990"
4,2018 Buick Regal TourX Preferred,"7,750 mi.","$25,500"
5,2018 Buick Regal TourX Preferred,"8,648 mi.","$27,498"
6,2018 Buick Regal TourX Essence,"6,533 mi.","$29,140"
7,2018 Buick Regal TourX Essence,"8,478 mi.","$29,495"
8,2018 Buick Regal TourX Essence,"4,023 mi.","$32,888"
9,2018 Buick Regal TourX Essence,"3,504 mi.","$33,150"
10,2018 Buick Regal TourX Essence,"2,171 mi.","$36,436"
11,2018 Buick Regal TourX Essence,"8,912 mi.","$28,929"
12,2018 Buick Regal TourX Preferred,"4,554 mi.","$28,963"
13,2018 Buick Regal TourX Essence,113 mi.,"$30,700"
14,2018 Buick Regal TourX Essence,"1,664 mi.","$34,995"
15,2018 Buick Regal TourX Essence,488 mi.,"$36,890"
16,2018 Buick Regal TourX Essence,"2,158 mi.","$39,220"
17,2018 Buick Regal TourX Essence,"14,864 mi.","$29,550"
18,2018 Buick Regal TourX Essence,"4,873 mi.","$39,210"
19,2018 Buick Regal TourX Essence,"5,540 mi.","$30,569"
20,2018 Buick Regal TourX Preferred,994 mi.,"$28,321"
21,2018 Buick Regal TourX Essence,"9,845 mi.","$30,961"
22,2018 Buick Regal TourX Essence,"5,295 mi.","$31,995"
23,2018 Buick Regal TourX Preferred,"10,837 mi.","$27,998"
24,2018 Buick Regal TourX Essence,"1,795 mi.","$32,587"
25,2018 Buick Regal TourX Preferred,"10,686 mi.","$26,798"
26,2018 Buick Regal TourX Preferred,"18,423 mi.","$25,998"
27,2018 Buick Regal TourX Essence,"6,737 mi.","$38,078"
28,2018 Buick Regal TourX Essence,"1,002 mi.","$31,504"
29,2018 Buick Regal TourX Essence,"7,228 mi.","$30,727"
30,2018 Buick Regal TourX Essence,"8,399 mi.","$31,595"
31,2018 Buick Regal TourX Essence,"8,365 mi.","$29,500"
32,2018 Buick Regal TourX Essence,"7,558 mi.","$31,899"
33,2018 Buick Regal TourX Preferred,"11,978 mi.","$26,450"
34,2018 Buick Regal TourX Essence,"2,683 mi.","$31,900"
35,2018 Buick Regal TourX Essence,"5,908 mi.","$32,786"
36,2018 Buick Regal TourX Preferred,"2,408 mi.","$27,880"
37,2018 Buick Regal TourX Essence,"1,108 mi.","$32,988"
38,2018 Buick Regal TourX Preferred,"7,285 mi.","$26,998"
39,2018 Buick Regal TourX Essence,"6,469 mi.","$28,855"
40,2018 Buick Regal TourX Preferred,"8,571 mi.","$26,788"
41,2018 Buick Regal TourX Essence,"1,554 mi.","$33,995"
42,2018 Buick Regal TourX Essence,"2,600 mi.","$35,250"
43,2018 Buick Regal TourX Essence,"2,923 mi.","$29,997"
44,2018 Buick Regal TourX Preferred,"2,349 mi.","$26,995"
45,2018 Buick Regal TourX Essence,"13,108 mi.","$29,995"
46,2018 Buick Regal TourX Essence,"8,399 mi.","$27,772"
47,2018 Buick Regal TourX Essence,"12,461 mi.","$28,999"
48,2018 Buick Regal TourX Preferred,"6,165 mi.","$30,999"
49,2018 Buick Regal TourX Essence,"8,194 mi.","$28,000"
50,2018 Buick Regal TourX Preferred,"5,987 mi.","$29,900"
51,2018 Buick Regal TourX Essence,"2,197 mi.","$27,570"
52,2018 Buick Regal TourX Essence,657 mi.,"$27,902"
53,2018 Buick Regal TourX Essence,"2,092 mi.","$29,990"
54,2018 Buick Regal TourX Essence,"4,662 mi.","$29,997"
55,2018 Buick Regal TourX Preferred,"8,529 mi.","$27,900"
56,2018 Buick Regal TourX Preferred,"3,910 mi.","$27,995"
57,2018 Buick Regal TourX Preferred,"3,094 mi.","$26,490"
58,2018 Buick Regal TourX Essence,"7,274 mi.","$27,000"
59,2018 Buick Regal TourX Essence,"10,371 mi.","$26,400"
60,2018 Buick Regal TourX Essence,"12,356 mi.","$28,591"
61,2018 Buick Regal TourX Preferred,823 mi.,"$27,500"
62,2018 Buick Regal TourX Essence,"7,530 mi.","$28,498"
63,2018 Buick Regal TourX Essence,"9,860 mi.","$33,330"
64,2018 Buick Regal TourX Preferred,"1,965 mi.","$24,990"
65,2018 Buick Regal TourX Preferred,"1,553 mi.","$24,950"
66,2018 Buick Regal TourX Preferred,"9,162 mi.","$25,988"
