,Name,Mileage,Price
0,1994 Buick Roadmaster Estate,"155,652 mi.","$2,500"
1,1992 Buick Roadmaster Limited,"92,354 mi.","$5,995"
2,1991 Buick Roadmaster Estate,"73,098 mi.","$11,975"
3,1992 Buick Roadmaster Limited,"42,437 mi.","$13,990"
4,1992 Buick Roadmaster LIMITED,"122,200 mi.","$3,854"
5,1993 Buick Roadmaster Estate,"142,740 mi.","$1,395"
6,1994 Buick Roadmaster,"103,218 mi.","$5,299"
7,1992 Buick Roadmaster Ltd,"43,745 mi.","$5,995"
8,1992 Buick Roadmaster Estate,"49,721 mi.","$8,900"
9,1994 Buick Roadmaster Estate,"116,000 mi.","$2,700"
10,1994 Buick Roadmaster Estate,"130,000 mi.","$1,500"
11,1995 Buick Roadmaster Limited,"110,000 mi.","$3,999"
12,1991 Buick Roadmaster Estate,"157,643 mi.","$9,700"
13,1993 Buick Roadmaster,,"$2,995"
14,1993 Buick Roadmaster Estate,"145,549 mi.","$5,000"
