,Name,Mileage,Price
0,2006 Buick Terraza CXL,"165,785 mi.","$4,289"
1,2005 Buick Terraza CXL,"149,426 mi.","$4,995"
2,2007 Buick Terraza CXL,"165,149 mi.","$4,278"
3,2007 Buick Terraza CXL,"124,688 mi.","$4,999"
4,2006 Buick Terraza CXL,"90,949 mi.","$9,995"
5,2005 Buick Terraza CXL,"178,012 mi.","$2,999"
6,2006 Buick Terraza CXL,"95,500 mi.","$4,800"
7,2005 Buick Terraza CXL,"131,786 mi.","$3,752"
8,2007 Buick Terraza CXL,"90,570 mi.","$6,995"
9,2007 Buick Terraza CXL,"116,037 mi.","$5,496"
10,2005 Buick Terraza CXL,"158,371 mi.","$4,000"
11,2007 Buick Terraza CXL,"155,719 mi.","$2,999"
12,2005 Buick Terraza CXL,"132,268 mi.","$4,300"
13,2005 Buick Terraza CX,"144,349 mi.","$2,999"
14,2006 Buick Terraza CX,"86,000 mi.","$5,199"
15,2005 Buick Terraza CXL,"205,799 mi.","$3,595"
16,2006 Buick Terraza CX,"149,335 mi.","$4,995"
17,2007 Buick Terraza CXL,"111,240 mi.","$5,487"
18,2007 Buick Terraza CX,"167,296 mi.","$2,477"
19,2007 Buick Terraza CXL,"30,748 mi.","$15,881"
20,2005 Buick Terraza CXL,"100,248 mi.","$3,995"
21,2005 Buick Terraza CXL,"50,000 mi.","$15,888"
22,2006 Buick Terraza CXL,"132,992 mi.","$6,495"
23,2005 Buick Terraza CXL,"135,782 mi.","$4,000"
24,2006 Buick Terraza CX,"146,265 mi.","$3,495"
25,2005 Buick Terraza CXL,"95,364 mi.","$3,700"
26,2006 Buick Terraza CXL,"150,459 mi.","$4,998"
27,2006 Buick Terraza CX,"115,163 mi.","$6,500"
28,2005 Buick Terraza CXL,"163,608 mi.","$4,725"
29,2005 Buick Terraza CXL,"132,509 mi.","$3,999"
30,2005 Buick Terraza CXL,"144,012 mi.","$3,999"
31,2007 Buick Terraza CXL,"156,784 mi.","$4,995"
32,2006 Buick Terraza CXL,"152,880 mi.","$3,995"
33,2005 Buick Terraza CXL,"150,000 mi.","$4,495"
34,2006 Buick Terraza CXL,"167,483 mi.","$3,900"
35,2007 Buick Terraza CXL,"143,015 mi.","$7,900"
36,2006 Buick Terraza CXL,"130,077 mi.","$3,995"
37,2006 Buick Terraza CX,"163,338 mi.","$2,000"
38,2006 Buick Terraza CXL,"101,220 mi.","$4,000"
39,2005 Buick Terraza CXL,"213,832 mi.","$2,500"
40,2005 Buick Terraza CX,"155,328 mi.",Not Priced
41,2007 Buick Terraza CXL,1 mi.,"$8,495"
42,2007 Buick Terraza CXL,"212,115 mi.",Not Priced
43,2005 Buick Terraza CXL,"150,187 mi.",Not Priced
44,2005 Buick Terraza CX,"273,062 mi.",Not Priced
45,2005 Buick Terraza CXL,"198,684 mi.","$3,995"
46,2005 Buick Terraza CXL,"134,380 mi.","$3,800"
47,2005 Buick Terraza CX,"116,896 mi.","$3,800"
48,2006 Buick Terraza CX,"173,240 mi.","$2,990"
49,2006 Buick Terraza CXL,"190,161 mi.",Not Priced
50,2005 Buick Terraza CXL,"84,355 mi.",Not Priced
51,2007 Buick Terraza CXL,"119,692 mi.","$5,795"
