,Name,Mileage,Price
0,2007 Buick CX,"96,792 mi.","$6,995"
1,2009 Buick CX,"51,975 mi.","$10,500"
2,1970 Buick,"42,275 mi.","$10,000"
3,1972 Buick,"21,198 mi.","$20,900"
4,2008 Buick CXL,"42,540 mi.","$7,900"
5,2006 Buick CXS,"159,005 mi.","$3,995"
6,2006 Buick CXL,"95,679 mi.","$4,900"
7,1989 Buick,"1,530 mi.","$17,995"
8,1970 Buick,"23,777 mi.","$75,000"
9,1952 Buick,1 mi.,"$28,995"
10,1971 Buick,"31,184 mi.","$11,995"
11,1941 Buick,"55,563 mi.","$27,900"
12,2006 Buick CXS,"125,165 mi.","$4,995"
13,1927 Buick,"44,546 mi.","$12,934"
14,1972 Buick,"40,452 mi.","$23,500"
15,1972 Buick CLONE,"77,589 mi.","$11,995"
16,1953 Buick Roadmaster,0 mi.,"$29,900"
17,1987 Buick,1 mi.,$750
18,2008 Buick CX,"124,254 mi.","$4,900"
19,2005 Buick CXS,"140,000 mi.",Not Priced
20,1960 Buick,0 mi.,"$6,998"
21,1953 Buick,"1,189 mi.",Not Priced
