,Name,Mileage,Price
0,2016 Buick Verano Sport Touring Group,"19,356 mi.","$15,966"
1,2017 Buick Verano Base,"44,246 mi.","$12,000"
2,2016 Buick Verano Convenience Group,"49,276 mi.","$12,500"
3,2016 Buick Verano Leather Group,"23,549 mi.","$15,800"
4,2015 Buick Verano Base,"34,673 mi.","$13,500"
5,2015 Buick Verano Base,"47,117 mi.","$9,888"
6,2014 Buick Verano Base,"68,338 mi.","$9,988"
7,2016 Buick Verano Base,"56,530 mi.","$11,276"
8,2016 Buick Verano Convenience Group,"15,409 mi.","$14,509"
9,2016 Buick Verano Convenience Group,"33,189 mi.","$13,812"
10,2016 Buick Verano Base,"16,572 mi.","$12,999"
11,2016 Buick Verano Base,"57,116 mi.","$13,000"
12,2016 Buick Verano Sport Touring Group,"48,124 mi.","$13,300"
13,2013 Buick Verano Base,"47,411 mi.","$11,994"
14,2016 Buick Verano Sport Touring,"28,299 mi.","$14,499"
15,2016 Buick Verano Base,"16,572 mi.","$12,999"
16,2013 Buick Verano Base,"72,637 mi.","$9,995"
17,2016 Buick Verano Base,"49,700 mi.","$14,599"
18,2013 Buick Verano Convenience Group,"96,396 mi.","$8,988"
19,2015 Buick Verano Convenience Group,"56,339 mi.","$12,498"
20,2017 Buick Verano Sport Touring,"37,118 mi.","$12,900"
21,2016 Buick Verano Sport Touring Group,"39,065 mi.","$15,555"
22,2016 Buick Verano Convenience Group,"82,632 mi.","$9,995"
23,2016 Buick Verano Convenience Group,"42,539 mi.","$13,301"
24,2013 Buick Verano Base,"40,455 mi.","$10,994"
25,2013 Buick Verano Base,"54,337 mi.","$9,000"
26,2015 Buick Verano Leather Group,"32,039 mi.","$14,472"
27,2016 Buick Verano Base,"16,572 mi.","$12,999"
28,2014 Buick Verano Base,"33,380 mi.","$13,590"
29,2016 Buick Verano Sport Touring Group,"23,079 mi.","$15,755"
30,2016 Buick Verano Base,"16,572 mi.","$12,999"
31,2014 Buick Verano Convenience Group,"51,331 mi.","$12,901"
32,2016 Buick Verano Convenience Group,"40,933 mi.","$14,998"
33,2015 Buick Verano 4dr Sdn w/1SD,"42,006 mi.","$12,922"
34,2016 Buick Verano Leather Group,"46,381 mi.","$15,700"
35,2013 Buick Verano Convenience,"93,108 mi.","$9,000"
36,2016 Buick Verano Sport Touring Group,"29,624 mi.","$15,455"
37,2013 Buick Verano Base,"99,724 mi.","$9,807"
38,2014 Buick Verano Base,"45,425 mi.","$11,217"
39,2012 Buick Verano Leather,"61,972 mi.","$10,583"
40,2012 Buick Verano Convenience,"63,463 mi.","$10,900"
41,2016 Buick Verano Convenience Group,"29,045 mi.","$13,800"
42,2016 Buick Verano Convenience Group,"35,458 mi.","$13,900"
43,2013 Buick Verano Base,"80,303 mi.","$9,500"
44,2014 Buick Verano Base,"87,201 mi.","$10,290"
45,2013 Buick Verano Base,"92,285 mi.","$8,624"
46,2016 Buick Verano Convenience Group,"39,553 mi.","$13,821"
47,2016 Buick Verano Sport Touring Group,"17,748 mi.","$16,400"
48,2015 Buick Verano Base,"48,750 mi.","$11,300"
49,2016 Buick Verano,"28,415 mi.","$13,695"
50,2013 Buick Verano Base,"32,512 mi.","$12,388"
51,2013 Buick Verano Base,"27,945 mi.","$13,288"
52,2012 Buick Verano Convenience,"91,791 mi.","$7,613"
53,2014 Buick Verano Convenience,"16,918 mi.","$14,995"
54,2016 Buick Verano Convenience Group,"26,064 mi.","$14,690"
55,2013 Buick Verano Base,"57,157 mi.","$10,000"
56,2013 Buick Verano Leather,"44,836 mi.","$11,900"
57,2013 Buick Verano Base,"56,798 mi.","$10,289"
58,2015 Buick Verano Convenience Group,"43,639 mi.","$11,799"
59,2015 Buick Verano,"30,178 mi.","$12,099"
