,Name,Mileage,Price
0,2009 Cadillac Escalade Hybrid Base,"134,489 mi.","$13,500"
1,2011 Cadillac Escalade Hybrid Base,"124,403 mi.","$16,995"
2,2009 Cadillac Escalade Hybrid,"120,854 mi.","$13,990"
3,2012 Cadillac Escalade Hybrid Platinum Edition,"85,106 mi.","$27,927"
4,2012 Cadillac Escalade Hybrid Platinum Edition,"85,106 mi.","$27,927"
5,2010 Cadillac Escalade Hybrid Base,"112,694 mi.","$15,979"
6,2010 Cadillac Escalade Hybrid,"96,301 mi.","$16,994"
7,2011 Cadillac Escalade Hybrid Base,"127,607 mi.","$16,888"
8,2009 Cadillac Escalade Hybrid,"88,063 mi.","$18,700"
9,2011 Cadillac Escalade Hybrid Base,"73,425 mi.","$20,966"
10,2013 Cadillac Escalade Hybrid Base,"127,667 mi.","$21,000"
11,2009 Cadillac Escalade Hybrid Base,"124,588 mi.","$15,485"
12,2009 Cadillac Escalade Hybrid Base,"132,229 mi.","$14,995"
13,2012 Cadillac Escalade Hybrid Base,"61,547 mi.","$26,750"
14,2012 Cadillac Escalade Hybrid Base,"67,618 mi.","$26,990"
15,2009 Cadillac Escalade Hybrid Base,"113,375 mi.","$13,995"
16,2009 Cadillac Escalade Hybrid Base,"127,352 mi.","$14,991"
17,2009 Cadillac Escalade Hybrid Base,"99,175 mi.","$17,900"
18,2011 Cadillac Escalade Hybrid Base,"106,303 mi.","$19,998"
19,2012 Cadillac Escalade Hybrid Platinum Edition,"76,769 mi.","$30,988"
20,2009 Cadillac Escalade Hybrid Platinum,"161,198 mi.","$11,995"
21,2013 Cadillac Escalade Hybrid Platinum Edition,"53,850 mi.","$38,746"
22,2009 Cadillac Escalade Hybrid,"77,936 mi.","$19,995"
23,2010 Cadillac Escalade Hybrid Platinum,"107,661 mi.","$20,300"
24,2013 Cadillac Escalade Hybrid Platinum Edition,"89,284 mi.","$28,781"
25,2011 Cadillac Escalade Hybrid Base,"90,152 mi.","$17,488"
26,2013 Cadillac Escalade Hybrid 4WD,"117,977 mi.","$23,249"
27,2012 Cadillac Escalade Hybrid Base,"118,758 mi.","$19,995"
28,2010 Cadillac Escalade Hybrid Base,"104,116 mi.","$16,988"
29,2010 Cadillac Escalade Hybrid Base,"82,776 mi.","$19,999"
30,2013 Cadillac Escalade Hybrid Base,"83,395 mi.","$25,995"
31,2010 Cadillac Escalade Hybrid Base,"101,705 mi.","$19,995"
32,2013 Cadillac Escalade Hybrid Platinum Edition,"103,034 mi.","$26,999"
33,2009 Cadillac Escalade Hybrid Base,"105,019 mi.","$22,850"
34,2009 Cadillac Escalade Hybrid,"189,648 mi.","$12,337"
35,2010 Cadillac Escalade Hybrid Base,"104,116 mi.","$16,988"
36,2009 Cadillac Escalade Hybrid Base,"160,999 mi.","$14,988"
37,2011 Cadillac Escalade Hybrid Base,"104,580 mi.","$18,988"
38,2012 Cadillac Escalade Hybrid Platinum Edition,"95,890 mi.","$19,995"
39,2009 Cadillac Escalade Hybrid,"118,085 mi.","$14,900"
40,2011 Cadillac Escalade Hybrid Base,"59,934 mi.","$20,500"
41,2013 Cadillac Escalade Hybrid Platinum Edition,"92,802 mi.","$27,888"
42,2009 Cadillac Escalade Hybrid,"156,000 mi.","$8,600"
43,2010 Cadillac Escalade Hybrid,"78,000 mi.","$25,995"
44,2009 Cadillac Escalade Hybrid Base,0 mi.,Not Priced
45,2009 Cadillac Escalade Hybrid Base,"172,529 mi.","$9,995"
46,2013 Cadillac Escalade Hybrid Base,"71,719 mi.","$27,449"
47,2013 Cadillac Escalade Hybrid Base,"152,142 mi.","$17,998"
48,2010 Cadillac Escalade Hybrid Base,"111,672 mi.",Not Priced
