,Name,Mileage,Price
0,2008 Cadillac XLR 2dr Conv,"64,239 mi.","$23,000"
1,2007 Cadillac XLR 2dr Convertible,"115,600 mi.","$26,995"
2,2004 Cadillac XLR 2dr Convertible,"44,316 mi.","$22,882"
3,2006 Cadillac XLR 2dr Convertible,"8,869 mi.","$29,000"
4,2007 Cadillac XLR,"40,769 mi.","$29,900"
5,2009 Cadillac XLR Base,"36,605 mi.","$39,777"
6,2007 Cadillac XLR,"40,873 mi.","$29,900"
7,2007 Cadillac XLR,"8,597 mi.","$34,000"
8,2007 Cadillac XLR Passion Red Limited Edition,"57,259 mi.","$24,790"
9,2006 Cadillac XLR V,"47,422 mi.","$28,995"
10,2006 Cadillac XLR 2dr Convertible,"40,895 mi.","$32,749"
11,2006 Cadillac XLR 2dr Convertible,"45,775 mi.","$34,977"
12,2004 Cadillac XLR 2dr Convertible,"66,779 mi.","$18,900"
13,2007 Cadillac XLR,"44,754 mi.","$24,495"
14,2007 Cadillac XLR 2dr Convertible,"30,500 mi.","$26,900"
15,2006 Cadillac XLR 2dr Convertible,"75,458 mi.","$17,500"
16,2007 Cadillac XLR 2dr Convertible,"30,649 mi.","$29,950"
17,2005 Cadillac XLR Base,"52,635 mi.","$21,995"
18,2007 Cadillac XLR 2dr Convertible,"58,881 mi.","$24,900"
19,2004 Cadillac XLR Base,"67,387 mi.","$16,595"
20,2004 Cadillac XLR Base,"51,055 mi.","$16,903"
21,2004 Cadillac XLR Base,"66,745 mi.","$15,899"
22,2004 Cadillac XLR 2dr Convertible,"20,828 mi.","$27,800"
23,2007 Cadillac XLR 2dr Convertible,"72,854 mi.","$19,998"
24,2008 Cadillac XLR 2dr Conv,"49,123 mi.","$26,950"
25,2006 Cadillac XLR 2dr Convertible,"36,254 mi.","$26,990"
26,2006 Cadillac XLR Base 2dr Convertible,"28,881 mi.","$44,500"
27,2004 Cadillac XLR 2dr Convertible,"84,193 mi.","$14,490"
28,2006 Cadillac XLR,"29,835 mi.","$24,800"
29,2007 Cadillac XLR,"48,101 mi.","$25,995"
30,2004 Cadillac XLR Base,"63,576 mi.","$20,977"
31,2007 Cadillac XLR,"25,112 mi.","$31,900"
32,2006 Cadillac XLR 2dr Convertible,"123,002 mi.","$13,995"
33,2005 Cadillac XLR Base,"43,771 mi.","$21,988"
34,2008 Cadillac XLR,"66,482 mi.","$19,950"
35,2005 Cadillac XLR Base,"88,746 mi.","$15,995"
36,2004 Cadillac XLR 2dr Convertible,"3,300 mi.","$45,995"
37,2004 Cadillac XLR Base,"66,884 mi.","$18,988"
38,2005 Cadillac XLR Base,"117,056 mi.","$11,990"
39,2005 Cadillac XLR,"55,013 mi.","$22,990"
40,2004 Cadillac XLR 2dr Convertible,"76,687 mi.","$16,995"
41,2005 Cadillac XLR 2dr Convertible,"111,071 mi.","$17,995"
42,2007 Cadillac XLR 2dr Convertible,"81,387 mi.","$18,995"
43,2004 Cadillac XLR,"37,480 mi.","$25,980"
44,2008 Cadillac XLR,"76,490 mi.","$17,595"
45,2006 Cadillac XLR L,"44,325 mi.","$21,871"
46,2006 Cadillac XLR V,"53,899 mi.","$34,500"
47,2005 Cadillac XLR Base,"55,220 mi.","$19,995"
48,2004 Cadillac XLR Base,"56,467 mi.","$24,740"
49,2005 Cadillac XLR 2dr Convertible,"57,000 mi.","$18,990"
50,2005 Cadillac XLR 2dr Convertible,"83,118 mi.","$9,999"
51,2005 Cadillac XLR 2dr Convertible,"107,623 mi.","$11,995"
52,2004 Cadillac XLR 2dr Convertible,"63,447 mi.","$16,941"
53,2008 Cadillac XLR,"81,765 mi.","$20,999"
