,Name,Mileage,Price
0,2017 Cadillac XT5 Base,"16,714 mi.","$30,000"
1,2018 Cadillac XT5 Base,"3,683 mi.","$36,500"
2,2017 Cadillac XT5 Luxury,"30,138 mi.","$26,998"
3,2017 Cadillac XT5 Premium Luxury,"14,520 mi.","$35,949"
4,2017 Cadillac XT5 Luxury AWD,"32,270 mi.","$29,495"
5,2017 Cadillac XT5 Luxury,"37,112 mi.","$29,700"
6,2017 Cadillac XT5 Luxury,"51,116 mi.","$26,975"
7,2018 Cadillac XT5 Base,"16,228 mi.","$32,992"
8,2017 Cadillac XT5 Luxury,"32,940 mi.","$27,924"
9,2017 Cadillac XT5 Luxury,"11,368 mi.","$34,998"
10,2017 Cadillac XT5 Base,"7,501 mi.","$26,295"
11,2017 Cadillac XT5 Luxury,"12,885 mi.","$23,599"
12,2017 Cadillac XT5 Premium Luxury,"29,883 mi.","$34,987"
13,2018 Cadillac XT5 Premium Luxury,"29,495 mi.","$34,500"
14,2017 Cadillac XT5 Platinum,"10,370 mi.","$41,298"
15,2017 Cadillac XT5 Platinum,"11,241 mi.","$44,390"
16,2017 Cadillac XT5 Luxury,"11,040 mi.","$33,800"
17,2018 Cadillac XT5 Luxury,"23,472 mi.","$39,298"
18,2018 Cadillac XT5 Premium Luxury,"21,550 mi.","$32,994"
19,2017 Cadillac XT5 Luxury,"29,732 mi.","$29,996"
20,2017 Cadillac XT5 Luxury FWD,"30,111 mi.","$27,999"
21,2017 Cadillac XT5 Base,"11,020 mi.","$31,988"
22,2017 Cadillac XT5 Base,"27,174 mi.","$29,988"
23,2017 Cadillac XT5 Luxury,"37,957 mi.","$33,787"
24,2017 Cadillac XT5 Premium Luxury,"71,202 mi.","$27,497"
25,2017 Cadillac XT5 Luxury,"26,593 mi.","$33,393"
26,2017 Cadillac XT5 Platinum,"27,083 mi.","$39,000"
27,2018 Cadillac XT5 Platinum,"7,049 mi.","$49,000"
28,2017 Cadillac XT5 Premium Luxury,"25,568 mi.","$35,975"
29,2017 Cadillac XT5 Luxury,"47,708 mi.","$26,500"
30,2018 Cadillac XT5 Premium Luxury,"21,471 mi.","$38,852"
31,2018 Cadillac XT5 Premium Luxury,11 mi.,"$38,581"
32,2017 Cadillac XT5 Platinum,"12,539 mi.","$44,500"
33,2017 Cadillac XT5 Luxury,"28,082 mi.","$31,860"
34,2017 Cadillac XT5 Premium Luxury,"5,183 mi.","$40,890"
35,2017 Cadillac XT5 Luxury,"22,662 mi.","$28,982"
36,2018 Cadillac XT5 Premium Luxury,"43,338 mi.","$31,500"
37,2018 Cadillac XT5 Base,"6,011 mi.","$34,500"
38,2017 Cadillac XT5 Premium Luxury,"48,444 mi.","$30,989"
39,2018 Cadillac XT5 Base,"8,516 mi.","$30,331"
40,2017 Cadillac XT5 Premium Luxury,"15,476 mi.","$36,842"
41,2018 Cadillac XT5 Premium Luxury,"23,545 mi.","$39,000"
42,2018 Cadillac XT5 Premium Luxury,"35,208 mi.","$35,995"
43,2017 Cadillac XT5 Premium Luxury,"28,974 mi.","$33,600"
44,2017 Cadillac XT5 Luxury,"15,521 mi.","$33,900"
45,2017 Cadillac XT5 Base,"36,578 mi.","$27,700"
46,2018 Cadillac XT5 Luxury,"27,760 mi.","$31,695"
47,2018 Cadillac XT5 Luxury,"30,779 mi.","$32,895"
48,2017 Cadillac XT5 FWD,"27,305 mi.","$27,998"
49,2017 Cadillac XT5 Luxury,"18,125 mi.","$30,900"
50,2017 Cadillac XT5 Luxury,"16,793 mi.","$34,577"
51,2018 Cadillac XT5 Base,"11,376 mi.","$31,786"
52,2017 Cadillac XT5 Platinum AWD,"45,984 mi.","$38,259"
53,2017 Cadillac XT5 Luxury,"19,191 mi.","$32,533"
54,2017 Cadillac XT5 Platinum,"29,902 mi.","$39,495"
55,2018 Cadillac XT5 Premium Luxury,"25,390 mi.","$37,998"
56,2017 Cadillac XT5 Luxury,"38,146 mi.","$31,995"
57,2017 Cadillac XT5 Luxury,"32,963 mi.","$33,408"
