,Name,Mileage,Price
0,2017 Cadillac XTS Luxury,"34,194 mi.","$21,996"
1,2018 Cadillac XTS Luxury,"32,776 mi.","$26,000"
2,2018 Cadillac XTS Luxury,"9,728 mi.","$36,943"
3,2013 Cadillac XTS Premium,"47,900 mi.","$15,900"
4,2013 Cadillac XTS Premium,"71,235 mi.","$14,999"
5,2014 Cadillac XTS Vsport Premium,"78,718 mi.","$21,551"
6,2017 Cadillac XTS Luxury,"37,478 mi.","$21,642"
7,2017 Cadillac XTS Luxury,"39,378 mi.","$19,620"
8,2014 Cadillac XTS Platinum,"71,064 mi.","$19,998"
9,2018 Cadillac XTS Luxury,"4,472 mi.","$25,250"
10,2013 Cadillac XTS Platinum,"43,639 mi.","$15,795"
11,2017 Cadillac XTS Premium Luxury,"19,508 mi.","$34,995"
12,2018 Cadillac XTS Luxury,"14,956 mi.","$31,997"
13,2018 Cadillac XTS Luxury,"14,956 mi.","$31,997"
14,2018 Cadillac XTS Luxury,"9,008 mi.","$31,994"
15,2014 Cadillac XTS Base,"78,863 mi.","$15,888"
16,2017 Cadillac XTS Luxury,"37,701 mi.","$20,999"
17,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
18,2013 Cadillac XTS Platinum,"46,977 mi.","$20,000"
19,2015 Cadillac XTS Luxury,"61,363 mi.","$21,455"
20,2014 Cadillac XTS Luxury,"31,608 mi.","$20,349"
21,2014 Cadillac XTS Luxury,"56,245 mi.","$19,669"
22,2017 Cadillac XTS Luxury,"37,701 mi.","$20,999"
23,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
24,2015 Cadillac XTS Luxury,"37,388 mi.","$20,849"
25,2018 Cadillac XTS Luxury,"26,982 mi.","$27,500"
26,2014 Cadillac XTS Luxury,"30,532 mi.","$21,866"
27,2018 Cadillac XTS Luxury,"11,138 mi.","$33,900"
28,2013 Cadillac XTS Luxury,"86,192 mi.","$14,495"
29,2018 Cadillac XTS Luxury,"22,619 mi.","$35,490"
30,2014 Cadillac XTS Vsport Platinum,"21,279 mi.","$27,890"
31,2017 Cadillac XTS Luxury,"48,777 mi.","$22,114"
32,2018 Cadillac XTS Luxury,"29,150 mi.","$27,777"
33,2018 Cadillac XTS Luxury,"25,662 mi.","$29,988"
34,2014 Cadillac XTS Premium,"68,687 mi.","$19,277"
35,2013 Cadillac XTS Base,"40,574 mi.","$16,363"
36,2017 Cadillac XTS Luxury,"44,713 mi.","$20,995"
37,2013 Cadillac XTS Luxury,"68,253 mi.","$16,987"
38,2015 Cadillac XTS Luxury,"46,427 mi.","$19,100"
39,2015 Cadillac XTS Vsport Platinum,"16,821 mi.","$34,690"
40,2015 Cadillac XTS Luxury,"55,794 mi.","$20,000"
41,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
42,2015 Cadillac XTS Luxury,"53,630 mi.","$22,500"
43,2014 Cadillac XTS Platinum,"42,234 mi.","$23,500"
44,2016 Cadillac XTS Luxury Collection,"34,869 mi.","$25,988"
45,2018 Cadillac XTS Luxury,"23,059 mi.","$27,998"
46,2016 Cadillac XTS Luxury Collection,"27,376 mi.","$23,774"
47,2013 Cadillac XTS Premium,"70,487 mi.","$16,745"
48,2016 Cadillac XTS Luxury Collection,"48,972 mi.","$23,500"
49,2017 Cadillac XTS Luxury,"47,720 mi.","$22,500"
50,2013 Cadillac XTS Luxury,"77,905 mi.","$15,948"
51,2017 Cadillac XTS Luxury,"45,328 mi.","$21,570"
52,2017 Cadillac XTS Luxury,"46,676 mi.","$22,500"
53,2013 Cadillac XTS Luxury,"47,806 mi.","$17,980"
54,2016 Cadillac XTS Luxury Collection,"58,397 mi.","$24,995"
55,2013 Cadillac XTS Luxury,"78,993 mi.","$17,995"
56,2016 Cadillac XTS Luxury,"26,914 mi.","$26,159"
57,2013 Cadillac XTS Luxury,"39,725 mi.","$18,995"
58,2014 Cadillac XTS Luxury,"32,389 mi.","$20,988"
59,2013 Cadillac XTS Premium,"49,781 mi.","$17,690"
60,2013 Cadillac XTS,"30,097 mi.","$15,999"
61,2014 Cadillac XTS Luxury,"64,401 mi.","$19,541"
62,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
63,2017 Cadillac XTS Luxury,"39,995 mi.","$19,999"
64,2017 Cadillac XTS Luxury,"30,671 mi.","$20,899"
65,2015 Cadillac XTS Luxury,"23,764 mi.","$22,399"
66,2016 Cadillac XTS Platinum,"6,159 mi.","$38,988"
67,2014 Cadillac XTS Platinum,"52,025 mi.","$21,995"
68,2018 Cadillac XTS Luxury,"27,920 mi.","$26,751"
69,2013 Cadillac XTS Luxury,"55,626 mi.","$15,800"
70,2017 Cadillac XTS Luxury,"33,282 mi.","$20,999"
71,2017 Cadillac XTS Luxury,"38,356 mi.","$21,799"
72,2015 Cadillac XTS Luxury,"46,109 mi.","$19,900"
73,2013 Cadillac XTS Luxury,"51,217 mi.","$14,980"
74,2014 Cadillac XTS Vsport Premium,"47,676 mi.","$20,947"
75,2013 Cadillac XTS Luxury,"88,810 mi.","$13,995"
76,2014 Cadillac XTS Luxury,"40,395 mi.","$20,964"
77,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
78,2018 Cadillac XTS Luxury,"18,496 mi.","$24,999"
79,2016 Cadillac XTS Luxury Collection,"61,565 mi.","$22,488"
80,2015 Cadillac XTS Luxury,"66,446 mi.","$16,997"
81,2013 Cadillac XTS Premium,"53,166 mi.","$17,499"
82,2014 Cadillac XTS Luxury,"33,321 mi.","$20,900"
83,2016 Cadillac XTS Vsport Platinum,"27,627 mi.","$36,499"
84,2016 Cadillac XTS Luxury Collection,"31,376 mi.","$27,599"
85,2014 Cadillac XTS Platinum,"49,505 mi.","$22,987"
86,2016 Cadillac XTS Luxury Collection,"23,012 mi.","$26,899"
87,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
88,2017 Cadillac XTS Luxury,"45,148 mi.","$21,486"
89,2015 Cadillac XTS Luxury,"31,080 mi.","$20,399"
90,2016 Cadillac XTS Luxury Collection,"8,053 mi.","$28,483"
91,2016 Cadillac XTS Luxury Collection,"17,356 mi.","$26,900"
92,2016 Cadillac XTS Luxury Collection,"19,471 mi.","$28,900"
93,2017 Cadillac XTS Luxury,"55,144 mi.","$19,777"
94,2013 Cadillac XTS Platinum,"77,584 mi.","$18,498"
95,2015 Cadillac XTS Luxury,"37,412 mi.","$23,400"
96,2018 Cadillac XTS Luxury,"12,102 mi.","$34,991"
97,2018 Cadillac XTS Luxury,"14,630 mi.","$31,408"
98,2017 Cadillac XTS V-Sport Platinum Twin Turbo,"16,811 mi.","$43,923"
99,2014 Cadillac XTS Vsport Premium,"52,678 mi.","$22,272"
100,2016 Cadillac XTS Luxury Collection,"28,000 mi.","$29,500"
101,2017 Cadillac XTS Luxury,"38,345 mi.","$23,192"
102,2016 Cadillac XTS Luxury Collection,"37,802 mi.","$23,961"
103,2013 Cadillac XTS Premium,"69,959 mi.","$21,339"
104,2013 Cadillac XTS Premium,"24,323 mi.","$23,998"
105,2015 Cadillac XTS Luxury,"22,837 mi.","$21,995"
106,2014 Cadillac XTS Vsport Platinum,"47,427 mi.","$24,846"
107,2016 Cadillac XTS Luxury Collection,"44,429 mi.","$22,700"
108,2015 Cadillac XTS Platinum,"33,475 mi.","$23,699"
109,2016 Cadillac XTS Luxury Collection,"25,864 mi.","$23,900"
110,2014 Cadillac XTS Luxury,"38,026 mi.","$21,400"
111,2015 Cadillac XTS Platinum,"33,475 mi.","$23,699"
112,2016 Cadillac XTS Standard,"18,347 mi.","$21,900"
113,2017 Cadillac XTS Luxury,"19,426 mi.","$29,985"
