,Name,Mileage,Price
0,1957 Chevrolet 210,"94,229 mi.","$15,900"
1,1957 Chevrolet 210 Base,"50,000 mi.","$49,800"
2,1955 Chevrolet 210,"62,595 mi.","$45,900"
3,1956 Chevrolet 210,965 mi.,"$39,900"
4,1955 Chevrolet 210,"1,048 mi.","$84,999"
5,1955 Chevrolet 210,"1,409 mi.","$400,000"
6,1957 Chevrolet 210,"111,111 mi.","$29,980"
7,1957 Chevrolet 210,"63,465 mi.","$34,995"
8,1957 Chevrolet 210 Base,1 mi.,"$29,995"
9,1956 Chevrolet 210,"11,000 mi.","$39,500"
10,1956 Chevrolet 210,"11,000 mi.","$39,500"
11,1957 Chevrolet 210,,"$37,900"
12,1957 Chevrolet 210,511 mi.,"$49,990"
13,1955 Chevrolet 210 Bel Air,80 mi.,"$32,997"
