,Name,Mileage,Price
0,2011 Chevrolet Avalanche 1500 LS,"81,286 mi.","$16,995"
1,2007 Chevrolet Avalanche 1500 LTZ,"113,075 mi.","$13,988"
2,2005 Chevrolet Avalanche 1500 LT,"153,522 mi.","$8,995"
3,2013 Chevrolet Avalanche LT,"68,358 mi.","$26,990"
4,2011 Chevrolet Avalanche 1500 LTZ,"55,799 mi.","$25,500"
5,2010 Chevrolet Avalanche 1500 LTZ,"82,538 mi.","$22,998"
6,2007 Chevrolet Avalanche 1500 LS,"181,007 mi.","$8,995"
7,2013 Chevrolet Avalanche LT,"106,458 mi.","$20,995"
8,2009 Chevrolet Avalanche 1500 LT,"72,496 mi.","$12,987"
9,2013 Chevrolet Avalanche LT,"50,412 mi.","$23,692"
10,2010 Chevrolet Avalanche 1500 LTZ,"92,243 mi.","$20,495"
11,2008 Chevrolet Avalanche LT,"70,358 mi.","$15,999"
12,2009 Chevrolet Avalanche LTZ,"67,461 mi.","$20,300"
13,2013 Chevrolet Avalanche LTZ,"77,295 mi.","$26,900"
14,2013 Chevrolet Avalanche LT,"101,458 mi.","$21,321"
15,2008 Chevrolet Avalanche LTZ,"138,516 mi.","$11,800"
16,2011 Chevrolet Avalanche 1500 LT,"139,487 mi.","$14,995"
17,2007 Chevrolet Avalanche 1500 LS,"168,368 mi.","$8,222"
18,2013 Chevrolet Avalanche LT,"63,576 mi.","$25,485"
19,2013 Chevrolet Avalanche LTZ,"94,352 mi.","$23,500"
20,2009 Chevrolet Avalanche 1500 LTZ,"129,682 mi.","$14,500"
21,2013 Chevrolet Avalanche LTZ,"98,000 mi.","$23,495"
22,2012 Chevrolet Avalanche 1500 LT,"56,987 mi.","$24,900"
23,2012 Chevrolet Avalanche 1500 LTZ,"53,502 mi.","$28,585"
24,2012 Chevrolet Avalanche 1500 LTZ,"73,291 mi.","$29,900"
25,2011 Chevrolet Avalanche 1500 LTZ,"163,879 mi.","$15,238"
26,2012 Chevrolet Avalanche 1500 LT,"66,065 mi.","$21,990"
27,2013 Chevrolet Avalanche LTZ,"91,185 mi.","$23,500"
28,2013 Chevrolet Avalanche LTZ,"138,675 mi.","$18,500"
29,2013 Chevrolet Avalanche LS,"59,997 mi.","$21,674"
30,2013 Chevrolet Avalanche LT,"147,692 mi.","$16,255"
31,2011 Chevrolet Avalanche 1500 LTZ,"138,658 mi.","$15,925"
32,2007 Chevrolet Avalanche LT,"151,580 mi.","$11,799"
33,2007 Chevrolet Avalanche LT,"178,300 mi.","$12,399"
34,2007 Chevrolet Avalanche LTZ,"215,467 mi.","$6,999"
35,2010 Chevrolet Avalanche 1500 LS,"184,503 mi.","$8,500"
36,2011 Chevrolet Avalanche 1500 LTZ,"80,221 mi.","$23,392"
37,2008 Chevrolet Avalanche LT,"132,552 mi.","$13,792"
38,2005 Chevrolet Avalanche 1500 Z71,"118,879 mi.","$8,900"
39,2013 Chevrolet Avalanche LTZ,"106,995 mi.","$23,970"
40,2011 Chevrolet Avalanche 1500 LT,"98,471 mi.","$17,752"
41,2012 Chevrolet Avalanche 1500 LTZ,"61,736 mi.","$27,499"
42,2005 Chevrolet Avalanche 1500 Z71,"136,304 mi.","$9,500"
43,2010 Chevrolet Avalanche 1500 LTZ,"96,952 mi.","$18,499"
44,2009 Chevrolet Avalanche 1500 LT,"97,012 mi.","$15,307"
45,2005 Chevrolet Avalanche LS,"164,209 mi.","$7,600"
46,2013 Chevrolet Avalanche LT,"61,913 mi.","$26,786"
47,2011 Chevrolet Avalanche 1500 LT,"47,485 mi.","$24,990"
48,2011 Chevrolet Avalanche 1500 LT,"53,628 mi.","$23,452"
49,2012 Chevrolet Avalanche 1500 LTZ,"96,053 mi.","$22,789"
50,2011 Chevrolet Avalanche 1500 LT,"38,714 mi.","$24,995"
51,2013 Chevrolet Avalanche LT,"69,425 mi.","$26,977"
52,2012 Chevrolet Avalanche 1500 LTZ,"82,227 mi.","$22,889"
53,2013 Chevrolet Avalanche LTZ,"90,417 mi.","$26,499"
54,2012 Chevrolet Avalanche 1500 LT,"81,705 mi.","$20,355"
55,2011 Chevrolet Avalanche 1500 LTZ,"80,712 mi.","$19,980"
56,2013 Chevrolet Avalanche LS,"68,911 mi.","$25,980"
57,2010 Chevrolet Avalanche 1500 LT,"122,995 mi.","$17,950"
58,2008 Chevrolet Avalanche 1500 LS,"123,380 mi.","$13,500"
59,2007 Chevrolet Avalanche 1500 LS,"155,708 mi.","$9,995"
60,2008 Chevrolet Avalanche LTZ,"66,323 mi.","$19,995"
61,2007 Chevrolet Avalanche LT,"130,105 mi.","$9,500"
62,2011 Chevrolet Avalanche 1500 LT,"81,361 mi.","$22,500"
63,2013 Chevrolet Avalanche LS,"84,418 mi.","$20,799"
64,2011 Chevrolet Avalanche 1500 LTZ,"176,052 mi.","$15,561"
65,2008 Chevrolet Avalanche 1500 LTZ,"173,790 mi.","$10,995"
66,2008 Chevrolet Avalanche LTZ,"127,341 mi.","$13,980"
67,2010 Chevrolet Avalanche 1500 LTZ,"70,316 mi.","$20,900"
68,2011 Chevrolet Avalanche 1500 LT,"120,971 mi.","$19,450"
69,2011 Chevrolet Avalanche 1500 LT,"70,248 mi.","$21,670"
70,2007 Chevrolet Avalanche LT,"134,356 mi.","$11,852"
71,2012 Chevrolet Avalanche 1500 LT,"54,589 mi.","$21,784"
72,2012 Chevrolet Avalanche 1500 LTZ,"156,935 mi.","$13,500"
73,2012 Chevrolet Avalanche 1500 LTZ,"108,925 mi.","$19,350"
74,2004 Chevrolet Avalanche 1500,"183,773 mi.","$5,995"
75,2013 Chevrolet Avalanche LTZ,"165,287 mi.","$13,995"
76,2013 Chevrolet Avalanche LTZ,"50,126 mi.","$28,993"
77,2012 Chevrolet Avalanche 1500 LT,"98,497 mi.","$20,995"
78,2011 Chevrolet Avalanche 1500 LS,"82,975 mi.","$16,990"
79,2011 Chevrolet Avalanche 1500 LS,"98,124 mi.","$15,925"
80,2008 Chevrolet Avalanche LTZ,"83,539 mi.","$15,995"
81,2008 Chevrolet Avalanche 1500 LS,"158,319 mi.","$9,789"
82,2011 Chevrolet Avalanche 1500 LT,"73,998 mi.","$20,000"
83,2011 Chevrolet Avalanche 1500 LT,"37,542 mi.","$24,500"
84,2011 Chevrolet Avalanche 1500 LS,"106,742 mi.","$13,900"
85,2010 Chevrolet Avalanche 1500 LT,"55,551 mi.","$20,000"
86,2010 Chevrolet Avalanche 1500 LTZ,"110,674 mi.","$16,990"
87,2007 Chevrolet Avalanche 1500 LT,"160,266 mi.","$10,829"
88,2008 Chevrolet Avalanche 1500 LTZ,"87,763 mi.","$15,990"
89,2011 Chevrolet Avalanche 1500 LTZ,"121,988 mi.","$15,500"
90,2004 Chevrolet Avalanche 1500,"119,199 mi.","$8,999"
