,Name,Mileage,Price
0,2011 Chevrolet Aveo 5 LT,"113,625 mi.","$6,859"
1,2011 Chevrolet Aveo 5 LT,"83,536 mi.","$4,888"
2,2011 Chevrolet Aveo LT,"90,099 mi.","$5,597"
3,2009 Chevrolet Aveo 5 LS,"72,242 mi.","$3,795"
4,2011 Chevrolet Aveo 5 LT,"101,085 mi.","$3,906"
5,2011 Chevrolet Aveo LT,"86,638 mi.","$6,998"
6,2011 Chevrolet Aveo LT,"84,422 mi.","$7,998"
7,2009 Chevrolet Aveo LS,"67,001 mi.","$5,282"
8,2011 Chevrolet Aveo 5 LS,"86,584 mi.","$5,359"
9,2004 Chevrolet Aveo LS,"51,566 mi.","$4,995"
10,2011 Chevrolet Aveo LS,"83,612 mi.","$4,991"
11,2011 Chevrolet Aveo 5 LT,"79,459 mi.","$5,485"
12,2008 Chevrolet Aveo 5 LS,"70,956 mi.","$4,995"
13,2008 Chevrolet Aveo 5 LS,"53,803 mi.","$4,499"
14,2010 Chevrolet Aveo LS,"104,982 mi.","$3,999"
15,2009 Chevrolet Aveo LT,"186,416 mi.","$6,540"
16,2009 Chevrolet Aveo LS,"113,884 mi.","$4,838"
17,2008 Chevrolet Aveo LT,"80,544 mi.","$4,500"
18,2011 Chevrolet Aveo 5 LT,"81,737 mi.","$5,628"
19,2011 Chevrolet Aveo 5 LT,"79,250 mi.","$5,440"
20,2009 Chevrolet Aveo 5 LS,"113,304 mi.","$3,499"
21,2011 Chevrolet Aveo 5 LT,"53,474 mi.","$6,885"
22,2007 Chevrolet Aveo LT,"119,096 mi.","$3,499"
23,2010 Chevrolet Aveo LT,"88,769 mi.","$4,489"
24,2010 Chevrolet Aveo 5 LT,"60,204 mi.","$5,500"
25,2010 Chevrolet Aveo 5 LT,"60,204 mi.","$5,500"
26,2004 Chevrolet Aveo LS,"163,943 mi.","$1,164"
27,2009 Chevrolet Aveo LT,"120,690 mi.","$3,591"
28,2011 Chevrolet Aveo LT,"77,936 mi.","$4,495"
29,2010 Chevrolet Aveo 5 LT,"61,325 mi.","$4,495"
30,2004 Chevrolet Aveo 5 LS,"157,781 mi.","$1,450"
31,2007 Chevrolet Aveo LS,"74,078 mi.","$4,266"
32,2011 Chevrolet Aveo LS,"86,819 mi.","$4,995"
33,2011 Chevrolet Aveo LT,"176,000 mi.","$3,995"
34,2011 Chevrolet Aveo LT,"76,240 mi.","$8,998"
35,2011 Chevrolet Aveo LT,"69,531 mi.","$5,997"
36,2008 Chevrolet Aveo LT,"93,888 mi.","$3,999"
37,2005 Chevrolet Aveo LT,"78,462 mi.","$5,471"
38,2008 Chevrolet Aveo LS,"105,420 mi.","$3,999"
39,2009 Chevrolet Aveo LT,"59,419 mi.","$5,499"
40,2007 Chevrolet Aveo LS,"143,531 mi.","$3,299"
41,2009 Chevrolet Aveo LT,"107,697 mi.","$3,490"
42,2007 Chevrolet Aveo LT,"111,199 mi.","$3,390"
43,2009 Chevrolet Aveo 5 LT,"95,021 mi.","$3,480"
44,2011 Chevrolet Aveo 5 LT,"53,180 mi.","$8,998"
45,2008 Chevrolet Aveo LS,"92,519 mi.","$4,495"
46,2010 Chevrolet Aveo LT,"88,598 mi.","$4,995"
47,2010 Chevrolet Aveo LT,"86,239 mi.","$4,795"
48,2011 Chevrolet Aveo 5 LT,"75,812 mi.","$5,999"
49,2011 Chevrolet Aveo LT,"69,273 mi.","$4,499"
50,2009 Chevrolet Aveo LT,"110,765 mi.","$4,399"
51,2011 Chevrolet Aveo LT,"69,935 mi.","$5,690"
52,2005 Chevrolet Aveo LS,"40,268 mi.","$4,990"
53,2007 Chevrolet Aveo 5 LS,"128,348 mi.","$3,495"
54,2010 Chevrolet Aveo LT,"125,983 mi.","$8,995"
55,2009 Chevrolet Aveo LT,"85,305 mi.","$3,994"
56,2007 Chevrolet Aveo 5,"58,000 mi.","$3,982"
57,2011 Chevrolet Aveo LT,"79,732 mi.","$5,995"
58,2009 Chevrolet Aveo LT,"57,146 mi.","$7,998"
59,2009 Chevrolet Aveo 5 LS,"96,775 mi.","$3,600"
60,2008 Chevrolet Aveo 5 LS,"119,356 mi.","$4,800"
61,2011 Chevrolet Aveo LT,"122,205 mi.","$6,998"
62,2011 Chevrolet Aveo LT w/1LT,"70,990 mi.","$5,100"
63,2008 Chevrolet Aveo 5 LS,"84,423 mi.","$3,499"
64,2009 Chevrolet Aveo LT,"130,071 mi.","$3,995"
65,2009 Chevrolet Aveo LT,"126,359 mi.","$4,495"
66,2011 Chevrolet Aveo 5 LS,"31,109 mi.","$8,599"
67,2006 Chevrolet Aveo LT,"87,990 mi.","$3,500"
68,2011 Chevrolet Aveo LT,"81,341 mi.","$4,215"
69,2011 Chevrolet Aveo 5 LS,"81,157 mi.","$3,980"
70,2009 Chevrolet Aveo LT w/1LT,"90,071 mi.","$4,250"
71,2009 Chevrolet Aveo LS,"90,924 mi.","$3,999"
72,2009 Chevrolet Aveo 5 LT,"55,898 mi.","$5,900"
73,2010 Chevrolet Aveo LT,"84,511 mi.","$5,500"
74,2008 Chevrolet Aveo 5 LS,"90,752 mi.","$4,000"
75,2011 Chevrolet Aveo LS,"22,912 mi.","$9,599"
76,2009 Chevrolet Aveo LT,"87,297 mi.","$6,998"
77,2006 Chevrolet Aveo,"37,349 mi.","$5,000"
78,2011 Chevrolet Aveo 5 LT,"55,943 mi.","$6,250"
79,2006 Chevrolet Aveo LS,"90,053 mi.","$5,995"
80,2009 Chevrolet Aveo 5 LS,"120,523 mi.","$3,495"
81,2011 Chevrolet Aveo 5 LS,"109,413 mi.","$3,900"
82,2010 Chevrolet Aveo LT,"83,633 mi.","$5,697"
83,2006 Chevrolet Aveo LS,"95,253 mi.","$2,999"
84,2011 Chevrolet Aveo LT,"40,600 mi.","$5,995"
85,2007 Chevrolet Aveo LS,"163,409 mi.","$1,900"
86,2007 Chevrolet Aveo 5 LS,"149,667 mi.","$2,800"
87,2007 Chevrolet Aveo LS,"156,668 mi.","$2,995"
88,2008 Chevrolet Aveo 5 LS,"95,233 mi.","$5,998"
89,2009 Chevrolet Aveo LT,"101,927 mi.","$3,299"
90,2008 Chevrolet Aveo LS,"82,497 mi.","$3,799"
91,2005 Chevrolet Aveo LT,"66,297 mi.","$3,980"
92,2008 Chevrolet Aveo HATCHBACKAVEO5,"48,862 mi.","$4,395"
93,2011 Chevrolet Aveo LT,"93,886 mi.","$4,995"
94,2011 Chevrolet Aveo LT,"98,649 mi.","$3,995"
95,2011 Chevrolet Aveo 5 LS,"97,620 mi.","$4,295"
96,2011 Chevrolet Aveo 5 LT,"23,929 mi.","$6,995"
97,2009 Chevrolet Aveo LT,"112,891 mi.","$4,299"
98,2011 Chevrolet Aveo LT,"58,284 mi.","$9,599"
99,2008 Chevrolet Aveo LS,"103,200 mi.","$4,900"
100,2005 Chevrolet Aveo LS,"133,611 mi.","$1,750"
101,2010 Chevrolet Aveo 5 LT,"79,824 mi.","$4,999"
102,2006 Chevrolet Aveo 5 LT,"64,585 mi.","$3,499"
103,2009 Chevrolet Aveo 5 LT,"101,813 mi.","$3,995"
104,2007 Chevrolet Aveo LS,"169,479 mi.","$1,995"
105,2004 Chevrolet Aveo SVM,"113,716 mi.","$1,495"
106,2010 Chevrolet Aveo 5 LS,"83,075 mi.","$4,995"
107,2009 Chevrolet Aveo LT,"96,521 mi.","$4,500"
108,2010 Chevrolet Aveo LT w/1LT,"68,480 mi.","$6,910"
109,2011 Chevrolet Aveo LT,"68,653 mi.","$5,980"
110,2009 Chevrolet Aveo LT,"99,294 mi.","$4,897"
111,2006 Chevrolet Aveo 5 LT,"124,000 mi.","$3,400"
112,2006 Chevrolet Aveo 5 LT,"48,460 mi.","$5,999"
113,2010 Chevrolet Aveo LT,"56,427 mi.","$4,896"
114,2009 Chevrolet Aveo LT,"99,267 mi.","$3,999"
115,2010 Chevrolet Aveo LS,"71,444 mi.","$5,995"
116,2007 Chevrolet Aveo 5 LS,"140,720 mi.","$1,999"
117,2007 Chevrolet Aveo 5 LS,"163,867 mi.","$3,888"
118,2008 Chevrolet Aveo 5 LS,"151,506 mi.","$3,495"
119,2006 Chevrolet Aveo LS,"100,009 mi.","$3,490"
120,2009 Chevrolet Aveo 5 LS,"103,762 mi.","$2,950"
121,2011 Chevrolet Aveo LT,"100,000 mi.","$4,501"
122,2005 Chevrolet Aveo LS,"104,388 mi.","$2,500"
123,2009 Chevrolet Aveo LT,"96,025 mi.","$3,465"
124,2011 Chevrolet Aveo LT,"124,298 mi.","$4,495"
125,2011 Chevrolet Aveo LT,"99,113 mi.","$4,250"
126,2010 Chevrolet Aveo LT,"56,015 mi.","$4,700"
127,2011 Chevrolet Aveo LT,"151,890 mi.","$2,750"
128,2007 Chevrolet Aveo LT,"119,954 mi.","$2,799"
129,2011 Chevrolet Aveo 5 LT,"84,196 mi.","$6,000"
130,2008 Chevrolet Aveo LT,"106,885 mi.","$2,990"
131,2007 Chevrolet Aveo 5 LS,"121,987 mi.","$2,799"
132,2005 Chevrolet Aveo LS,"127,083 mi.","$3,287"
133,2011 Chevrolet Aveo 5 LT,"87,301 mi.","$3,991"
134,2009 Chevrolet Aveo 5 LT,"115,800 mi.","$3,200"
135,2010 Chevrolet Aveo LT,"109,967 mi.","$3,499"
136,2011 Chevrolet Aveo LS,"87,413 mi.","$6,800"
137,2011 Chevrolet Aveo LT,"75,614 mi.","$3,650"
138,2011 Chevrolet Aveo 5 LT,"101,571 mi.","$3,300"
139,2004 Chevrolet Aveo LS,"192,244 mi.","$1,991"
140,2008 Chevrolet Aveo LS,"118,097 mi.","$2,699"
141,2007 Chevrolet Aveo 5 LS,"156,925 mi.","$2,750"
142,2010 Chevrolet Aveo LT,"56,167 mi.","$4,595"
143,2009 Chevrolet Aveo 5 LT,"65,694 mi.","$3,995"
144,2007 Chevrolet Aveo LS,"140,363 mi.","$2,966"
145,2007 Chevrolet Aveo 5 LS,"157,919 mi.","$3,750"
146,2006 Chevrolet Aveo LS,"78,564 mi.","$2,700"
147,2011 Chevrolet Aveo LT,"87,971 mi.","$5,390"
148,2011 Chevrolet Aveo,"121,542 mi.","$3,995"
149,2006 Chevrolet Aveo 5 LT,"123,397 mi.","$2,999"
150,2010 Chevrolet Aveo LS,"92,926 mi.","$3,987"
151,2007 Chevrolet Aveo 5 LS,"89,500 mi.","$4,979"
152,2009 Chevrolet Aveo LT,"102,000 mi.","$2,595"
153,2006 Chevrolet Aveo 5 LT,"103,488 mi.","$3,995"
154,2011 Chevrolet Aveo LT,"124,984 mi.","$3,995"
155,2010 Chevrolet Aveo 5 LS,"69,857 mi.","$4,995"
156,2011 Chevrolet Aveo LT,"111,768 mi.","$5,500"
157,2007 Chevrolet Aveo LS,"109,102 mi.","$2,000"
158,2006 Chevrolet Aveo,"78,565 mi.","$2,799"
159,2009 Chevrolet Aveo 5 LT,"68,616 mi.","$4,998"
160,2009 Chevrolet Aveo 5 LT,"95,733 mi.","$3,495"
161,2008 Chevrolet Aveo 5 LS,"172,422 mi.","$3,495"
162,2008 Chevrolet Aveo 5 LS,"60,410 mi.","$6,453"
163,2010 Chevrolet Aveo 5 LT,"113,252 mi.","$4,995"
164,2006 Chevrolet Aveo 5 LS,"99,739 mi.","$3,991"
165,2009 Chevrolet Aveo LT,"102,107 mi.","$4,950"
166,2011 Chevrolet Aveo LT,"95,130 mi.","$5,350"
167,2009 Chevrolet Aveo 5 LS,"90,376 mi.","$4,191"
168,2009 Chevrolet Aveo LT,"69,256 mi.","$4,995"
169,2011 Chevrolet Aveo LT,"91,747 mi.","$4,990"
