,Name,Mileage,Price
0,2017 Chevrolet Bolt EV LT,"55,570 mi.","$24,977"
1,2017 Chevrolet Bolt EV Premier,"13,709 mi.","$28,447"
2,2017 Chevrolet Bolt EV LT,"18,009 mi.","$26,984"
3,2018 Chevrolet Bolt EV LT,"8,399 mi.","$29,495"
4,2017 Chevrolet Bolt EV LT,"13,300 mi.","$28,995"
5,2017 Chevrolet Bolt EV LT,"28,366 mi.","$27,998"
6,2018 Chevrolet Bolt EV Premier,"11,234 mi.","$31,991"
7,2018 Chevrolet Bolt EV Premier,"5,970 mi.","$33,995"
8,2017 Chevrolet Bolt EV LT,"4,987 mi.","$27,998"
9,2017 Chevrolet Bolt EV Premier,"11,192 mi.","$29,844"
10,2017 Chevrolet Bolt EV Premier,"14,568 mi.","$28,998"
11,2017 Chevrolet Bolt EV LT,"19,676 mi.","$28,998"
12,2017 Chevrolet Bolt EV LT,"5,536 mi.","$29,492"
13,2017 Chevrolet Bolt EV Premier,"13,727 mi.","$30,295"
14,2017 Chevrolet Bolt EV Premier,"11,820 mi.","$30,250"
15,2017 Chevrolet Bolt EV Premier,"18,085 mi.","$29,550"
16,2017 Chevrolet Bolt EV LT,"4,051 mi.","$29,998"
17,2017 Chevrolet Bolt EV LT,"28,176 mi.","$26,996"
18,2017 Chevrolet Bolt EV Premier,"11,047 mi.","$31,966"
19,2017 Chevrolet Bolt EV LT,"7,122 mi.","$28,262"
20,2017 Chevrolet Bolt EV Premier,"13,347 mi.","$29,167"
21,2017 Chevrolet Bolt EV Premier,"9,669 mi.","$28,900"
22,2017 Chevrolet Bolt EV Premier,"12,244 mi.","$27,711"
23,2017 Chevrolet Bolt EV Premier,"15,963 mi.","$30,598"
24,2017 Chevrolet Bolt EV LT,"8,240 mi.","$28,691"
25,2017 Chevrolet Bolt EV Premier,"4,524 mi.","$30,987"
26,2017 Chevrolet Bolt EV Premier,"19,997 mi.","$29,493"
27,2017 Chevrolet Bolt EV Premier,"7,251 mi.","$31,799"
28,2017 Chevrolet Bolt EV LT,"10,706 mi.","$30,998"
29,2017 Chevrolet Bolt EV LT,"22,140 mi.","$27,774"
30,2017 Chevrolet Bolt EV LT,"16,221 mi.","$30,990"
31,2017 Chevrolet Bolt EV Premier,"7,603 mi.","$28,750"
32,2017 Chevrolet Bolt EV LT,"6,798 mi.","$28,997"
