,Name,Mileage,Price
0,2013 Chevrolet Captiva Sport LS,"91,620 mi.","$8,797"
1,2013 Chevrolet Captiva Sport LTZ,"70,423 mi.","$10,295"
2,2015 Chevrolet Captiva Sport 2LS,"39,070 mi.","$13,780"
3,2013 Chevrolet Captiva Sport LT,"117,677 mi.","$6,954"
4,2014 Chevrolet Captiva Sport 2LS,"109,537 mi.","$7,999"
5,2014 Chevrolet Captiva Sport LT,"74,201 mi.","$11,988"
6,2014 Chevrolet Captiva Sport 2LS,"58,292 mi.","$10,488"
7,2014 Chevrolet Captiva Sport 2LS,"63,929 mi.","$8,999"
8,2015 Chevrolet Captiva Sport 2LS,"35,355 mi.","$12,888"
9,2012 Chevrolet Captiva Sport LT,"60,707 mi.","$10,600"
10,2014 Chevrolet Captiva Sport LT,"89,073 mi.","$10,973"
11,2014 Chevrolet Captiva Sport LTZ,"90,680 mi.","$9,984"
12,2013 Chevrolet Captiva Sport LT,"54,477 mi.","$10,301"
13,2013 Chevrolet Captiva Sport LT,"108,747 mi.","$7,851"
14,2014 Chevrolet Captiva Sport LT,"86,715 mi.","$9,795"
15,2015 Chevrolet Captiva Sport LT,"67,753 mi.","$14,000"
16,2014 Chevrolet Captiva Sport LTZ,"51,875 mi.","$13,599"
17,2014 Chevrolet Captiva Sport,"49,604 mi.","$9,999"
18,2014 Chevrolet Captiva Sport LTZ,"53,540 mi.","$13,599"
19,2013 Chevrolet Captiva Sport LT,"59,860 mi.","$11,500"
20,2014 Chevrolet Captiva Sport LT,"74,460 mi.","$10,995"
21,2013 Chevrolet Captiva Sport LT,"49,063 mi.","$11,898"
22,2015 Chevrolet Captiva Sport LS,"98,955 mi.","$9,990"
23,2013 Chevrolet Captiva Sport LT,"53,483 mi.","$12,994"
24,2014 Chevrolet Captiva Sport LT,"100,447 mi.","$10,480"
25,2014 Chevrolet Captiva Sport 2LS,"109,486 mi.","$8,251"
26,2013 Chevrolet Captiva Sport 2LS,"116,855 mi.","$9,101"
27,2013 Chevrolet Captiva Sport 2LS,"92,716 mi.","$8,863"
28,2014 Chevrolet Captiva Sport LTZ,"47,416 mi.","$11,999"
29,2014 Chevrolet Captiva Sport LT,"34,417 mi.","$12,725"
30,2014 Chevrolet Captiva Sport LT,"86,884 mi.","$10,725"
31,2014 Chevrolet Captiva Sport LTZ,"103,498 mi.","$9,599"
32,2013 Chevrolet Captiva Sport LTZ,"53,206 mi.","$11,990"
33,2013 Chevrolet Captiva Sport LT,"109,174 mi.","$6,490"
34,2012 Chevrolet Captiva Sport 2LS,"94,028 mi.","$8,995"
35,2013 Chevrolet Captiva Sport LTZ,"97,056 mi.","$9,499"
36,2012 Chevrolet Captiva Sport 2LS,"74,372 mi.","$11,800"
37,2013 Chevrolet Captiva Sport LTZ,"91,240 mi.","$9,692"
38,2015 Chevrolet Captiva Sport LTZ,"72,112 mi.","$11,700"
39,2014 Chevrolet Captiva Sport LT,"56,829 mi.","$12,888"
40,2014 Chevrolet Captiva Sport LT,"73,891 mi.","$10,480"
41,2014 Chevrolet Captiva Sport LTZ,"56,643 mi.","$12,964"
42,2014 Chevrolet Captiva Sport 2LS,"83,059 mi.","$9,500"
43,2015 Chevrolet Captiva Sport LTZ,"57,369 mi.","$13,488"
44,2014 Chevrolet Captiva Sport 2LS,"82,590 mi.","$9,780"
45,2013 Chevrolet Captiva Sport LT,"63,659 mi.","$10,695"
46,2012 Chevrolet Captiva Sport LS w/2LS,"78,629 mi.","$9,488"
47,2012 Chevrolet Captiva Sport LT,"84,362 mi.","$8,975"
48,2014 Chevrolet Captiva Sport 2LS,"64,515 mi.","$10,500"
49,2012 Chevrolet Captiva Sport LTZ,"80,766 mi.","$9,990"
50,2012 Chevrolet Captiva Sport LTZ,"67,785 mi.","$10,750"
51,2014 Chevrolet Captiva Sport 2LS,"45,051 mi.","$11,981"
52,2012 Chevrolet Captiva Sport LT,"109,273 mi.","$7,995"
53,2014 Chevrolet Captiva Sport LTZ,"101,749 mi.","$9,900"
54,2014 Chevrolet Captiva Sport LT,"69,443 mi.","$10,838"
55,2015 Chevrolet Captiva Sport LT,"68,352 mi.","$13,886"
56,2014 Chevrolet Captiva Sport LTZ,"71,455 mi.","$12,187"
57,2014 Chevrolet Captiva Sport LT,"50,140 mi.","$12,999"
58,2012 Chevrolet Captiva Sport LTZ,"65,115 mi.","$12,995"
59,2014 Chevrolet Captiva Sport 2LS,"58,202 mi.","$10,950"
60,2012 Chevrolet Captiva Sport 2LS,"87,682 mi.","$9,358"
61,2014 Chevrolet Captiva Sport 2LS,"88,442 mi.","$9,899"
62,2012 Chevrolet Captiva Sport LT,"70,335 mi.","$10,288"
63,2014 Chevrolet Captiva Sport LTZ,"93,954 mi.","$9,587"
64,2012 Chevrolet Captiva Sport LT,"162,114 mi.","$8,990"
65,2014 Chevrolet Captiva Sport LTZ,"97,600 mi.","$9,990"
66,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
67,2012 Chevrolet Captiva Sport LTZ,"153,394 mi.","$7,500"
68,2013 Chevrolet Captiva Sport LT,"100,008 mi.","$7,950"
69,2013 Chevrolet Captiva Sport 2LS,"130,240 mi.","$5,750"
70,2014 Chevrolet Captiva Sport 2LS,"85,204 mi.","$9,900"
71,2015 Chevrolet Captiva Sport LT,"61,921 mi.","$13,499"
72,2014 Chevrolet Captiva Sport 2LS,"104,327 mi.","$8,295"
73,2012 Chevrolet Captiva Sport 2LS,"82,830 mi.","$9,950"
74,2015 Chevrolet Captiva Sport 2LS,"61,953 mi.","$10,495"
75,2014 Chevrolet Captiva Sport LT,"65,823 mi.","$11,500"
76,2014 Chevrolet Captiva Sport LT,"102,470 mi.","$8,381"
77,2014 Chevrolet Captiva Sport LTZ,"79,755 mi.","$11,000"
78,2012 Chevrolet Captiva Sport LT,"83,962 mi.","$8,991"
79,2012 Chevrolet Captiva Sport 2LS,"98,573 mi.","$6,857"
80,2014 Chevrolet Captiva Sport LT,"63,567 mi.","$10,866"
81,2014 Chevrolet Captiva Sport LT,"52,119 mi.","$12,589"
82,2013 Chevrolet Captiva Sport LT,"81,506 mi.","$8,745"
83,2014 Chevrolet Captiva Sport LT,"74,028 mi.","$9,887"
84,2014 Chevrolet Captiva Sport LTZ,"56,521 mi.","$12,995"
85,2014 Chevrolet Captiva Sport LTZ,"68,078 mi.","$11,868"
86,2015 Chevrolet Captiva Sport 2LS,"69,602 mi.","$10,388"
87,2014 Chevrolet Captiva Sport 2LS,"90,011 mi.","$10,049"
88,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
89,2013 Chevrolet Captiva Sport LT,"43,773 mi.","$10,987"
90,2014 Chevrolet Captiva Sport LT,"64,995 mi.","$9,295"
91,2014 Chevrolet Captiva Sport 2LS,"98,815 mi.","$9,179"
92,2014 Chevrolet Captiva Sport LTZ,"54,078 mi.","$11,950"
93,2013 Chevrolet Captiva Sport LT,"77,221 mi.","$10,850"
94,2012 Chevrolet Captiva Sport LT,"89,560 mi.","$8,237"
95,2014 Chevrolet Captiva Sport LT,"77,935 mi.","$9,998"
96,2014 Chevrolet Captiva Sport LTZ,"34,272 mi.","$12,975"
97,2013 Chevrolet Captiva Sport 2LS,"62,401 mi.","$9,900"
98,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
99,2012 Chevrolet Captiva Sport LTZ,"84,975 mi.","$9,977"
100,2013 Chevrolet Captiva Sport LTZ,"110,455 mi.","$10,998"
101,2014 Chevrolet Captiva Sport LTZ,"44,748 mi.","$14,998"
102,2012 Chevrolet Captiva Sport 1LS,"69,967 mi.","$11,599"
103,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
104,2015 Chevrolet Captiva Sport LT,"69,351 mi.","$12,000"
105,2014 Chevrolet Captiva Sport LT,"67,769 mi.","$10,950"
106,2013 Chevrolet Captiva Sport 2LS,"107,965 mi.","$7,499"
107,2013 Chevrolet Captiva Sport 2LS,"100,825 mi.","$8,851"
108,2014 Chevrolet Captiva Sport LTZ,"76,601 mi.","$11,500"
109,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
110,2013 Chevrolet Captiva Sport LT,"94,744 mi.","$8,777"
111,2012 Chevrolet Captiva Sport 2LS,"86,302 mi.","$7,488"
112,2015 Chevrolet Captiva Sport 2LS,"44,997 mi.","$14,375"
113,2012 Chevrolet Captiva Sport 2LS,"55,669 mi.","$8,998"
114,2015 Chevrolet Captiva Sport LT,"60,898 mi.","$11,998"
115,2013 Chevrolet Captiva Sport LT,"100,016 mi.","$8,495"
116,2014 Chevrolet Captiva Sport LTZ,"49,808 mi.","$11,399"
117,2013 Chevrolet Captiva Sport LT,"85,438 mi.","$9,995"
118,2014 Chevrolet Captiva Sport LTZ,"72,631 mi.","$11,999"
119,2013 Chevrolet Captiva Sport 2LS,"45,701 mi.","$12,998"
120,2014 Chevrolet Captiva Sport LT,"46,567 mi.","$13,999"
121,2014 Chevrolet Captiva Sport LTZ,"61,375 mi.","$12,498"
122,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
123,2014 Chevrolet Captiva Sport LT,"73,409 mi.","$13,595"
124,2014 Chevrolet Captiva Sport LT,"85,459 mi.","$8,997"
125,2012 Chevrolet Captiva Sport 2LS,"101,153 mi.","$8,999"
126,2014 Chevrolet Captiva Sport LTZ,"60,987 mi.","$14,300"
127,2014 Chevrolet Captiva Sport LT,"34,875 mi.","$14,497"
