,Name,Mileage,Price
0,1971 Chevrolet Chevelle Malibu,"31,513 mi.","$29,988"
1,1972 Chevrolet Chevelle Malibu,"29,200 mi.","$29,988"
2,1966 Chevrolet Chevelle,"3,075 mi.","$85,000"
3,1972 Chevrolet Chevelle Malibu,"9,565 mi.","$84,997"
4,1965 Chevrolet Chevelle,"15,502 mi.","$39,995"
5,1968 Chevrolet Chevelle,"14,181 mi.","$49,991"
6,1970 Chevrolet Chevelle,"4,350 mi.","$69,950"
7,1970 Chevrolet Chevelle SS,"1,600 mi.","$74,995"
8,1970 Chevrolet Chevelle SS,968 mi.,"$41,995"
9,1970 Chevrolet Chevelle Coupe,"6,171 mi.","$179,997"
10,1969 Chevrolet Chevelle,"74,952 mi.","$53,900"
11,1966 Chevrolet Chevelle,185 mi.,"$59,900"
12,1970 Chevrolet Chevelle SS,"66,813 mi.","$69,900"
13,1971 Chevrolet Chevelle SS,"99,782 mi.","$69,900"
14,1970 Chevrolet Chevelle,"68,535 mi.","$28,000"
15,1969 Chevrolet Chevelle SS,"89,539 mi.","$49,900"
16,1970 Chevrolet Chevelle SS,"39,012 mi.","$189,990"
17,1972 Chevrolet Chevelle Heavy Chevy,"43,184 mi.","$27,999"
18,1971 Chevrolet Chevelle SS,"8,834 mi.","$39,995"
19,1969 Chevrolet Chevelle SS,"51,835 mi.","$27,995"
20,1972 Chevrolet Chevelle SS,"97,000 mi.","$42,500"
21,1966 Chevrolet Chevelle RESTO MOD,420 mi.,"$139,900"
22,1972 Chevrolet Chevelle SS,"60,114 mi.","$59,900"
23,1968 Chevrolet Chevelle SS,"3,263 mi.","$46,995"
24,1969 Chevrolet Chevelle SS,"32,901 mi.","$59,997"
25,1972 Chevrolet Chevelle,"36,702 mi.","$14,995"
26,1972 Chevrolet Chevelle,"7,408 mi.","$39,990"
27,1969 Chevrolet Chevelle SS,"1,382 mi.","$67,800"
28,1970 Chevrolet Chevelle SS,"3,064 mi.","$89,999"
29,1972 Chevrolet Chevelle,"37,435 mi.","$38,500"
30,1969 Chevrolet Chevelle Supercharged SS 454 Coupe,"26,756 mi.","$69,888"
31,1968 Chevrolet Chevelle SS,"29,802 mi.","$24,900"
32,1969 Chevrolet Chevelle,"32,373 mi.","$18,900"
33,1970 Chevrolet Chevelle,"86,835 mi.","$44,900"
34,1970 Chevrolet Chevelle SS,"55,608 mi.","$26,950"
35,1971 Chevrolet Chevelle,"91,592 mi.","$23,000"
36,1966 Chevrolet Chevelle,20 mi.,"$34,900"
37,1968 Chevrolet Chevelle,"88,869 mi.","$24,995"
38,1969 Chevrolet Chevelle Malibu,"3,000 mi.","$29,999"
39,1972 Chevrolet Chevelle Malibu,"66,388 mi.","$35,000"
40,1964 Chevrolet Chevelle Malibu,"27,000 mi.","$22,500"
41,1972 Chevrolet Chevelle SS,"1,000 mi.","$36,000"
42,1969 Chevrolet Chevelle SS,"68,000 mi.","$60,000"
43,1970 Chevrolet Chevelle Malibu,"196,000 mi.","$14,000"
44,1971 Chevrolet Chevelle SS,123 mi.,"$19,710"
45,1970 Chevrolet Chevelle Malibu,"26,700 mi.","$25,000"
46,1972 Chevrolet Chevelle,,"$27,900"
47,1972 Chevrolet Chevelle Gorgeous Restoration Inside and Out,0 mi.,"$32,000"
48,1964 Chevrolet Chevelle,"109,421 mi.","$34,990"
49,1966 Chevrolet Chevelle,"98,948 mi.","$69,990"
50,1967 Chevrolet Chevelle,"10,672 mi.","$36,990"
51,1967 Chevrolet Chevelle SS,857 mi.,"$30,995"
52,1966 Chevrolet Chevelle SS 396,0 mi.,"$55,800"
53,1969 Chevrolet Chevelle,0 mi.,"$38,990"
54,1965 Chevrolet Chevelle,0 mi.,"$29,950"
55,1967 Chevrolet Chevelle SS,0 mi.,Not Priced
56,1971 Chevrolet Chevelle SS,0 mi.,"$38,495"
57,1966 Chevrolet Chevelle SS Custom,0 mi.,"$36,900"
58,1969 Chevrolet Chevelle,,"$47,515"
59,1966 Chevrolet Chevelle 396,80 mi.,Not Priced
60,1966 Chevrolet Chevelle,"56,201 mi.",Not Priced
61,1971 Chevrolet Chevelle SS,,"$53,900"
62,1970 Chevrolet Chevelle,"16,230 mi.","$35,000"
63,1969 Chevrolet Chevelle SS,0 mi.,"$44,500"
64,1964 Chevrolet Chevelle,0 mi.,"$30,000"
65,1970 Chevrolet Chevelle,802 mi.,Not Priced
66,1966 Chevrolet Chevelle,"67,303 mi.","$48,995"
67,1970 Chevrolet Chevelle SS,0 mi.,"$74,900"
