,Name,Mileage,Price
0,2017 Chevrolet City Express 1LS,"33,494 mi.","$16,999"
1,2015 Chevrolet City Express 1LT,"67,418 mi.","$11,500"
2,2015 Chevrolet City Express 1LS,"148,379 mi.","$5,981"
3,2017 Chevrolet City Express 1LS,"32,992 mi.","$13,500"
4,2015 Chevrolet City Express 1LS,"97,991 mi.","$11,000"
5,2017 Chevrolet City Express 1LT,"7,036 mi.","$16,277"
6,2015 Chevrolet City Express 1LS,"65,237 mi.","$10,300"
7,2015 Chevrolet City Express 1LS,"111,391 mi.","$11,500"
8,2015 Chevrolet City Express 1LT,"45,867 mi.","$13,883"
9,2017 Chevrolet City Express 1LS,"1,778 mi.","$20,833"
10,2017 Chevrolet City Express 1LS,"33,290 mi.","$16,177"
11,2017 Chevrolet City Express 1LS,"15,001 mi.","$18,284"
12,2015 Chevrolet City Express 1LS,"106,375 mi.","$10,299"
13,2015 Chevrolet City Express 1LS,"87,356 mi.","$8,999"
14,2015 Chevrolet City Express 1LT,"71,353 mi.","$13,800"
15,2015 Chevrolet City Express 1LS,"67,615 mi.","$13,990"
16,2015 Chevrolet City Express 1LT,"25,017 mi.","$19,868"
17,2015 Chevrolet City Express LT,"88,646 mi.","$11,995"
18,2015 Chevrolet City Express 1LS,"68,141 mi.","$13,889"
19,2015 Chevrolet City Express 1LT,"98,297 mi.","$10,900"
20,2015 Chevrolet City Express 1LT,"51,361 mi.","$12,000"
21,2015 Chevrolet City Express 1LT,"38,222 mi.","$15,990"
22,2015 Chevrolet City Express 1LS,"102,602 mi.","$9,788"
23,2015 Chevrolet City Express 1LT,"31,995 mi.","$13,956"
24,2015 Chevrolet City Express 1LT,"54,368 mi.","$11,995"
25,2015 Chevrolet City Express 1LS,"28,151 mi.","$14,970"
26,2017 Chevrolet City Express 1LS,"34,610 mi.","$17,900"
27,2015 Chevrolet City Express 1LT,"97,348 mi.","$9,995"
28,2017 Chevrolet City Express LT,"11,338 mi.","$18,975"
29,2015 Chevrolet City Express 1LS,"51,246 mi.","$12,980"
30,2015 Chevrolet City Express 1LS,"91,370 mi.","$11,300"
31,2017 Chevrolet City Express 1LT,"11,186 mi.","$16,995"
32,2015 Chevrolet City Express 1LS,"52,012 mi.","$12,590"
33,2017 Chevrolet City Express 1LT,"5,546 mi.","$17,450"
34,2016 Chevrolet City Express 1LT,"42,969 mi.","$16,977"
35,2017 Chevrolet City Express 1LS,"12,000 mi.","$17,975"
36,2015 Chevrolet City Express 1LT,"68,895 mi.","$13,988"
37,2015 Chevrolet City Express 1LS,"95,159 mi.","$9,500"
38,2015 Chevrolet City Express 1LS,"65,128 mi.","$12,288"
39,2015 Chevrolet City Express 1LT,"53,791 mi.","$13,997"
40,2015 Chevrolet City Express 1LT,"100,489 mi.","$11,000"
41,2017 Chevrolet City Express 1LS,"33,668 mi.","$16,900"
42,2015 Chevrolet City Express 1LS,"97,229 mi.","$11,990"
43,2017 Chevrolet City Express 1LS,502 mi.,"$17,479"
44,2015 Chevrolet City Express LT,"19,517 mi.","$16,995"
45,2015 Chevrolet City Express 1LT,"75,602 mi.","$14,995"
46,2017 Chevrolet City Express 1LT,"22,869 mi.","$18,900"
47,2017 Chevrolet City Express 1LT,"1,711 mi.","$19,977"
48,2015 Chevrolet City Express 1LT,"20,673 mi.","$16,989"
49,2015 Chevrolet City Express 1LS,"40,582 mi.","$14,995"
50,2015 Chevrolet City Express 1LS,"38,812 mi.","$12,500"
51,2015 Chevrolet City Express 1LS,"29,433 mi.","$14,995"
52,2015 Chevrolet City Express 1LT,"131,990 mi.","$11,500"
53,2017 Chevrolet City Express 1LS,"1,203 mi.","$18,751"
54,2017 Chevrolet City Express 1LT,"2,740 mi.","$18,995"
55,2015 Chevrolet City Express 1LS,"48,649 mi.","$12,995"
56,2015 Chevrolet City Express 1LS,"60,621 mi.","$12,401"
57,2017 Chevrolet City Express 1LS,"20,349 mi.","$16,999"
58,2017 Chevrolet City Express LT,"67,042 mi.","$15,498"
59,2015 Chevrolet City Express 1LS,"46,578 mi.","$12,714"
60,2015 Chevrolet City Express LS,"56,254 mi.","$14,444"
61,2017 Chevrolet City Express 1LS,28 mi.,"$20,313"
62,2017 Chevrolet City Express 1LT,"7,988 mi.","$21,978"
63,2015 Chevrolet City Express 1LS,"41,461 mi.","$16,337"
64,2015 Chevrolet City Express 1LS,"52,110 mi.","$12,923"
65,2017 Chevrolet City Express 1LT,"24,888 mi.","$10,995"
66,2015 Chevrolet City Express 1LS,"149,686 mi.","$7,699"
67,2015 Chevrolet City Express 1LS,"79,264 mi.","$12,495"
68,2015 Chevrolet City Express 1LS,"87,370 mi.","$14,497"
69,2015 Chevrolet City Express 1LS,"28,209 mi.","$13,800"
70,2017 Chevrolet City Express 1LT,"11,313 mi.","$17,500"
71,2017 Chevrolet City Express 1LT,"11,313 mi.","$17,500"
72,2015 Chevrolet City Express 1LT,"26,545 mi.","$14,999"
73,2015 Chevrolet City Express 1LT,"43,586 mi.","$13,969"
74,2015 Chevrolet City Express 1LS,"92,183 mi.","$11,000"
75,2017 Chevrolet City Express 1LT,"14,124 mi.","$16,789"
76,2015 Chevrolet City Express 1LS,"38,079 mi.","$13,523"
77,2015 Chevrolet City Express 1LS,"12,800 mi.","$12,999"
78,2015 Chevrolet City Express 1LT,"44,169 mi.","$13,965"
79,2017 Chevrolet City Express 1LS,"93,089 mi.","$12,400"
80,2017 Chevrolet City Express LT,"25,514 mi.","$18,480"
81,2015 Chevrolet City Express LS,"104,448 mi.","$10,277"
82,2015 Chevrolet City Express 1LT,"61,851 mi.","$10,000"
83,2015 Chevrolet City Express 1LS,"112,255 mi.","$10,997"
84,2015 Chevrolet City Express 1LT,"26,139 mi.","$14,888"
85,2015 Chevrolet City Express 1LS,"84,856 mi.","$11,995"
86,2015 Chevrolet City Express 1LS,"127,000 mi.","$9,900"
87,2015 Chevrolet City Express 1LS,"91,351 mi.","$12,450"
88,2015 Chevrolet City Express 1LS,"79,248 mi.","$13,490"
89,2015 Chevrolet City Express 1LS,"57,476 mi.","$13,923"
90,2015 Chevrolet City Express 1LT,"31,084 mi.","$15,995"
91,2015 Chevrolet City Express 1LT,"61,917 mi.","$13,500"
92,2017 Chevrolet City Express 1LT,"31,901 mi.","$18,640"
93,2017 Chevrolet City Express 1LT,"18,844 mi.","$15,900"
94,2015 Chevrolet City Express LS,"94,508 mi.","$11,927"
95,2015 Chevrolet City Express 1LS,"86,658 mi.","$12,995"
96,2015 Chevrolet City Express 1LS,"91,487 mi.","$12,272"
97,2015 Chevrolet City Express 1LS,"16,624 mi.","$14,999"
98,2015 Chevrolet City Express 1LT,"148,217 mi.","$12,500"
99,2017 Chevrolet City Express LT,18 mi.,"$19,487"
100,2015 Chevrolet City Express 1LS,"62,846 mi.","$15,995"
