,Name,Mileage,Price
0,2004 Chevrolet Classic Base,"85,470 mi.","$3,000"
1,2004 Chevrolet Classic Base,"77,028 mi.","$4,289"
2,2005 Chevrolet Classic Base,"143,713 mi.","$3,995"
3,2004 Chevrolet Classic 4dr Sdn,"102,224 mi.","$3,900"
4,2004 Chevrolet Classic Base,"143,608 mi.","$3,995"
5,2004 Chevrolet Classic Base,"140,931 mi.","$4,999"
6,2004 Chevrolet Classic Base,"171,859 mi.","$3,334"
7,2005 Chevrolet Classic 4dr Sdn,"160,476 mi.","$2,750"
8,2004 Chevrolet Classic 4dr Sdn,"123,695 mi.","$3,933"
9,2004 Chevrolet Classic Base,"189,345 mi.","$2,593"
10,2005 Chevrolet Classic Base,"68,278 mi.","$3,290"
11,2004 Chevrolet Classic Base,"63,703 mi.","$3,990"
12,2005 Chevrolet Classic Base,"93,744 mi.","$3,290"
13,2004 Chevrolet Classic 4dr Sdn,"140,582 mi.","$1,995"
14,2004 Chevrolet Classic Base,"185,400 mi.","$3,404"
15,2005 Chevrolet Classic 4dr Sdn,"111,783 mi.","$2,495"
16,2005 Chevrolet Classic 4dr Sdn,"97,407 mi.","$4,995"
17,2004 Chevrolet Classic 4dr Sdn,"209,478 mi.","$2,200"
18,2004 Chevrolet Classic Base,"97,815 mi.","$4,500"
19,2004 Chevrolet Classic 4dr Sdn,"127,820 mi.","$3,995"
20,2004 Chevrolet Classic 4dr Sdn,"145,349 mi.","$2,995"
21,2004 Chevrolet Classic 4dr Sdn,"145,423 mi.","$2,995"
22,2004 Chevrolet Classic 4dr Sdn,"89,319 mi.","$3,999"
23,2005 Chevrolet Classic Base,"133,861 mi.","$4,494"
24,2005 Chevrolet Classic 4DR SDN LS,"152,695 mi.","$5,455"
25,2005 Chevrolet Classic 4dr Sdn,"38,000 mi.","$5,495"
26,2005 Chevrolet Classic 4dr Sdn,"157,514 mi.","$2,999"
27,2004 Chevrolet Classic 4dr Sdn,"117,411 mi.","$3,434"
28,2005 Chevrolet Classic 4dr Sdn,"144,000 mi.","$2,695"
29,2004 Chevrolet Classic Base,"59,582 mi.","$4,990"
30,2004 Chevrolet Classic 4dr Sdn,"128,779 mi.","$2,995"
31,2005 Chevrolet Classic 4dr Sdn,"149,203 mi.","$3,599"
32,2004 Chevrolet Classic Base,"137,757 mi.","$2,997"
33,2005 Chevrolet Classic Base,"134,615 mi.","$2,995"
34,2005 Chevrolet Classic Base,"96,653 mi.","$2,800"
35,2005 Chevrolet Classic,"127,116 mi.","$3,995"
36,2005 Chevrolet Classic Base,"46,430 mi.","$4,500"
37,2005 Chevrolet Classic,"123,802 mi.",$900
38,2004 Chevrolet Classic,"209,700 mi.","$1,100"
39,2005 Chevrolet Classic,"75,000 mi.","$1,000"
40,2004 Chevrolet Classic 4dr Sdn,"71,956 mi.","$6,999"
41,2005 Chevrolet Classic 4dr Sdn,"106,935 mi.",Not Priced
42,2004 Chevrolet Classic Base,"182,000 mi.","$1,995"
43,2005 Chevrolet Classic Base,"81,186 mi.",Not Priced
44,2005 Chevrolet Classic Base,"223,662 mi.","$2,997"
45,2005 Chevrolet Classic 4dr Sdn,0 mi.,"$1,988"
46,2005 Chevrolet Classic 4dr Sdn,0 mi.,$998
47,2005 Chevrolet Classic Base,"161,092 mi.",Not Priced
48,2005 Chevrolet Classic,"86,542 mi.","$4,395"
49,2004 Chevrolet Classic Base,"153,906 mi.",Not Priced
50,2004 Chevrolet Classic 4dr Sdn,"198,430 mi.",Not Priced
51,2004 Chevrolet Classic,"80,972 mi.","$3,505"
52,2004 Chevrolet Classic Base,"133,218 mi.",Not Priced
53,2005 Chevrolet Classic 4dr Sdn,"206,791 mi.",Not Priced
54,2004 Chevrolet Classic 4dr Sdn,"204,040 mi.","$1,997"
55,2005 Chevrolet Classic Base,"69,021 mi.",Not Priced
