,Name,Mileage,Price
0,2010 Chevrolet Cobalt LT,"151,991 mi.","$5,499"
1,2010 Chevrolet Cobalt LT,"37,818 mi.","$7,000"
2,2007 Chevrolet Cobalt LS,"65,501 mi.","$5,995"
3,2008 Chevrolet Cobalt LT,"109,629 mi.","$4,650"
4,2006 Chevrolet Cobalt SS Supercharged,"95,803 mi.","$5,995"
5,2010 Chevrolet Cobalt SS,"81,419 mi.","$8,995"
6,2007 Chevrolet Cobalt LS,"96,942 mi.","$4,500"
7,2007 Chevrolet Cobalt LS,"157,877 mi.","$3,199"
8,2010 Chevrolet Cobalt LT w/1LT,"123,770 mi.","$5,477"
9,2009 Chevrolet Cobalt LT w/2LT,"88,013 mi.","$5,498"
10,2010 Chevrolet Cobalt LT,"61,084 mi.","$7,500"
11,2005 Chevrolet Cobalt LS,"176,400 mi.","$4,588"
12,2010 Chevrolet Cobalt LT w/1LT,"134,396 mi.","$4,591"
13,2007 Chevrolet Cobalt LT,"82,843 mi.","$4,990"
14,2009 Chevrolet Cobalt LS,"50,218 mi.","$6,912"
15,2009 Chevrolet Cobalt LT,"100,287 mi.","$4,699"
16,2009 Chevrolet Cobalt LT,"137,193 mi.","$5,100"
17,2006 Chevrolet Cobalt LT,"123,000 mi.","$4,498"
18,2009 Chevrolet Cobalt LT,"96,451 mi.","$5,500"
19,2009 Chevrolet Cobalt LT,"120,055 mi.","$5,245"
20,2010 Chevrolet Cobalt LT,"106,439 mi.","$4,995"
21,2008 Chevrolet Cobalt LS,"103,038 mi.","$4,488"
22,2010 Chevrolet Cobalt LT,"123,963 mi.","$4,328"
23,2009 Chevrolet Cobalt LS,"54,472 mi.","$9,599"
24,2007 Chevrolet Cobalt LT,"108,208 mi.","$4,970"
25,2006 Chevrolet Cobalt SS,"141,250 mi.","$3,500"
26,2007 Chevrolet Cobalt LT,"117,691 mi.","$4,995"
27,2007 Chevrolet Cobalt LT,"132,169 mi.","$2,450"
28,2005 Chevrolet Cobalt Base,"118,957 mi.","$3,751"
29,2008 Chevrolet Cobalt Sport Coupe,"116,874 mi.","$5,599"
30,2008 Chevrolet Cobalt LS,"68,332 mi.","$4,995"
31,2010 Chevrolet Cobalt LT,"74,024 mi.","$4,995"
32,2007 Chevrolet Cobalt LT,"267,397 mi.","$4,480"
33,2007 Chevrolet Cobalt LT,"74,038 mi.","$3,995"
34,2010 Chevrolet Cobalt LT,"132,710 mi.","$4,495"
35,2006 Chevrolet Cobalt SS,"121,799 mi.","$3,926"
36,2008 Chevrolet Cobalt LT,"94,584 mi.","$5,404"
37,2009 Chevrolet Cobalt 2dr Cpe LT w/1LT,"89,966 mi.","$6,800"
38,2007 Chevrolet Cobalt LT,"162,618 mi.","$2,485"
39,2010 Chevrolet Cobalt LT,"62,889 mi.","$6,977"
40,2010 Chevrolet Cobalt LT,"83,160 mi.","$5,393"
41,2009 Chevrolet Cobalt LT,"67,729 mi.","$5,594"
42,2009 Chevrolet Cobalt LT,"145,286 mi.","$3,591"
43,2010 Chevrolet Cobalt LS,"82,061 mi.","$5,200"
44,2008 Chevrolet Cobalt LT,"109,217 mi.","$4,841"
45,2007 Chevrolet Cobalt LS,"98,097 mi.","$4,009"
46,2009 Chevrolet Cobalt LT w/1LT,"102,548 mi.","$5,401"
47,2006 Chevrolet Cobalt SS,"135,143 mi.","$5,000"
48,2008 Chevrolet Cobalt LT,"149,411 mi.","$2,275"
49,2005 Chevrolet Cobalt LS,"144,256 mi.","$3,154"
50,2006 Chevrolet Cobalt LT,"85,200 mi.","$5,900"
51,2009 Chevrolet Cobalt LS,"105,755 mi.","$4,715"
52,2010 Chevrolet Cobalt LT,"118,213 mi.","$5,500"
53,2009 Chevrolet Cobalt LT w/2LT,"69,610 mi.","$6,400"
54,2009 Chevrolet Cobalt LT,"92,450 mi.","$6,300"
55,2010 Chevrolet Cobalt LT,"69,728 mi.","$8,999"
56,2009 Chevrolet Cobalt LS,"95,355 mi.","$5,886"
57,2006 Chevrolet Cobalt LS,"251,310 mi.","$1,499"
58,2009 Chevrolet Cobalt LS,"129,335 mi.","$4,500"
