,Name,Mileage,Price
0,2017 Chevrolet Colorado LT,"17,777 mi.","$22,950"
1,2004 Chevrolet Colorado LS,"137,339 mi.","$6,333"
2,2015 Chevrolet Colorado LT,"46,342 mi.","$24,985"
3,2015 Chevrolet Colorado Z71,"14,694 mi.","$25,977"
4,2018 Chevrolet Colorado LT,"15,054 mi.","$23,999"
5,2018 Chevrolet Colorado 4WD ZR2,"15,131 mi.","$40,421"
6,2018 Chevrolet Colorado WT,"13,570 mi.","$28,007"
7,2012 Chevrolet Colorado Work Truck,"114,709 mi.","$9,798"
8,2007 Chevrolet Colorado W/T,"94,000 mi.","$8,995"
9,2012 Chevrolet Colorado 2LT,"64,070 mi.","$14,950"
10,2016 Chevrolet Colorado Z71,"37,308 mi.","$24,993"
11,2018 Chevrolet Colorado LT,"15,289 mi.","$29,890"
12,2010 Chevrolet Colorado LT w/2LT,"140,530 mi.","$13,992"
13,2011 Chevrolet Colorado 1LT,"119,852 mi.","$11,291"
14,2016 Chevrolet Colorado Z71,"26,008 mi.","$28,500"
15,2015 Chevrolet Colorado Z71,"40,510 mi.","$26,900"
16,2016 Chevrolet Colorado 4WD Z71,"34,275 mi.","$28,206"
17,2017 Chevrolet Colorado LT,"15,522 mi.","$31,990"
18,2018 Chevrolet Colorado LT,"7,512 mi.","$32,990"
19,2018 Chevrolet Colorado 4WD LT,"7,115 mi.","$34,900"
20,2016 Chevrolet Colorado LT,"43,113 mi.","$22,995"
21,2009 Chevrolet Colorado LT,"213,778 mi.","$2,652"
22,2015 Chevrolet Colorado LT,"45,144 mi.","$25,500"
23,2011 Chevrolet Colorado 2LT,"105,614 mi.","$16,950"
24,2015 Chevrolet Colorado LT,"46,808 mi.","$25,975"
25,2016 Chevrolet Colorado Z71,"52,583 mi.","$25,988"
26,2016 Chevrolet Colorado LT,"71,964 mi.","$22,995"
27,2015 Chevrolet Colorado Z71,"31,037 mi.","$29,990"
28,2015 Chevrolet Colorado LT,"31,759 mi.","$20,990"
29,2015 Chevrolet Colorado LT,"48,079 mi.","$23,990"
30,2015 Chevrolet Colorado Z71,"34,041 mi.","$26,695"
31,2018 Chevrolet Colorado LT,"21,711 mi.","$23,790"
32,2018 Chevrolet Colorado LT,"17,072 mi.","$25,998"
33,2016 Chevrolet Colorado Z71,"51,474 mi.","$24,951"
34,2009 Chevrolet Colorado LT Crew Cab,"73,636 mi.","$15,973"
35,2012 Chevrolet Colorado 1LT,"60,521 mi.","$14,995"
