,Name,Mileage,Price
0,1965 Chevrolet Corvair Monza,"54,496 mi.","$23,900"
1,1963 Chevrolet Corvair,"29,781 mi.","$25,973"
2,1962 Chevrolet Corvair Monza 900,"82,096 mi.","$19,988"
3,1964 Chevrolet Corvair,"3,500 mi.","$21,900"
4,1962 Chevrolet Corvair LAKEWOOD,"26,668 mi.","$10,980"
5,1965 Chevrolet Corvair 110,"14,000 mi.","$12,500"
6,1965 Chevrolet Corvair,"26,695 mi.","$8,895"
7,1966 Chevrolet Corvair Monza,"95,972 mi.",$950
8,1968 Chevrolet Corvair Series 500,"93,000 mi.","$12,000"
9,1963 Chevrolet Corvair Monza,"19,000 mi.","$2,500"
10,1964 Chevrolet Corvair,0 mi.,"$13,500"
11,1965 Chevrolet Corvair,0 mi.,"$5,995"
12,1962 Chevrolet Corvair,1 mi.,Not Priced
