,Name,Mileage,Price
0,2014 Chevrolet Corvette Stingray Z51,"30,791 mi.","$40,995"
1,2014 Chevrolet Corvette Stingray Base,"18,399 mi.","$40,981"
2,2014 Chevrolet Corvette Stingray Z51,"10,095 mi.","$45,000"
3,2014 Chevrolet Corvette Stingray Z51,"22,130 mi.","$44,990"
4,2014 Chevrolet Corvette Stingray Base,"8,294 mi.","$43,763"
5,2014 Chevrolet Corvette Stingray Z51,"32,152 mi.","$41,581"
6,2014 Chevrolet Corvette Stingray Base,"17,475 mi.","$41,400"
7,2014 Chevrolet Corvette Stingray Z51,"46,120 mi.","$37,000"
8,2014 Chevrolet Corvette Stingray Z51,"5,520 mi.","$44,824"
9,2014 Chevrolet Corvette Stingray Base,"13,839 mi.","$44,495"
10,2014 Chevrolet Corvette Stingray Z51,"5,333 mi.","$43,998"
11,2014 Chevrolet Corvette Stingray Z51,"14,906 mi.","$48,118"
12,2014 Chevrolet Corvette Stingray Z51,"32,526 mi.","$45,499"
13,2014 Chevrolet Corvette Stingray Z51,"3,880 mi.","$47,992"
14,2014 Chevrolet Corvette Stingray Z51,"9,465 mi.","$46,991"
15,2014 Chevrolet Corvette Stingray Z51,"9,033 mi.","$44,892"
16,2014 Chevrolet Corvette Stingray Z51,"21,391 mi.","$39,989"
17,2014 Chevrolet Corvette Stingray Z51,"15,684 mi.","$43,499"
18,2014 Chevrolet Corvette Stingray Base,"9,564 mi.","$41,998"
19,2014 Chevrolet Corvette Stingray Z51,"29,717 mi.","$39,995"
20,2014 Chevrolet Corvette Stingray Z51,"10,412 mi.","$46,938"
21,2014 Chevrolet Corvette Stingray Z51,"18,141 mi.","$41,687"
22,2014 Chevrolet Corvette Stingray Base,"56,192 mi.","$37,995"
23,2014 Chevrolet Corvette Stingray Z51,"18,333 mi.","$40,995"
24,2014 Chevrolet Corvette Stingray Z51,"18,227 mi.","$42,995"
25,2014 Chevrolet Corvette Stingray Z51,"36,263 mi.","$41,209"
26,2014 Chevrolet Corvette Stingray Z51,"12,098 mi.","$43,492"
27,2014 Chevrolet Corvette Stingray Z51,"41,418 mi.","$38,777"
28,2014 Chevrolet Corvette Stingray Z51,"30,264 mi.","$39,995"
29,2014 Chevrolet Corvette Stingray Base,"27,181 mi.","$39,888"
30,2014 Chevrolet Corvette Stingray Base,"17,765 mi.","$39,788"
31,2014 Chevrolet Corvette Stingray Z51,"18,758 mi.","$43,888"
32,2014 Chevrolet Corvette Stingray Z51,"14,452 mi.","$48,428"
33,2014 Chevrolet Corvette Stingray Z51,"45,121 mi.","$41,788"
34,2014 Chevrolet Corvette Stingray Base,"39,193 mi.","$39,888"
