,Name,Mileage,Price
0,2014 Chevrolet Cruze 1LT,"76,961 mi.","$7,874"
1,2015 Chevrolet Cruze 1LT,"64,859 mi.","$10,499"
2,2011 Chevrolet Cruze LT,"117,406 mi.","$6,988"
3,2016 Chevrolet Cruze Premier Auto,"33,289 mi.","$14,950"
4,2013 Chevrolet Cruze 1LT,"143,904 mi.","$6,498"
5,2017 Chevrolet Cruze LT,"50,731 mi.","$13,804"
6,2013 Chevrolet Cruze 1LT,"67,350 mi.","$8,998"
7,2017 Chevrolet Cruze LT,"32,947 mi.","$10,500"
8,2013 Chevrolet Cruze 1LT,"77,584 mi.","$8,750"
9,2018 Chevrolet Cruze LT,"7,277 mi.","$16,995"
10,2014 Chevrolet Cruze LTZ,"10,362 mi.","$13,900"
11,2015 Chevrolet Cruze LS,"52,000 mi.","$9,598"
12,2017 Chevrolet Cruze LT,"50,044 mi.","$13,507"
13,2015 Chevrolet Cruze LS,"98,699 mi.","$7,699"
14,2013 Chevrolet Cruze LS,"77,209 mi.","$8,500"
15,2012 Chevrolet Cruze LTZ,"99,653 mi.","$7,599"
16,2016 Chevrolet Cruze LS,"59,832 mi.","$10,404"
17,2014 Chevrolet Cruze 2LT,"90,906 mi.","$8,291"
18,2018 Chevrolet Cruze LT,18 mi.,"$19,999"
19,2018 Chevrolet Cruze LT,763 mi.,"$17,250"
20,2012 Chevrolet Cruze 2LT,"138,696 mi.","$7,193"
21,2015 Chevrolet Cruze LTZ,"44,142 mi.","$12,999"
22,2014 Chevrolet Cruze 1LT,"70,146 mi.","$9,451"
23,2012 Chevrolet Cruze 2LT,"63,212 mi.","$11,543"
24,2014 Chevrolet Cruze 1LT,"61,015 mi.","$10,000"
25,2017 Chevrolet Cruze LT,"21,201 mi.","$12,500"
26,2012 Chevrolet Cruze LS,"24,124 mi.","$9,523"
27,2014 Chevrolet Cruze Diesel,"55,773 mi.","$11,507"
28,2014 Chevrolet Cruze 1LT,"95,420 mi.","$6,690"
29,2017 Chevrolet Cruze LT,"3,971 mi.","$16,140"
30,2011 Chevrolet Cruze LT,"91,373 mi.","$6,450"
31,2013 Chevrolet Cruze LS,"105,038 mi.","$5,900"
32,2013 Chevrolet Cruze LS,"94,306 mi.","$6,459"
33,2014 Chevrolet Cruze 1LT,"57,083 mi.","$10,421"
34,2015 Chevrolet Cruze LS,"40,207 mi.","$10,500"
35,2012 Chevrolet Cruze 2LT,"119,375 mi.","$7,000"
36,2012 Chevrolet Cruze LS,"71,312 mi.","$7,200"
37,2012 Chevrolet Cruze ECO,"47,446 mi.","$9,274"
38,2018 Chevrolet Cruze LT,"11,985 mi.","$12,999"
39,2015 Chevrolet Cruze LS,"33,916 mi.","$8,999"
40,2014 Chevrolet Cruze 1LT,"76,151 mi.","$9,295"
41,2015 Chevrolet Cruze 1LT,"23,994 mi.","$11,960"
42,2015 Chevrolet Cruze 1LT,"60,148 mi.","$9,980"
43,2013 Chevrolet Cruze 1LT,"66,998 mi.","$8,983"
