,Name,Mileage,Price
0,1972 Chevrolet El Camino,"86,604 mi.","$21,998"
1,1971 Chevrolet El Camino,"3,147 mi.","$39,988"
2,1976 Chevrolet El Camino,"36,786 mi.","$9,977"
3,1977 Chevrolet El Camino,"104,791 mi.","$9,999"
4,1985 Chevrolet El Camino CONQUISTA,"124,000 mi.","$10,500"
5,1969 Chevrolet El Camino,"94,396 mi.","$32,900"
6,1985 Chevrolet El Camino Base 2dr Standard Cab,"112,000 mi.","$14,500"
7,1972 Chevrolet El Camino,"2,212 mi.","$29,900"
8,1972 Chevrolet El Camino,"72,731 mi.","$21,999"
9,1986 Chevrolet El Camino,"81,198 mi.","$44,999"
10,1984 Chevrolet El Camino 2dr Pickup SS,"31,417 mi.","$14,500"
11,1972 Chevrolet El Camino,"5,355 mi.","$35,900"
12,1968 Chevrolet El Camino,"99,173 mi.","$23,490"
13,1967 Chevrolet El Camino,"56,465 mi.","$22,990"
14,1984 Chevrolet El Camino 2dr Pickup,"59,135 mi.","$13,500"
15,1984 Chevrolet El Camino,"132,470 mi.","$7,500"
16,1964 Chevrolet El Camino,"43,490 mi.","$24,900"
17,1960 Chevrolet El Camino,"10,904 mi.","$39,999"
18,1965 Chevrolet El Camino,162 mi.,"$29,997"
19,1984 Chevrolet El Camino,736 mi.,"$24,995"
20,1974 Chevrolet El Camino Base,"63,000 mi.","$9,990"
21,1979 Chevrolet El Camino Royal Knight,"93,066 mi.","$25,000"
22,1985 Chevrolet El Camino Base 2dr Standard Cab,"47,810 mi.","$9,999"
23,1985 Chevrolet El Camino 2dr Pickup,"303,507 mi.","$4,995"
24,1965 Chevrolet El Camino,"1,869 mi.","$24,995"
25,1979 Chevrolet El Camino V8,"61,835 mi.","$9,999"
26,1975 Chevrolet El Camino,"7,032 mi.","$12,777"
27,1987 Chevrolet El Camino Pickup SS,"77,305 mi.","$6,995"
28,1966 Chevrolet El Camino El Camino,"38,365 mi.","$22,771"
29,1964 Chevrolet El Camino,"71,441 mi.","$16,995"
30,1987 Chevrolet El Camino,"80,741 mi.","$9,900"
31,1983 Chevrolet El Camino Base,"149,454 mi.","$10,995"
32,1981 Chevrolet El Camino Base,"11,601 mi.","$12,995"
33,1987 Chevrolet El Camino Pickup SS,"257,550 mi.","$5,999"
34,1972 Chevrolet El Camino,"39,227 mi.","$14,995"
35,1986 Chevrolet El Camino SS,"94,000 mi.","$13,000"
36,1987 Chevrolet El Camino,"53,000 mi.","$9,000"
37,1978 Chevrolet El Camino,"300,000 mi.","$2,700"
38,1972 Chevrolet El Camino,"75,719 mi.","$55,000"
39,1983 Chevrolet El Camino,"178,000 mi.","$9,000"
40,1987 Chevrolet El Camino SS,"130,888 mi.","$16,000"
41,1967 Chevrolet El Camino,"187,652 mi.","$20,000"
42,1987 Chevrolet El Camino,"7,500 mi.","$74,000"
43,1971 Chevrolet El Camino Beautiful Restoration & Ice Cold AC,0 mi.,"$23,450"
44,1966 Chevrolet El Camino,"81,627 mi.","$37,990"
45,1966 Chevrolet El Camino,"15,882 mi.","$16,900"
46,1970 Chevrolet El Camino,"93,328 mi.",Not Priced
47,1981 Chevrolet El Camino Base,0 mi.,"$4,989"
48,1970 Chevrolet El Camino,,"$14,950"
49,1973 Chevrolet El Camino,0 mi.,"$12,950"
50,1982 Chevrolet El Camino,"133,711 mi.","$8,199"
51,1976 Chevrolet El Camino,,"$14,995"
52,1972 Chevrolet El Camino,0 mi.,"$21,995"
53,1985 Chevrolet El Camino Base 2dr Standard Cab,"44,622 mi.",Not Priced
54,1970 Chevrolet El Camino Regular Cab 2WD,"72,868 mi.",Not Priced
