,Name,Mileage,Price
0,2017 Chevrolet Express 3500 LT,"28,603 mi.","$19,990"
1,2017 Chevrolet Express 3500 LT,"28,259 mi.","$20,536"
2,2018 Chevrolet Express 3500 LT,"22,204 mi.","$24,421"
3,2014 Chevrolet Express 3500 LT,"51,385 mi.","$17,994"
4,2018 Chevrolet Express 3500 LT,"16,943 mi.","$27,999"
5,2017 Chevrolet Express 3500 LT,"34,156 mi.","$20,991"
6,2014 Chevrolet Express 3500 LT,"69,417 mi.","$14,981"
7,2017 Chevrolet Express 3500 LT,"43,955 mi.","$21,000"
8,2017 Chevrolet Express 3500 LT,"42,693 mi.","$21,204"
9,2017 Chevrolet Express 3500 LT,"34,200 mi.","$22,818"
10,2017 Chevrolet Express 3500 LT,"23,289 mi.","$21,599"
11,2014 Chevrolet Express 3500 LT,"95,236 mi.","$17,999"
12,2017 Chevrolet Express 3500 LT,"39,172 mi.","$20,995"
13,2010 Chevrolet Express 3500 LT,"54,398 mi.","$16,981"
14,2014 Chevrolet Express 3500 LT,"67,027 mi.","$17,444"
15,2017 Chevrolet Express 3500 LT,"47,077 mi.","$21,288"
16,2017 Chevrolet Express 3500 LT,"34,268 mi.","$19,899"
17,2017 Chevrolet Express 3500 LT,"41,852 mi.","$19,499"
18,2012 Chevrolet Express 3500 LT,"133,393 mi.","$19,985"
19,2014 Chevrolet Express 3500 LT,"68,583 mi.","$19,294"
20,2015 Chevrolet Express 3500 LT,"36,616 mi.","$18,223"
21,2017 Chevrolet Express 3500 LT,"41,852 mi.","$19,499"
22,2017 Chevrolet Express 3500 LT,"27,058 mi.","$24,637"
23,2016 Chevrolet Express 3500 LT,"51,675 mi.","$20,228"
24,2018 Chevrolet Express 3500 LT,"23,236 mi.","$25,988"
25,2017 Chevrolet Express 3500 LT,"24,663 mi.","$23,588"
26,2017 Chevrolet Express 3500 LT,"52,697 mi.","$19,974"
27,2014 Chevrolet Express 3500 LT,"81,834 mi.","$17,990"
28,2017 Chevrolet Express 3500 LT,"56,969 mi.","$20,733"
29,2017 Chevrolet Express 3500 LT,"45,867 mi.","$21,993"
30,2011 Chevrolet Express 3500 LT,"49,568 mi.","$15,500"
31,2017 Chevrolet Express 3500 LT,"46,167 mi.","$20,789"
32,2013 Chevrolet Express 3500 LS,"23,422 mi.","$17,594"
33,2018 Chevrolet Express 3500 LT,"11,235 mi.","$30,999"
34,2017 Chevrolet Express 3500 LT,"41,591 mi.","$21,998"
35,2017 Chevrolet Express 3500 LT,"41,852 mi.","$19,499"
36,2017 Chevrolet Express 3500 Work Van,"46,809 mi.","$21,890"
37,2017 Chevrolet Express 3500 Work Van,"70,135 mi.","$20,970"
38,2014 Chevrolet Express 3500 LT,"43,895 mi.","$19,500"
39,2017 Chevrolet Express 3500 LT,"21,384 mi.","$21,995"
40,2008 Chevrolet Express 3500 Base,"379,207 mi.","$5,000"
41,2017 Chevrolet Express 3500 LT,"41,852 mi.","$19,499"
42,2017 Chevrolet Express 3500 LT,"43,558 mi.","$24,000"
43,2017 Chevrolet Express 3500 LT,"40,672 mi.","$19,999"
44,2017 Chevrolet Express 3500 LT,"43,877 mi.","$21,881"
45,2017 Chevrolet Express 3500 LT,"40,242 mi.","$23,434"
46,2018 Chevrolet Express 3500 LT,"14,816 mi.","$24,268"
47,2017 Chevrolet Express 3500 LT,"41,852 mi.","$19,499"
48,2016 Chevrolet Express 3500 LT,"60,116 mi.","$18,999"
49,2017 Chevrolet Express 3500 LT,"32,217 mi.","$25,997"
50,2009 Chevrolet Express 3500 LS,"100,544 mi.","$11,990"
51,2016 Chevrolet Express 3500 LT,"57,176 mi.","$18,871"
52,2016 Chevrolet Express 3500 LT,"42,420 mi.","$20,991"
53,2013 Chevrolet Express 3500 LT,"65,564 mi.","$17,494"
54,2017 Chevrolet Express 3500 LT,"11,778 mi.","$25,895"
55,2017 Chevrolet Express 3500 LT,"21,392 mi.","$23,000"
56,2017 Chevrolet Express 3500 LT,"42,956 mi.","$23,500"
57,2017 Chevrolet Express 3500 LT,"40,522 mi.","$24,635"
58,2017 Chevrolet Express 3500 LT,"36,736 mi.","$24,497"
59,2018 Chevrolet Express 3500 LT,"5,749 mi.","$25,200"
60,2018 Chevrolet Express 3500 LT,"15,119 mi.","$23,300"
61,2014 Chevrolet Express 3500 LT,"93,646 mi.","$14,636"
62,2017 Chevrolet Express 3500 LT,"20,347 mi.","$25,750"
63,2017 Chevrolet Express 3500 LT,"45,491 mi.","$22,000"
64,2017 Chevrolet Express 3500 LT,"60,094 mi.","$22,000"
65,2014 Chevrolet Express 3500 LT,"73,532 mi.","$18,700"
66,2010 Chevrolet Express 3500 LT,"60,672 mi.","$14,994"
67,2017 Chevrolet Express 3500 LT,"40,068 mi.","$20,899"
68,2017 Chevrolet Express 3500 LT,"36,547 mi.","$20,999"
69,2017 Chevrolet Express 3500 LT,"40,476 mi.","$20,899"
70,2017 Chevrolet Express 3500 LT,"34,268 mi.","$19,899"
71,2017 Chevrolet Express 3500 LT,"24,683 mi.","$20,499"
72,2017 Chevrolet Express 3500 LT,"21,275 mi.","$21,978"
73,2010 Chevrolet Express 3500 LT,"35,462 mi.","$16,900"
74,2010 Chevrolet Express 3500 LT,"43,429 mi.","$15,700"
75,2014 Chevrolet Express 3500 LT,"73,922 mi.","$18,900"
76,2018 Chevrolet Express 3500 LT,"11,169 mi.","$26,988"
77,2016 Chevrolet Express 3500 LT,"56,029 mi.","$18,479"
78,2018 Chevrolet Express 3500 LT,"11,646 mi.","$26,675"
79,2018 Chevrolet Express 3500 LT,"33,152 mi.","$22,999"
80,2018 Chevrolet Express 3500 LT,"20,485 mi.","$24,894"
81,2017 Chevrolet Express 3500 LT,"43,183 mi.","$20,899"
82,2017 Chevrolet Express 3500 LT,"40,068 mi.","$20,899"
83,2017 Chevrolet Express 3500 LT,"31,244 mi.","$24,477"
84,2011 Chevrolet Express 3500 LT,"33,874 mi.","$16,752"
85,2011 Chevrolet Express 3500 LT,"46,316 mi.","$17,495"
86,2017 Chevrolet Express 3500 LT,"25,971 mi.","$22,988"
87,2018 Chevrolet Express 3500 LT,"13,370 mi.","$28,835"
88,2016 Chevrolet Express 3500 LT,"17,065 mi.","$22,750"
89,2013 Chevrolet Express 3500 LT,"78,064 mi.","$17,200"
90,2017 Chevrolet Express 3500 LT,"23,601 mi.","$22,995"
