,Name,Mileage,Price
0,2014 Chevrolet Impala Limited LT,"74,902 mi.","$9,000"
1,2015 Chevrolet Impala Limited LT,"78,774 mi.","$8,488"
2,2016 Chevrolet Impala Limited LTZ,"42,391 mi.","$11,992"
3,2016 Chevrolet Impala Limited LT,"83,932 mi.","$7,990"
4,2016 Chevrolet Impala Limited LS,"81,830 mi.","$8,290"
5,2016 Chevrolet Impala Limited LS,"86,618 mi.","$9,099"
6,2016 Chevrolet Impala Limited LT,"85,020 mi.","$8,299"
7,2014 Chevrolet Impala Limited LS,"68,750 mi.","$10,066"
8,2014 Chevrolet Impala Limited LS,"71,240 mi.","$9,592"
9,2015 Chevrolet Impala Limited LT,"37,663 mi.","$12,241"
10,2014 Chevrolet Impala Limited LT,"61,794 mi.","$10,854"
11,2016 Chevrolet Impala Limited LTZ,"28,716 mi.","$14,824"
12,2015 Chevrolet Impala Limited LTZ,"47,316 mi.","$12,979"
13,2014 Chevrolet Impala Limited LS,"50,180 mi.","$10,995"
14,2014 Chevrolet Impala Limited LT,"83,725 mi.","$11,000"
15,2015 Chevrolet Impala Limited LT,"43,330 mi.","$13,000"
16,2014 Chevrolet Impala Limited LTZ,"114,574 mi.","$8,788"
17,2014 Chevrolet Impala Limited LT,"69,150 mi.","$10,788"
18,2016 Chevrolet Impala Limited LTZ,"73,866 mi.","$11,000"
19,2016 Chevrolet Impala Limited LTZ,"45,070 mi.","$18,377"
20,2016 Chevrolet Impala Limited Police,"19,789 mi.","$12,971"
21,2014 Chevrolet Impala Limited LTZ,"66,223 mi.","$8,999"
22,2014 Chevrolet Impala Limited LT,"62,305 mi.","$10,549"
23,2014 Chevrolet Impala Limited LT,"74,967 mi.","$9,382"
24,2016 Chevrolet Impala Limited LTZ,"53,514 mi.","$15,394"
25,2014 Chevrolet Impala Limited LT,"41,415 mi.","$11,545"
26,2016 Chevrolet Impala Limited LT,"49,696 mi.","$11,998"
27,2016 Chevrolet Impala Limited LTZ,"31,661 mi.","$14,000"
28,2014 Chevrolet Impala Limited LT,"58,727 mi.","$10,291"
29,2014 Chevrolet Impala Limited LT,"77,729 mi.","$9,989"
30,2016 Chevrolet Impala Limited LTZ,"44,978 mi.","$13,829"
31,2014 Chevrolet Impala Limited LS,"57,090 mi.","$9,418"
32,2016 Chevrolet Impala Limited LT,"51,170 mi.","$12,000"
33,2015 Chevrolet Impala Limited LS,"73,907 mi.","$9,992"
34,2014 Chevrolet Impala Limited LT,"80,947 mi.","$9,777"
35,2014 Chevrolet Impala Limited LTZ,"59,945 mi.","$9,322"
36,2014 Chevrolet Impala Limited LT,"79,608 mi.","$9,498"
37,2014 Chevrolet Impala Limited LT,"85,363 mi.","$9,403"
38,2016 Chevrolet Impala Limited LT,"61,097 mi.","$12,425"
39,2014 Chevrolet Impala Limited LT,"82,632 mi.","$7,994"
40,2015 Chevrolet Impala Limited LT,"50,396 mi.","$11,898"
41,2015 Chevrolet Impala Limited LT,"36,078 mi.","$18,492"
42,2014 Chevrolet Impala Limited LT,"62,373 mi.","$10,987"
43,2014 Chevrolet Impala Limited LT,"32,784 mi.","$14,998"
44,2015 Chevrolet Impala Limited LTZ,"40,564 mi.","$14,500"
45,2014 Chevrolet Impala Limited LS,"116,118 mi.","$7,999"
46,2015 Chevrolet Impala Limited LS,"78,789 mi.","$9,995"
47,2014 Chevrolet Impala Limited LTZ,"54,151 mi.","$11,800"
48,2014 Chevrolet Impala Limited LT,"30,984 mi.","$13,986"
49,2016 Chevrolet Impala Limited LTZ,"37,322 mi.","$14,590"
50,2014 Chevrolet Impala Limited LT,"70,008 mi.","$10,443"
51,2015 Chevrolet Impala Limited LT,"63,520 mi.","$12,749"
52,2016 Chevrolet Impala Limited LT,"74,760 mi.","$10,886"
53,2014 Chevrolet Impala Limited LTZ,"51,323 mi.","$12,992"
54,2016 Chevrolet Impala Limited LT,"40,488 mi.","$12,000"
55,2014 Chevrolet Impala Limited LT,"98,143 mi.","$8,873"
56,2014 Chevrolet Impala Limited LS,"119,585 mi.","$7,900"
57,2014 Chevrolet Impala Limited LT,"93,377 mi.","$8,000"
58,2015 Chevrolet Impala Limited LT,"32,425 mi.","$14,495"
59,2016 Chevrolet Impala Limited,"77,928 mi.","$9,990"
60,2016 Chevrolet Impala Limited LTZ,"33,011 mi.","$14,900"
61,2016 Chevrolet Impala Limited LTZ,"38,961 mi.","$16,965"
62,2014 Chevrolet Impala Limited LTZ,"98,228 mi.","$10,995"
63,2014 Chevrolet Impala Limited LTZ,"100,562 mi.","$8,495"
64,2015 Chevrolet Impala Limited LT,"65,969 mi.","$11,500"
65,2014 Chevrolet Impala Limited LT,"87,292 mi.","$9,450"
66,2015 Chevrolet Impala Limited LT,"48,123 mi.","$11,995"
67,2016 Chevrolet Impala Limited LT,"71,000 mi.","$12,000"
68,2015 Chevrolet Impala Limited LT,"72,343 mi.","$10,600"
69,2015 Chevrolet Impala Limited LT,"80,958 mi.","$10,000"
70,2014 Chevrolet Impala Limited LT,"49,838 mi.","$9,997"
71,2014 Chevrolet Impala Limited LT,"56,150 mi.","$8,991"
72,2015 Chevrolet Impala Limited LS,"53,926 mi.","$10,391"
73,2016 Chevrolet Impala Limited LTZ,"40,824 mi.","$14,300"
74,2014 Chevrolet Impala Limited LTZ,"59,983 mi.","$11,800"
75,2016 Chevrolet Impala Limited LTZ,"37,645 mi.","$15,554"
76,2016 Chevrolet Impala Limited LTZ,"50,219 mi.","$12,887"
77,2014 Chevrolet Impala Limited LTZ,"76,911 mi.","$11,500"
78,2016 Chevrolet Impala Limited LTZ,"50,172 mi.","$13,500"
79,2014 Chevrolet Impala Limited LT,"63,147 mi.","$9,995"
80,2014 Chevrolet Impala Limited LT,"67,339 mi.","$8,341"
81,2014 Chevrolet Impala Limited LT,"111,046 mi.","$6,090"
82,2014 Chevrolet Impala Limited LT,"46,296 mi.","$11,995"
83,2014 Chevrolet Impala Limited LTZ,"38,477 mi.","$10,997"
84,2016 Chevrolet Impala Limited LT,"53,026 mi.","$11,249"
85,2016 Chevrolet Impala Limited LT,"68,066 mi.","$11,250"
86,2014 Chevrolet Impala Limited LT,"103,798 mi.","$9,500"
87,2014 Chevrolet Impala Limited LT,"62,471 mi.","$12,598"
88,2014 Chevrolet Impala Limited LT,"35,598 mi.","$11,000"
89,2014 Chevrolet Impala Limited LT,"35,598 mi.","$11,000"
90,2014 Chevrolet Impala Limited LS,"83,122 mi.","$8,290"
91,2014 Chevrolet Impala Limited LT,"65,688 mi.","$10,930"
92,2014 Chevrolet Impala Limited LTZ,"59,803 mi.","$12,770"
93,2014 Chevrolet Impala Limited LT,"79,478 mi.","$6,900"
94,2016 Chevrolet Impala Limited LT,"37,366 mi.","$13,950"
95,2016 Chevrolet Impala Limited LT,"43,802 mi.","$12,488"
96,2014 Chevrolet Impala Limited LS,"67,850 mi.","$9,521"
