,Name,Mileage,Price
0,1999 Chevrolet Lumina Base,"157,136 mi.","$1,800"
1,1997 Chevrolet Lumina LS,"122,178 mi.","$2,000"
2,1995 Chevrolet Lumina LS,"100,365 mi.","$2,973"
3,1998 Chevrolet Lumina LS,"98,692 mi.","$2,750"
4,1995 Chevrolet Lumina LS 4dr Sedan,"131,422 mi.","$1,999"
5,1998 Chevrolet Lumina LTZ,"233,910 mi.","$1,500"
6,1998 Chevrolet Lumina,"80,466 mi.","$2,800"
7,1998 Chevrolet Lumina 4dr Sdn,"111,733 mi.","$2,499"
8,1999 Chevrolet Lumina LS,"92,681 mi.","$2,999"
9,1995 Chevrolet Lumina 4dr Sedan,"116,018 mi.","$2,695"
10,1996 Chevrolet Lumina Sedan,"49,314 mi.","$3,995"
11,1999 Chevrolet Lumina 4dr Sdn,"212,563 mi.","$1,295"
12,1998 Chevrolet Lumina,"157,173 mi.","$2,900"
13,1999 Chevrolet Lumina 4dr Sdn,"145,500 mi.",$300
14,1995 Chevrolet Lumina 4dr Sedan,"151,843 mi.",$995
15,1991 Chevrolet Lumina Euro,"69,695 mi.","$3,113"
16,2001 Chevrolet Lumina Base,"294,103 mi.","$3,995"
17,2000 Chevrolet Lumina 4dr Sdn,"170,705 mi.",$995
18,1998 Chevrolet Lumina 4dr Sdn,"166,961 mi.","$1,350"
19,1994 Chevrolet Lumina 4dr Sedan,"125,673 mi.","$2,450"
20,1997 Chevrolet Lumina,"151,228 mi.","$2,500"
21,1996 Chevrolet Lumina Base,"84,828 mi.","$2,499"
22,1997 Chevrolet Lumina Base,"147,154 mi.",$895
23,1997 Chevrolet Lumina LS,"124,471 mi.","$1,500"
24,2001 Chevrolet Lumina 4dr Sdn,"174,592 mi.",Not Priced
25,1998 Chevrolet Lumina LTZ,"83,525 mi.",Not Priced
26,1993 Chevrolet Lumina Base,"125,228 mi.",$895
27,1998 Chevrolet Lumina BASE,"115,300 mi.","$2,995"
28,2001 Chevrolet Lumina 4dr Sdn,"175,626 mi.",Not Priced
29,1993 Chevrolet Lumina Base,0 mi.,Not Priced
30,1998 Chevrolet Lumina Base,"134,019 mi.","$1,995"
31,1997 Chevrolet Lumina LS,"163,359 mi.",Not Priced
32,1999 Chevrolet Lumina,"200,000 mi.",Not Priced
