,Name,Mileage,Price
0,2008 Chevrolet Malibu Classic LS Fleet,"153,928 mi.","$4,000"
1,2008 Chevrolet Malibu Classic LT,"130,635 mi.","$3,995"
2,2008 Chevrolet Malibu Classic LT,"111,569 mi.","$2,999"
3,2008 Chevrolet Malibu Classic LT,"134,081 mi.","$4,999"
4,2008 Chevrolet Malibu Classic LT,"58,315 mi.","$8,500"
5,2008 Chevrolet Malibu Classic LT,"144,220 mi.","$3,498"
6,2008 Chevrolet Malibu Classic LS w/2FL,"133,801 mi.","$6,295"
7,2008 Chevrolet Malibu Classic LT,"79,659 mi.","$5,999"
8,2008 Chevrolet Malibu Classic LT,"119,418 mi.","$4,495"
9,2008 Chevrolet Malibu Classic LT,"78,500 mi.","$4,755"
10,2008 Chevrolet Malibu Classic LT,"116,677 mi.","$5,000"
11,2008 Chevrolet Malibu Classic LT,"131,000 mi.","$4,495"
12,2008 Chevrolet Malibu Classic LT,"58,642 mi.","$5,987"
13,2008 Chevrolet Malibu Classic LT,"163,270 mi.","$2,995"
14,2008 Chevrolet Malibu Classic LT,"85,800 mi.","$7,950"
15,2008 Chevrolet Malibu Classic LT,"140,000 mi.","$2,900"
16,2008 Chevrolet Malibu Classic LT,"171,000 mi.","$2,800"
17,2008 Chevrolet Malibu Classic LT,0 mi.,Not Priced
18,2008 Chevrolet Malibu Classic LS Fleet,"152,000 mi.",Not Priced
19,2008 Chevrolet Malibu Classic LT,"83,490 mi.",Not Priced
20,2008 Chevrolet Malibu Classic LT,"83,490 mi.",Not Priced
21,2008 Chevrolet Malibu Classic LT,"135,014 mi.",Not Priced
22,2008 Chevrolet Malibu Classic LT,"211,098 mi.","$3,000"
