,Name,Mileage,Price
0,2007 Chevrolet Monte Carlo LT,"84,903 mi.","$6,500"
1,2006 Chevrolet Monte Carlo LT 3.5L,"178,661 mi.","$4,945"
2,2007 Chevrolet Monte Carlo LT,"89,889 mi.","$5,495"
3,2006 Chevrolet Monte Carlo LTZ,"38,225 mi.","$8,950"
4,2004 Chevrolet Monte Carlo SS Supercharged,"150,064 mi.","$5,992"
5,2006 Chevrolet Monte Carlo LTZ,"235,902 mi.","$2,495"
6,2007 Chevrolet Monte Carlo LT,"132,520 mi.","$6,998"
7,2006 Chevrolet Monte Carlo LTZ,"157,010 mi.","$5,000"
8,2006 Chevrolet Monte Carlo LT,"95,787 mi.","$3,995"
9,2004 Chevrolet Monte Carlo LS,"142,738 mi.","$3,250"
10,2000 Chevrolet Monte Carlo SS,"208,370 mi.","$3,248"
11,2007 Chevrolet Monte Carlo SS,"107,999 mi.","$7,988"
12,2006 Chevrolet Monte Carlo LTZ,"156,815 mi.","$2,958"
13,2002 Chevrolet Monte Carlo SS,"78,561 mi.","$8,900"
14,1995 Chevrolet Monte Carlo Z34,"37,749 mi.","$9,599"
15,1999 Chevrolet Monte Carlo LS,"106,000 mi.","$2,750"
16,2005 Chevrolet Monte Carlo LT,"104,889 mi.","$4,994"
17,1995 Chevrolet Monte Carlo LS,"198,095 mi.","$1,379"
18,2003 Chevrolet Monte Carlo SS,"142,466 mi.","$2,995"
19,2001 Chevrolet Monte Carlo LS,"188,160 mi.","$2,922"
20,2004 Chevrolet Monte Carlo SS Supercharged,"106,630 mi.","$7,400"
21,2001 Chevrolet Monte Carlo SS,"138,198 mi.","$6,400"
22,2006 Chevrolet Monte Carlo LT,"78,625 mi.","$4,799"
23,2004 Chevrolet Monte Carlo Supercharged SS,"109,192 mi.","$4,499"
24,2005 Chevrolet Monte Carlo LT,"148,680 mi.","$4,695"
25,2004 Chevrolet Monte Carlo SS,"117,920 mi.","$5,500"
26,2001 Chevrolet Monte Carlo SS,"148,130 mi.","$3,499"
27,2007 Chevrolet Monte Carlo LT,"133,000 mi.","$4,799"
28,2007 Chevrolet Monte Carlo LS,"75,818 mi.","$7,339"
29,1999 Chevrolet Monte Carlo LS,"135,197 mi.","$2,988"
30,2006 Chevrolet Monte Carlo LT 3.5L,"106,632 mi.","$4,153"
31,2004 Chevrolet Monte Carlo SS Supercharged,"115,191 mi.","$5,990"
32,2003 Chevrolet Monte Carlo SS,"148,692 mi.","$3,800"
33,2007 Chevrolet Monte Carlo LT,"135,399 mi.","$6,900"
34,2005 Chevrolet Monte Carlo LS,"57,667 mi.","$6,995"
35,2004 Chevrolet Monte Carlo SS,"163,843 mi.","$4,991"
36,2005 Chevrolet Monte Carlo LS,"130,534 mi.","$3,998"
37,2007 Chevrolet Monte Carlo LT,"90,952 mi.","$5,995"
38,2006 Chevrolet Monte Carlo SS,"91,345 mi.","$7,700"
39,2004 Chevrolet Monte Carlo LS,"192,870 mi.","$2,000"
40,2006 Chevrolet Monte Carlo LT 3.9L,"114,157 mi.","$4,977"
41,2005 Chevrolet Monte Carlo SS Supercharged,"20,084 mi.","$15,500"
42,2006 Chevrolet Monte Carlo SS,"85,444 mi.","$9,500"
43,2007 Chevrolet Monte Carlo LS,"116,506 mi.","$4,900"
44,2007 Chevrolet Monte Carlo LT,"46,733 mi.","$6,495"
45,2006 Chevrolet Monte Carlo LTZ,"100,649 mi.","$6,800"
46,2006 Chevrolet Monte Carlo LS,"91,943 mi.","$4,750"
47,2001 Chevrolet Monte Carlo SS,"101,560 mi.","$3,384"
48,2002 Chevrolet Monte Carlo SS,"18,419 mi.","$13,998"
