,Name,Mileage,Price
0,1998 Chevrolet Prizm LSi,"183,355 mi.","$1,400"
1,2001 Chevrolet Prizm Base,"87,214 mi.","$4,453"
2,1998 Chevrolet Prizm 4dr Sdn,"47,000 mi.","$4,995"
3,2002 Chevrolet Prizm LSi,"126,282 mi.","$2,500"
4,2000 Chevrolet Prizm 4dr Sdn,"114,476 mi.","$3,495"
5,2002 Chevrolet Prizm LSi,"77,547 mi.","$3,850"
6,2001 Chevrolet Prizm Base,"193,007 mi.","$1,200"
7,2002 Chevrolet Prizm LSi,"156,741 mi.","$2,950"
8,2000 Chevrolet Prizm LSi,"110,416 mi.","$3,499"
9,2002 Chevrolet Prizm LSi,"92,000 mi.","$2,495"
10,2001 Chevrolet Prizm 4dr Sdn,"96,243 mi.","$2,995"
11,2000 Chevrolet Prizm 4dr Sdn,"169,375 mi.","$1,995"
12,2002 Chevrolet Prizm 4dr Sdn,"27,473 mi.","$7,995"
13,2000 Chevrolet Prizm 4dr Sdn,"132,829 mi.","$1,800"
14,2001 Chevrolet Prizm LSi,"129,000 mi.","$1,995"
15,2001 Chevrolet Prizm LSi,"92,400 mi.","$1,900"
16,2001 Chevrolet Prizm,"123,000 mi.","$2,400"
17,1998 Chevrolet Prizm 4dr Sdn,0 mi.,Not Priced
