,Name,Mileage,Price
0,2003 Chevrolet S-10 LS,"81,903 mi.","$7,488"
1,"2000 Chevrolet S-10 Ext Cab 123"" WB","89,166 mi.","$6,990"
2,2001 Chevrolet S-10 LS,"27,337 mi.","$7,944"
3,2001 Chevrolet S-10 LS,"132,697 mi.","$6,399"
4,2003 Chevrolet S-10 LS,"138,109 mi.","$7,998"
5,1991 Chevrolet S-10 6,"185,785 mi.","$1,995"
6,2000 Chevrolet S-10 LS Extended Cab,"83,839 mi.","$8,495"
7,"2002 Chevrolet S-10 Ext Cab 123"" WB","118,093 mi.","$4,998"
8,2003 Chevrolet S-10 LS,"168,374 mi.","$3,991"
9,2000 Chevrolet S-10 LS,"108,047 mi.","$4,950"
10,2003 Chevrolet S-10 LS,"196,555 mi.","$4,995"
11,2000 Chevrolet S-10 LS,"114,550 mi.","$4,988"
12,2001 Chevrolet S-10 LS w/ZR2,"166,474 mi.","$5,988"
13,2001 Chevrolet S-10 LS,"129,921 mi.","$5,999"
14,"1995 Chevrolet S-10 Reg Cab 108.3"""" WB","92,387 mi.","$3,999"
15,2003 Chevrolet S-10 LS,"136,305 mi.","$3,750"
16,2002 Chevrolet S-10 LS,"94,592 mi.","$5,955"
17,1994 Chevrolet S-10 Base,"72,049 mi.","$3,704"
18,2004 Chevrolet S-10 LS,"200,510 mi.","$4,495"
19,2000 Chevrolet S-10 LS w/ZR2,"52,000 mi.","$4,495"
20,2002 Chevrolet S-10 LS,"130,887 mi.","$5,990"
21,2002 Chevrolet S-10 Base,"74,160 mi.","$5,995"
22,2002 Chevrolet S-10 LS Crew Cab,"106,331 mi.","$5,997"
23,2003 Chevrolet S-10 LS,"132,910 mi.","$4,995"
24,2003 Chevrolet S-10 LS,"91,078 mi.","$8,965"
25,2001 Chevrolet S-10 LS Extended Cab,"136,027 mi.","$4,695"
26,2002 Chevrolet S-10 Base,"115,570 mi.","$3,988"
27,1994 Chevrolet S-10,"200,083 mi.","$3,786"
28,1997 Chevrolet S-10 LS,"57,337 mi.","$7,995"
29,2000 Chevrolet S-10 LS Extended Cab,"141,299 mi.","$5,000"
30,2000 Chevrolet S-10 Base,"126,211 mi.","$3,500"
31,2003 Chevrolet S-10 LS,"66,958 mi.","$10,987"
32,2003 Chevrolet S-10 LS,"125,069 mi.","$6,995"
33,2001 Chevrolet S-10 LS,"149,579 mi.","$4,795"
34,2002 Chevrolet S-10 LS,"133,776 mi.","$4,897"
35,2003 Chevrolet S-10 LS,"151,856 mi.","$4,995"
36,2002 Chevrolet S-10 LS,"173,576 mi.","$3,995"
37,2001 Chevrolet S-10 LS,"125,371 mi.","$6,990"
38,2001 Chevrolet S-10 LS,"249,963 mi.","$3,495"
39,1997 Chevrolet S-10 Base,"130,102 mi.","$6,000"
40,2003 Chevrolet S-10 LS,"79,000 mi.","$11,390"
41,1986 Chevrolet S-10 Fleetside WB,159 mi.,"$16,900"
42,2002 Chevrolet S-10 LS,"169,048 mi.","$2,573"
43,1998 Chevrolet S-10 LS,"59,868 mi.","$8,590"
44,2001 Chevrolet S-10 LS,"198,649 mi.","$5,995"
45,2001 Chevrolet S-10 LS w/ZR2,"164,725 mi.","$5,995"
46,2004 Chevrolet S-10 LS,"133,683 mi.","$4,995"
47,1997 Chevrolet S-10 LS,"151,751 mi.","$1,995"
48,"2003 Chevrolet S-10 Ext Cab 123"" WB 4WD","116,716 mi.","$6,990"
49,1997 Chevrolet S-10 LS,"47,268 mi.","$11,500"
50,2003 Chevrolet S-10 LS,"227,066 mi.","$3,995"
51,1999 Chevrolet S-10 LS,"120,543 mi.","$4,495"
52,1998 Chevrolet S-10 LS,"95,023 mi.","$6,999"
53,1999 Chevrolet S-10 LS,"245,001 mi.","$1,133"
54,2003 Chevrolet S-10 LS,"140,888 mi.","$3,100"
55,2003 Chevrolet S-10 LS,"184,565 mi.","$7,999"
56,2000 Chevrolet S-10 LS,"248,516 mi.","$2,999"
57,2000 Chevrolet S-10 LS,"162,430 mi.","$2,495"
58,2000 Chevrolet S-10 LS,"165,477 mi.","$3,995"
59,"1999 Chevrolet S-10 Reg Cab 108"" WB","102,265 mi.","$2,544"
60,1999 Chevrolet S-10 LS,"114,000 mi.","$4,995"
61,"1998 Chevrolet S-10 Reg Cab 108"" WB","146,228 mi.","$3,500"
62,1997 Chevrolet S-10 LS Extended Cab,"109,308 mi.","$4,955"
63,2002 Chevrolet S-10 LS,"194,700 mi.","$7,995"
64,1997 Chevrolet S-10 LS,"149,799 mi.","$4,499"
65,2002 Chevrolet S-10 LS,"185,209 mi.","$3,999"
66,1998 Chevrolet S-10 LS,"142,309 mi.","$4,990"
67,1996 Chevrolet S-10 LS,"185,245 mi.","$4,995"
68,2001 Chevrolet S-10 LS,"98,120 mi.","$5,999"
69,2000 Chevrolet S-10 LS 2dr Extended Cab SB,"121,695 mi.","$5,499"
70,1989 Chevrolet S-10,"153,215 mi.","$2,995"
71,2000 Chevrolet S-10 LS Extended Cab,"121,294 mi.","$2,999"
72,2003 Chevrolet S-10 LS,"157,449 mi.","$4,495"
73,1995 Chevrolet S-10 LS,"152,947 mi.","$3,900"
74,2001 Chevrolet S-10 LS 4dr Crew Cab 4WD SB,"131,052 mi.","$5,995"
75,2001 Chevrolet S-10 LS,"177,200 mi.","$4,600"
76,2000 Chevrolet S-10 LS Extended Cab,"109,225 mi.","$4,776"
77,2001 Chevrolet S-10 LS,"103,280 mi.","$7,995"
78,1999 Chevrolet S-10 LS Extended Cab,"160,819 mi.","$3,594"
79,2000 Chevrolet S-10 LS Extended Cab,"102,648 mi.","$4,999"
80,2004 Chevrolet S-10 LS Crew Cab,"134,103 mi.","$4,995"
81,2001 Chevrolet S-10 LS Extended Cab,"126,263 mi.","$5,195"
82,2001 Chevrolet S-10 LS,"137,048 mi.","$5,979"
83,1991 Chevrolet S-10,"7,853 mi.","$15,500"
84,1991 Chevrolet S-10 6',"187,585 mi.","$1,995"
85,2003 Chevrolet S-10 LS,"148,944 mi.","$3,585"
86,1995 Chevrolet S-10 Reg. Cab Short Bed 2WD,"100,400 mi.","$2,495"
87,1999 Chevrolet S-10 LS,"185,428 mi.","$4,995"
88,2001 Chevrolet S-10 LS Xtreme,"170,003 mi.","$7,995"
89,2001 Chevrolet S-10 LS w/ZR2,"137,340 mi.","$7,495"
90,2000 Chevrolet S-10 LS,"177,405 mi.","$2,050"
91,2003 Chevrolet S-10 LS,"135,487 mi.","$6,995"
92,2003 Chevrolet S-10 LS,"108,251 mi.","$7,510"
93,2000 Chevrolet S-10,"125,188 mi.","$4,450"
94,2002 Chevrolet S-10 LS,"213,000 mi.","$2,995"
95,2001 Chevrolet S-10 LS,"100,679 mi.","$5,995"
96,2000 Chevrolet S-10 LS,"158,419 mi.","$2,150"
97,1998 Chevrolet S-10 LS,"140,106 mi.","$3,960"
98,2000 Chevrolet S-10,"108,474 mi.","$6,995"
99,2000 Chevrolet S-10 LS Extended Cab,"149,788 mi.","$4,250"
100,2004 Chevrolet S-10 LS,"127,258 mi.","$5,895"
101,1995 Chevrolet S-10 LS Extended Cab,"259,056 mi.","$2,995"
102,2001 Chevrolet S-10 LS,"122,288 mi.","$5,800"
103,1995 Chevrolet S-10 Base,"66,495 mi.","$5,975"
104,2003 Chevrolet S-10 LS,"43,611 mi.","$8,900"
105,1996 Chevrolet S-10 LS 2dr Standard Cab SB,"72,200 mi.","$7,995"
106,2000 Chevrolet S-10 LS,"162,592 mi.","$3,584"
107,1997 Chevrolet S-10 LS Extended Cab,"92,223 mi.","$3,990"
108,2001 Chevrolet S-10 LS Extended Cab,"159,888 mi.","$2,499"
109,2001 Chevrolet S-10 LS,"227,169 mi.","$2,995"
110,1997 Chevrolet S-10 LS,"107,288 mi.","$5,500"
111,2001 Chevrolet S-10 LS,"71,312 mi.","$6,000"
