,Name,Mileage,Price
0,2009 Chevrolet Tahoe Hybrid Base,"135,534 mi.","$10,995"
1,2009 Chevrolet Tahoe Hybrid 4WD 4dr,"124,257 mi.","$14,000"
2,2009 Chevrolet Tahoe Hybrid Base,"119,010 mi.","$12,995"
3,2008 Chevrolet Tahoe Hybrid Base,"175,239 mi.","$14,287"
4,2011 Chevrolet Tahoe Hybrid Base,"117,041 mi.","$16,900"
5,2008 Chevrolet Tahoe Hybrid Base,"133,038 mi.","$13,495"
6,2008 Chevrolet Tahoe Hybrid,"179,389 mi.","$12,000"
7,2010 Chevrolet Tahoe Hybrid Base,"121,243 mi.","$15,000"
8,2009 Chevrolet Tahoe Hybrid Base,"169,558 mi.","$9,696"
9,2008 Chevrolet Tahoe Hybrid Base,"176,350 mi.","$11,990"
10,2012 Chevrolet Tahoe Hybrid,"174,152 mi.","$17,979"
11,2008 Chevrolet Tahoe Hybrid Base,"137,200 mi.","$12,900"
12,2009 Chevrolet Tahoe Hybrid Base,"151,377 mi.","$9,999"
13,2012 Chevrolet Tahoe Hybrid Base,"97,322 mi.","$18,995"
14,2008 Chevrolet Tahoe Hybrid Base,"170,495 mi.","$9,950"
15,2008 Chevrolet Tahoe Hybrid Base,"147,050 mi.","$11,995"
16,2009 Chevrolet Tahoe Hybrid Base,"161,539 mi.","$12,895"
17,2008 Chevrolet Tahoe Hybrid Base,"127,773 mi.","$13,999"
18,2011 Chevrolet Tahoe Hybrid Base,"104,654 mi.","$16,500"
19,2011 Chevrolet Tahoe Hybrid Base,"134,002 mi.","$13,227"
20,2008 Chevrolet Tahoe Hybrid Base,"134,604 mi.","$12,500"
21,2008 Chevrolet Tahoe Hybrid Base,"136,973 mi.","$10,800"
22,2008 Chevrolet Tahoe Hybrid Base,"173,990 mi.","$11,955"
23,2013 Chevrolet Tahoe Hybrid Base,"132,719 mi.","$17,900"
24,2009 Chevrolet Tahoe Hybrid Base,"133,577 mi.","$9,495"
25,2008 Chevrolet Tahoe Hybrid Base,"119,375 mi.","$14,280"
26,2008 Chevrolet Tahoe Hybrid Base,"175,799 mi.","$12,999"
27,2011 Chevrolet Tahoe Hybrid,"116,977 mi.","$15,988"
28,2009 Chevrolet Tahoe Hybrid Hybrid,"174,643 mi.","$11,580"
29,2008 Chevrolet Tahoe Hybrid,"103,744 mi.","$13,500"
30,2008 Chevrolet Tahoe Hybrid,"208,082 mi.","$7,900"
31,2008 Chevrolet Tahoe Hybrid Base,"125,050 mi.","$16,998"
32,2009 Chevrolet Tahoe Hybrid,"145,167 mi.","$10,500"
33,2008 Chevrolet Tahoe Hybrid,"137,744 mi.","$9,993"
34,2013 Chevrolet Tahoe Hybrid,"62,727 mi.","$24,962"
35,2013 Chevrolet Tahoe Hybrid,"86,126 mi.","$21,900"
36,2009 Chevrolet Tahoe Hybrid Base,"117,452 mi.","$12,479"
37,2011 Chevrolet Tahoe Hybrid Base,"92,361 mi.","$19,288"
38,2008 Chevrolet Tahoe Hybrid Base,"175,736 mi.","$7,995"
39,2008 Chevrolet Tahoe Hybrid Base,"141,267 mi.","$13,950"
40,2011 Chevrolet Tahoe Hybrid Base,"96,361 mi.","$18,900"
41,2008 Chevrolet Tahoe Hybrid,"158,221 mi.","$12,500"
42,2013 Chevrolet Tahoe Hybrid Hybrid,"90,526 mi.","$20,991"
43,2009 Chevrolet Tahoe Hybrid 4DR 4WD,"89,350 mi.","$17,499"
44,2009 Chevrolet Tahoe Hybrid,"136,162 mi.","$12,999"
45,2009 Chevrolet Tahoe Hybrid,"138,915 mi.","$12,998"
46,2009 Chevrolet Tahoe Hybrid Base,"165,999 mi.","$12,999"
47,2008 Chevrolet Tahoe Hybrid,"158,369 mi.","$8,990"
48,2008 Chevrolet Tahoe Hybrid Base,"122,941 mi.",Not Priced
49,2008 Chevrolet Tahoe Hybrid Base,"100,000 mi.",Not Priced
50,2009 Chevrolet Tahoe Hybrid Base,"161,495 mi.",Not Priced
51,2008 Chevrolet Tahoe Hybrid Base,"190,462 mi.",Not Priced
52,2008 Chevrolet Tahoe Hybrid Base,"175,444 mi.","$12,995"
53,2009 Chevrolet Tahoe Hybrid Base,"221,333 mi.","$6,450"
