,Name,Mileage,Price
0,2015 Chevrolet Tahoe LT,"74,261 mi.","$33,464"
1,2017 Chevrolet Tahoe LS,"10,556 mi.","$36,782"
2,2011 Chevrolet Tahoe LT,"90,147 mi.","$17,992"
3,2012 Chevrolet Tahoe LT,"73,143 mi.","$21,495"
4,2018 Chevrolet Tahoe LT,"37,588 mi.","$38,448"
5,2018 Chevrolet Tahoe LT,"39,000 mi.","$39,999"
6,2017 Chevrolet Tahoe LS,"10,077 mi.","$39,999"
7,2018 Chevrolet Tahoe LT,"24,673 mi.","$45,151"
8,2014 Chevrolet Tahoe LTZ,"150,836 mi.","$21,991"
9,2016 Chevrolet Tahoe LTZ,"52,438 mi.","$44,377"
10,2016 Chevrolet Tahoe LT,"29,421 mi.","$43,747"
11,2010 Chevrolet Tahoe LT,"82,994 mi.","$19,488"
12,2009 Chevrolet Tahoe LTZ,"145,360 mi.","$18,995"
13,2015 Chevrolet Tahoe LTZ,"57,934 mi.","$41,939"
14,2011 Chevrolet Tahoe LT,"187,879 mi.","$9,200"
15,2015 Chevrolet Tahoe LS,"111,857 mi.","$23,888"
16,2017 Chevrolet Tahoe LT,"46,382 mi.","$36,950"
17,2016 Chevrolet Tahoe LS,"77,372 mi.","$29,878"
18,2016 Chevrolet Tahoe LT,"56,693 mi.","$37,627"
19,2015 Chevrolet Tahoe LT,"61,215 mi.","$33,490"
20,2014 Chevrolet Tahoe LTZ,"89,669 mi.","$26,959"
21,2011 Chevrolet Tahoe LT,"139,771 mi.","$13,205"
22,2017 Chevrolet Tahoe LS,"29,755 mi.","$35,914"
23,2010 Chevrolet Tahoe LS,"64,659 mi.","$16,990"
24,2018 Chevrolet Tahoe LT,"34,036 mi.","$40,500"
25,2014 Chevrolet Tahoe LTZ,"45,970 mi.","$33,981"
26,2016 Chevrolet Tahoe LTZ,"33,938 mi.","$45,959"
27,2015 Chevrolet Tahoe LT,"52,978 mi.","$37,500"
28,2010 Chevrolet Tahoe LT,"110,455 mi.","$17,695"
29,2017 Chevrolet Tahoe Premier,"21,933 mi.","$52,990"
30,2015 Chevrolet Tahoe LT,"108,524 mi.","$29,468"
31,2015 Chevrolet Tahoe LTZ,"38,963 mi.","$43,975"
32,2013 Chevrolet Tahoe LTZ,"55,735 mi.","$30,026"
33,2013 Chevrolet Tahoe LT,"123,601 mi.","$19,998"
34,2014 Chevrolet Tahoe LT,"101,342 mi.","$21,497"
35,2016 Chevrolet Tahoe LT,"54,407 mi.","$37,991"
36,2015 Chevrolet Tahoe LT,"41,002 mi.","$36,995"
37,2013 Chevrolet Tahoe LTZ,"57,608 mi.","$31,943"
38,2013 Chevrolet Tahoe LTZ,"77,890 mi.","$26,610"
39,2018 Chevrolet Tahoe Premier,"16,300 mi.","$60,975"
40,2018 Chevrolet Tahoe Premier,"17,826 mi.","$56,213"
41,2013 Chevrolet Tahoe LT,"123,642 mi.","$18,488"
42,2018 Chevrolet Tahoe Premier,"7,032 mi.","$59,488"
43,2011 Chevrolet Tahoe LTZ,"124,272 mi.","$19,677"
44,2013 Chevrolet Tahoe LT,"113,420 mi.","$18,977"
45,2017 Chevrolet Tahoe LS,"32,798 mi.","$37,954"
46,2015 Chevrolet Tahoe LTZ,"92,326 mi.","$35,963"
47,2013 Chevrolet Tahoe LT,"120,387 mi.","$18,900"
48,2015 Chevrolet Tahoe LTZ,"105,086 mi.","$34,777"
49,2016 Chevrolet Tahoe LT,"31,584 mi.","$40,860"
50,2016 Chevrolet Tahoe LS,"29,658 mi.","$39,998"
51,2008 Chevrolet Tahoe LTZ,"177,495 mi.","$11,598"
52,2015 Chevrolet Tahoe LTZ,"121,266 mi.","$29,321"
53,2015 Chevrolet Tahoe LT,"76,842 mi.","$33,874"
54,2013 Chevrolet Tahoe LT,"87,418 mi.","$22,985"
55,2018 Chevrolet Tahoe LS,"29,663 mi.","$38,997"
56,2018 Chevrolet Tahoe Premier,"12,567 mi.","$57,997"
