,Name,Mileage,Price
0,2006 Chevrolet TrailBlazer EXT LT,"212,126 mi.","$6,988"
1,2004 Chevrolet TrailBlazer EXT LT,"208,047 mi.","$5,990"
2,2004 Chevrolet TrailBlazer EXT,"201,949 mi.","$4,995"
3,2006 Chevrolet TrailBlazer EXT LT,"150,300 mi.","$6,498"
4,2006 Chevrolet TrailBlazer EXT LS,"156,746 mi.","$6,995"
5,2005 Chevrolet TrailBlazer EXT LT,"175,668 mi.","$4,700"
6,2003 Chevrolet TrailBlazer EXT LT,"173,444 mi.","$2,323"
7,2004 Chevrolet TrailBlazer EXT LS,"126,714 mi.","$2,999"
8,2005 Chevrolet TrailBlazer EXT LT,"127,265 mi.","$3,995"
9,2006 Chevrolet TrailBlazer EXT LS,"194,034 mi.","$2,499"
10,2005 Chevrolet TrailBlazer EXT LT,"140,594 mi.","$4,000"
11,2003 Chevrolet TrailBlazer EXT EXT,"131,836 mi.","$5,999"
12,2003 Chevrolet TrailBlazer EXT LT,"236,357 mi.","$3,995"
13,2005 Chevrolet TrailBlazer EXT LT,"168,796 mi.","$3,995"
14,2003 Chevrolet TrailBlazer EXT LT,"73,556 mi.","$6,495"
15,2006 Chevrolet TrailBlazer EXT LT,"157,333 mi.","$6,450"
16,2003 Chevrolet TrailBlazer EXT LT,"112,759 mi.","$5,375"
17,2004 Chevrolet TrailBlazer EXT LT,"217,508 mi.","$2,500"
18,2003 Chevrolet TrailBlazer EXT LT,"195,168 mi.","$3,499"
19,2005 Chevrolet TrailBlazer EXT LT,"218,376 mi.","$2,999"
20,2003 Chevrolet TrailBlazer EXT LT,"140,901 mi.","$6,995"
21,2006 Chevrolet TrailBlazer EXT LS,"232,835 mi.","$5,495"
22,2003 Chevrolet TrailBlazer EXT LT,"178,806 mi.","$3,488"
23,2005 Chevrolet TrailBlazer EXT LT,"159,436 mi.","$4,999"
24,2003 Chevrolet TrailBlazer EXT LT,"217,350 mi.","$3,600"
25,2005 Chevrolet TrailBlazer EXT LT,"212,730 mi.","$3,989"
26,2005 Chevrolet TrailBlazer EXT LS,"140,020 mi.","$5,450"
27,2004 Chevrolet TrailBlazer EXT LS,"184,000 mi.","$2,990"
28,2003 Chevrolet TrailBlazer EXT LT,"106,326 mi.","$6,000"
29,2005 Chevrolet TrailBlazer EXT LS,"138,658 mi.","$5,995"
30,2004 Chevrolet TrailBlazer EXT LS,"126,715 mi.","$3,200"
31,2005 Chevrolet TrailBlazer EXT LS,"165,914 mi.","$3,311"
32,2003 Chevrolet TrailBlazer EXT LT,"160,089 mi.","$4,499"
33,2006 Chevrolet TrailBlazer EXT,"166,835 mi.","$6,000"
34,2005 Chevrolet TrailBlazer EXT LS,"157,000 mi.","$4,900"
35,2005 Chevrolet TrailBlazer EXT LT,"170,516 mi.","$4,900"
36,2006 Chevrolet TrailBlazer EXT LS,"144,478 mi.","$4,995"
37,2004 Chevrolet TrailBlazer EXT LS,"125,708 mi.","$3,777"
38,2003 Chevrolet TrailBlazer EXT EXT,"194,029 mi.","$2,495"
39,2004 Chevrolet TrailBlazer EXT LT,"112,243 mi.","$5,995"
40,2003 Chevrolet TrailBlazer EXT LT,"131,926 mi.","$4,795"
41,2004 Chevrolet TrailBlazer EXT LS,"176,957 mi.","$4,500"
42,2006 Chevrolet TrailBlazer EXT LS,"171,000 mi.","$6,995"
43,2005 Chevrolet TrailBlazer EXT LS,"139,069 mi.","$3,995"
44,2005 Chevrolet TrailBlazer EXT LS,"180,906 mi.","$4,784"
45,2003 Chevrolet TrailBlazer EXT LT,"138,462 mi.","$5,000"
46,2003 Chevrolet TrailBlazer EXT LT,"150,633 mi.","$3,950"
47,2004 Chevrolet TrailBlazer EXT LS,"132,279 mi.","$3,950"
48,2006 Chevrolet TrailBlazer EXT LS,"103,111 mi.","$9,999"
49,2006 Chevrolet TrailBlazer EXT LS,"124,270 mi.","$6,800"
50,2004 Chevrolet TrailBlazer EXT LT,"156,000 mi.","$5,926"
51,2004 Chevrolet TrailBlazer EXT LT,"188,297 mi.","$3,000"
52,2005 Chevrolet TrailBlazer EXT LS,"193,000 mi.","$2,971"
53,2003 Chevrolet TrailBlazer EXT EXT,"167,803 mi.","$3,995"
54,2006 Chevrolet TrailBlazer EXT LS,"115,136 mi.","$4,995"
55,2004 Chevrolet TrailBlazer EXT LT,"234,855 mi.","$3,897"
56,2003 Chevrolet TrailBlazer EXT LS,"132,000 mi.","$3,499"
57,2005 Chevrolet TrailBlazer EXT LT,"159,530 mi.","$6,800"
58,2006 Chevrolet TrailBlazer EXT LS,"137,678 mi.","$7,950"
59,2004 Chevrolet TrailBlazer EXT LS,"153,000 mi.","$3,995"
60,2006 Chevrolet TrailBlazer EXT,"144,338 mi.","$4,500"
61,2003 Chevrolet TrailBlazer EXT LT,"91,000 mi.","$5,999"
62,2002 Chevrolet TrailBlazer EXT LT,"149,750 mi.","$3,999"
63,2005 Chevrolet TrailBlazer EXT,"262,000 mi.","$1,000"
64,2003 Chevrolet TrailBlazer EXT LT,"99,595 mi.","$5,990"
65,2003 Chevrolet TrailBlazer EXT LT,"161,395 mi.","$2,395"
66,2003 Chevrolet TrailBlazer EXT LS,"212,089 mi.","$2,100"
67,2003 Chevrolet TrailBlazer EXT LT,"159,250 mi.","$3,800"
68,2005 Chevrolet TrailBlazer EXT LT,"182,000 mi.","$3,500"
69,2003 Chevrolet TrailBlazer EXT LT,"175,000 mi.","$4,000"
70,2003 Chevrolet TrailBlazer EXT LT,"158,000 mi.","$6,000"
71,2004 Chevrolet TrailBlazer EXT LS,"120,000 mi.","$7,200"
72,2004 Chevrolet TrailBlazer EXT LS,"107,000 mi.","$3,500"
73,2006 Chevrolet TrailBlazer EXT LS,"166,123 mi.","$4,200"
74,2006 Chevrolet TrailBlazer EXT LS,,"$5,495"
75,2005 Chevrolet TrailBlazer EXT LT,"174,846 mi.","$6,994"
76,2006 Chevrolet TrailBlazer EXT LS,0 mi.,Not Priced
77,2003 Chevrolet TrailBlazer EXT LT,"175,755 mi.",Not Priced
78,2005 Chevrolet TrailBlazer EXT LS,"146,952 mi.",Not Priced
79,2004 Chevrolet TrailBlazer EXT LT,"192,408 mi.","$7,990"
80,2004 Chevrolet TrailBlazer EXT,"199,485 mi.","$4,950"
81,2005 Chevrolet TrailBlazer EXT LS,,"$6,995"
82,2003 Chevrolet TrailBlazer EXT LT,"216,473 mi.",Not Priced
83,2004 Chevrolet TrailBlazer EXT LT,0 mi.,"$2,450"
84,2005 Chevrolet TrailBlazer EXT LT,"117,061 mi.",Not Priced
85,2002 Chevrolet TrailBlazer EXT LT,,Not Priced
86,2005 Chevrolet TrailBlazer EXT,"209,919 mi.","$1,000"
87,2003 Chevrolet TrailBlazer EXT,,Not Priced
88,2004 Chevrolet TrailBlazer EXT LT,0 mi.,"$1,600"
89,2005 Chevrolet TrailBlazer EXT LS,0 mi.,"$1,800"
90,2003 Chevrolet TrailBlazer EXT LT,"213,132 mi.",Not Priced
91,2004 Chevrolet TrailBlazer EXT LT,"129,352 mi.","$5,150"
92,2006 Chevrolet TrailBlazer EXT,"203,690 mi.",Not Priced
93,2005 Chevrolet TrailBlazer EXT LT,"165,998 mi.",Not Priced
94,2004 Chevrolet TrailBlazer EXT LT,"242,215 mi.",Not Priced
95,2004 Chevrolet TrailBlazer EXT LT,"174,075 mi.","$3,427"
96,2005 Chevrolet TrailBlazer EXT LS,"79,245 mi.","$7,667"
97,2006 Chevrolet TrailBlazer EXT LT,"129,795 mi.","$4,998"
98,2005 Chevrolet TrailBlazer EXT,"191,333 mi.",Not Priced
99,2006 Chevrolet TrailBlazer EXT LT,"110,613 mi.","$4,995"
100,2005 Chevrolet TrailBlazer EXT,"184,075 mi.",Not Priced
101,2006 Chevrolet TrailBlazer EXT LS,0 mi.,"$6,995"
102,2003 Chevrolet TrailBlazer EXT LT,"143,264 mi.",Not Priced
103,2004 Chevrolet TrailBlazer EXT LS,"126,581 mi.",Not Priced
104,2005 Chevrolet TrailBlazer EXT,,Not Priced
105,2003 Chevrolet TrailBlazer EXT LT,"148,155 mi.",Not Priced
106,2003 Chevrolet TrailBlazer EXT LT,"198,592 mi.",Not Priced
107,2004 Chevrolet TrailBlazer EXT,0 mi.,Not Priced
